N	2gram	Berdyaev_M_2	Vladivir
1	вл соловьев	1	127
2	и в	46	40
3	то что	5	28
4	и не	18	25
5	не только	18	25
6	у него	22	24
7	в том	3	18
8	но и	15	18
9	том что	4	18
10	что в	4	17
11	также и	4	17
12	в этом	20	16
13	не может	15	14
14	так что	2	14
15	в его	5	14
16	точки зрения	2	13
17	только в	3	13
18	в конце	5	12
19	сказать что	3	12
20	потому что	12	11
21	никогда не	18	11
22	о том	3	11
23	это есть	2	10
24	и его	5	10
25	ни в	3	10
26	и потому	7	10
27	прежде всего	12	10
28	не есть	13	10
29	в себе	10	9
30	и с	3	9
31	что это	6	9
32	в своей	5	9
33	что же	2	9
34	уже не	4	9
35	и то	1	9
36	для него	18	8
37	может быть	21	8
38	так же	6	8
39	в этой	7	8
40	и что	2	8
41	он не	10	8
42	не был	2	8
43	а также	1	8
44	а не	13	8
45	в своем	8	8
46	как и	13	7
47	с тем	1	7
48	а в	2	7
49	вместе с	2	7
50	к тому	5	7
51	хотя и	2	7
52	того что	6	7
53	что и	4	7
54	и если	2	7
55	в своих	3	7
56	что все	5	7
57	так как	8	7
58	и как	1	7
59	и здесь	6	6
60	не будет	3	6
61	так и	4	6
62	по себе	2	6
63	об этом	1	6
64	то в	2	6
65	не мог	3	6
66	в боге	4	6
67	с точки	1	6
68	хотя бы	7	6
69	и от	3	6
70	во всем	5	6
71	да и	2	6
72	xix века	1	6
73	иной раз	1	6
74	и на	3	6
75	смысле слова	3	6
76	и это	5	6
77	но это	8	6
78	все эти	1	5
79	конце концов	1	5
80	для себя	1	5
81	у нас	11	5
82	совсем не	5	5
83	отношения к	2	5
84	но если	1	5
85	в отношении	5	5
86	должно быть	2	5
87	ничего не	2	5
88	тем что	3	5
89	только и	4	5
90	с другой	1	5
91	в ней	11	5
92	что он	7	5
93	можно было	2	5
94	еще в	2	5
95	не было	11	5
96	вопрос о	6	4
97	учения о	1	4
98	и все	5	4
99	на то	1	4
100	то он	2	4
101	бы и	5	4
102	а с	1	4
103	не с	1	4
104	не имеет	4	4
105	мог бы	1	4
106	что если	1	4
107	мы должны	1	4
108	такого рода	2	4
109	и можно	3	4
110	то же	5	4
111	в котором	1	4
112	от того	3	4
113	тому что	4	4
114	до конца	4	4
115	но в	10	4
116	есть и	3	4
117	она была	1	4
118	чем в	2	4
119	или как	1	4
120	было бы	1	4
121	о боге	1	4
122	в самом	5	4
123	в я	1	3
124	и чисто	1	3
125	церкви и	1	3
126	ее в	2	3
127	и для	7	3
128	как на	1	3
129	и слишком	1	3
130	был бы	1	3
131	соловьев который	1	3
132	к нему	2	3
133	в нем	22	3
134	не в	9	3
135	не так	3	3
136	и против	3	3
137	того чтобы	4	3
138	но все	1	3
139	независимо от	1	3
140	и только	1	3
141	но для	2	3
142	оно не	2	3
143	этого не	1	3
144	поскольку в	1	3
145	на самом	1	3
146	жизнь и	4	3
147	за пределы	1	3
148	что есть	2	3
149	человека и	7	3
150	это не	5	3
151	в чем	3	3
152	не все	1	3
153	находится в	1	3
154	если бы	3	3
155	если нет	8	3
156	отличается от	1	3
157	и тем	1	3
158	же как	3	3
159	в россии	3	3
160	если есть	3	3
161	я не	5	3
162	в духе	5	3
163	и у	1	3
164	всегда есть	2	3
