N	2gram	Tiupa_Narr_2	Problemy
1	и в	13	43
2	и не	14	29
3	может быть	10	23
4	как бы	6	22
5	не может	8	18
6	как и	4	14
7	но и	15	14
8	в этом	13	13
9	точки зрения	5	13
10	и т	2	13
11	что он	5	13
12	в нем	5	12
13	в одном	1	12
14	слова и	1	12
15	не в	8	11
16	не только	26	11
17	прежде всего	6	10
18	как мы	1	10
19	в его	6	10
20	но в	6	10
21	еще не	2	9
22	т п	2	9
23	в большинстве	1	9
24	никогда не	6	9
25	он не	5	9
26	или в	1	8
27	большинстве случаев	1	8
28	для него	4	8
29	то же	4	8
30	с точки	2	8
31	и его	3	8
32	в другом	4	7
33	в него	2	7
34	сих пор	1	7
35	до сих	1	7
36	к чужому	1	7
37	а не	17	7
38	что же	1	7
39	в самом	2	7
40	то что	8	7
41	в то	5	7
42	ведь и	1	7
43	и сам	3	7
44	о себе	1	7
45	к себе	7	7
46	перед нами	4	7
47	и наконец	1	6
48	при этом	14	6
49	здесь не	2	6
50	и все	4	6
51	приводит к	1	6
52	что я	3	6
53	в том	14	6
54	в этих	1	6
55	в котором	5	6
56	у него	6	6
57	так сказать	3	6
58	на свой	2	6
59	о нем	3	6
60	все эти	3	5
61	героя и	2	5
62	в себе	8	5
63	и с	1	5
64	бы в	2	5
65	же время	3	5
66	отношению к	5	5
67	у меня	2	5
68	вовсе не	2	5
69	таким образом	5	5
70	на то	2	5
71	к нему	1	5
72	так что	1	5
73	и он	2	5
74	а в	9	5
75	но не	3	5
76	в той	5	5
77	по отношению	5	5
78	на фоне	2	5
79	да и	3	5
80	в слове	3	5
81	хотя и	5	5
82	к другому	2	5
83	и что	2	5
84	о том	5	5
85	все это	1	5
86	самом деле	3	5
87	было бы	2	5
88	никак не	3	5
89	в речи	1	5
90	но он	2	4
91	другого человека	2	4
92	ни одного	1	4
93	как раз	3	4
94	мы не	2	4
95	в своей	4	4
96	не на	1	4
97	более того	1	4
98	между ними	1	4
99	что в	4	4
100	то есть	9	4
101	это он	1	4
102	к тому	9	4
103	себе самому	5	4
104	а как	3	4
105	отличие от	5	4
106	но эти	1	4
107	во всех	1	4
108	в результате	2	4
109	должно быть	1	4
110	только в	11	4
111	во время	2	4
112	себе и	2	4
113	не могут	1	4
114	в отличие	5	4
115	в направлении	2	4
116	с собой	1	4
117	далеко не	5	4
118	их в	1	4
119	с его	3	4
120	я не	5	4
121	с другой	5	4
122	и нет	1	4
123	если же	1	4
124	на этот	1	4
125	в чужом	1	4
126	в самой	1	4
127	рассказчика и	1	4
128	но это	2	4
129	этот вопрос	1	4
130	в своем	6	4
131	и здесь	2	3
132	не знает	1	3
133	все же	6	3
134	эту минуту	1	3
135	это все	1	3
136	не была	1	3
137	и для	3	3
138	так и	9	3
139	но при	4	3
140	и их	1	3
141	самим собой	3	3
142	должна быть	2	3
143	не менее	4	3
144	есть в	1	3
145	в виде	2	3
146	в жизни	6	3
147	наконец в	1	3
148	с ним	4	3
149	более или	1	3
150	сознания и	1	3
151	рассказа в	1	3
152	души человеческой	1	3
153	со всеми	2	3
154	жизнь слова	1	3
155	стороны и	1	3
156	о своей	1	3
157	он сам	2	3
158	или иной	3	3
159	в рассказе	4	3
160	но зато	2	3
161	в себя	4	3
162	здесь нет	1	3
163	себе самом	2	3
164	между тем	3	3
165	это не	3	3
166	и даже	3	3
167	за пределы	1	3
168	рассказ и	1	3
169	в отношении	1	3
170	в романе	1	3
171	в одной	1	3
172	в формах	1	3
173	другого в	1	3
174	тому же	4	3
175	в человеке	1	3
176	ничего не	6	3
177	той же	2	3
178	уже не	4	3
179	в произведениях	3	3
180	или менее	1	3
181	для другого	1	3
182	мы будем	1	3
183	если бы	4	3
184	тем что	1	3
185	когда он	1	3
186	что и	2	3
187	никому не	1	3
188	героя в	6	3
189	она не	1	3
190	также и	1	3
191	в последнем	1	3
192	того же	1	3
193	и к	6	3
194	на него	5	3
195	реакции на	1	3
196	героя с	1	3
197	себя в	2	3
198	только на	2	3
199	того и	1	3
200	в виду	1	3
201	можно было	2	3
202	том или	1	3
203	той или	3	3
204	но для	2	3
205	каждый из	1	2
206	для нас	2	2
207	во всяком	1	2
208	вопрос о	1	2
209	входит в	1	2
210	в плоскости	1	2
211	достоевского и	2	2
212	мы и	1	2
213	в целом	3	2
214	на том	3	2
215	тому и	1	2
216	установки и	1	2
217	так же	2	2
218	может служить	2	2
219	у нас	2	2
220	время как	1	2
221	пути и	1	2
222	я сам	2	2
223	на материале	1	2
224	что это	4	2
225	и так	1	2
226	хотя бы	2	2
227	которая как	1	2
228	бы не	1	2
229	в конце	4	2
230	и без	1	2
231	то и	3	2
232	отношение к	1	2
233	а между	1	2
234	об этом	4	2
235	бы и	1	2
236	речи как	1	2
237	отношения к	1	2
238	все его	4	2
239	между собой	3	2
240	этом смысле	1	2
241	превращается в	2	2
242	здесь мы	1	2
243	со словами	1	2
244	например в	1	2
245	того что	6	2
246	а лишь	1	2
247	к различным	1	2
248	конечно в	1	2
249	особенно в	1	2
250	в таком	3	2
251	внутренний конфликт	1	2
252	произведения как	1	2
253	его к	1	2
254	им в	1	2
255	еще более	1	2
256	времени и	4	2
257	из его	1	2
258	мысли и	1	2
259	к миру	2	2
260	принадлежащих к	1	2
261	в каждой	2	2
262	и особенно	1	2
263	из этих	2	2
264	же она	2	2
265	ее в	1	2
266	и говорить	1	2
267	чтобы сделать	1	2
268	что не	1	2
269	до времени	1	2
270	своей жизни	1	2
271	что у	2	2
272	человек и	1	2
273	не входит	1	2
274	и сами	1	2
275	сказать что	3	2
276	одного сознания	1	2
277	он является	3	2
278	что было	1	2
279	именно как	1	2
280	как он	2	2
281	и о	1	2
282	чужого сознания	1	2
283	автора и	1	2
284	ни в	1	2
285	тонах и	1	2
286	а с	2	2
287	для автора	2	2
288	тем не	5	2
