N	2gram	Tiupa_Anal_2	VeschiIm
1	не есть	2	49
2	т е	2	42
3	не может	4	33
4	не только	16	31
5	может быть	6	29
6	и не	12	28
7	и в	16	26
8	то что	7	24
9	и т	1	21
10	а не	10	20
11	что я	1	16
12	что она	2	14
13	только в	4	14
14	по себе	2	13
15	и что	1	13
16	того что	2	13
17	и то	3	12
18	есть не	1	12
19	в себя	4	12
20	было бы	3	12
21	и ее	1	12
22	но и	12	12
23	сказать что	2	12
24	а и	1	11
25	таким образом	2	11
26	что же	1	11
27	и больше	1	10
28	то же	4	10
29	как бы	10	10
30	потому что	1	10
31	уже не	4	10
32	в самом	6	9
33	в том	12	9
34	еще и	1	9
35	прежде всего	3	9
36	что иное	1	8
37	с ее	2	8
38	иное как	1	8
39	в себе	7	8
40	на то	2	8
41	ничего не	9	8
42	себя и	1	8
43	но это	1	8
44	не что	1	8
45	также и	1	7
46	говорить о	6	7
47	в этом	18	7
48	его в	2	7
49	том что	12	7
50	в то	2	7
51	со своим	3	7
52	указывает на	1	7
53	себя в	2	7
54	и их	2	7
55	так как	1	7
56	как раз	4	7
57	совершенно не	1	7
58	со стороны	3	6
59	и как	1	6
60	но в	6	6
61	бы и	1	6
62	одно и	1	6
63	точки зрения	4	6
64	но если	1	6
65	по крайней	3	6
66	с ним	2	6
67	она не	2	6
68	отличается от	1	6
69	можно было	3	6
70	крайней мере	3	6
71	так что	3	6
72	ни с	2	6
73	для него	4	6
74	быть только	1	6
75	в результате	3	6
76	что в	2	6
77	того же	4	5
78	и до	2	5
79	ведь и	2	5
80	в сущности	4	5
81	на себя	5	5
82	в чем	1	5
83	но не	4	5
84	отнюдь не	8	5
85	вообще не	2	5
86	содержит в	3	5
87	это не	1	5
88	не в	4	5
89	тем не	3	5
90	в отношении	1	5
91	не менее	4	5
92	одна из	1	5
93	только и	1	5
94	у нас	1	5
95	для себя	1	5
96	свою очередь	1	5
97	в ее	1	5
98	должны быть	1	5
99	если бы	3	5
100	еще не	2	5
101	с этой	1	5
102	и для	2	5
103	а в	3	5
104	в свою	1	5
105	я не	1	4
106	в их	3	4
