N	3gram	Losev_Dial_4	UchenyiS
1	не может быть	6	4
2	с другой стороны	1	3
3	то же время	6	3
4	в то же	6	3
5	в этом смысле	4	2
6	хотя бы и	2	2
7	в том что	9	2
8	по крайней мере	7	2
9	и то что	1	2
10	и в частности	2	2
11	тех или иных	1	2
12	еще ничего не	2	2
13	в конце концов	1	2
14	для всех этих	1	1
15	но прежде всего	1	1
16	или по крайней	3	1
17	другой стороны в	1	1
18	так или иначе	1	1
19	было бы равносильно	1	1
20	не в том	4	1
21	это было бы	1	1
22	равно как и	2	1
23	в этом случае	1	1
24	и не только	1	1
25	на первый план	1	1
26	никогда и не	1	1
27	и в то	2	1
28	сам по себе	2	1
29	в той же	1	1
30	не входит в	1	1
31	само по себе	4	1
32	не было бы	1	1
33	с тем что	1	1
34	но это не	1	1
35	и прежде всего	1	1
36	можно сказать что	1	1
37	на то что	3	1
38	говорить не о	1	1
39	то что было	1	1
40	только к этому	1	1
41	а не только	1	1
42	в данном случае	1	1
43	может быть в	1	1
44	но в то	2	1
45	не только в	1	1
46	на своем месте	1	1
47	вот почему в	1	1
