N	4gram	Potebnia_M_1	Vladivir
1	дело в том что	2	4
2	в то же время	3	4
3	еще и потому что	1	2
4	и притом не только	2	1
5	уже о том что	1	1
6	всего этого видно что	1	1
7	говоря уже о том	1	1
8	из всего этого видно	1	1
9	и в этом смысле	3	1
10	указывает на то что	1	1
11	не что иное как	2	1
12	не говоря уже о	1	1
13	а в том что	2	1
14	привело к тому что	1	1
15	бы то ни было	1	1
16	именно с тем что	1	1
17	и т д в	1	1
18	одной и той же	3	1
19	в том виде в	1	1
20	том виде в каком	1	1
21	и в том что	1	1
