N	3gram	Bakhtin_fo_1	Analitik
1	не может быть	3	16
2	в том что	2	9
3	в то же	6	8
4	в отличие от	2	6
5	то же время	9	6
6	той или иной	2	6
7	по отношению к	3	5
8	с точки зрения	2	4
9	времени и пространстве	1	4
10	к тому же	2	4
11	о том что	1	3
12	в той или	1	3
13	в том числе	4	3
14	во времени и	1	3
15	и т п	8	3
16	для того чтобы	5	3
17	с одной стороны	2	3
18	в нашем случае	1	3
19	отнюдь не предполагает	1	2
20	и того же	5	2
21	в самом деле	1	2
22	сами по себе	1	2
23	но и в	2	2
24	в этом отношении	3	2
25	в данном случае	1	2
26	но в то	1	2
27	я и другого	1	2
28	не могут быть	1	2
29	по природе своей	2	2
30	в широком смысле	2	2
31	и все же	1	2
32	в этом ряду	1	2
33	одного и того	5	2
34	по своей природе	1	1
35	связей и отношений	1	1
36	или хотя бы	1	1
37	и в сущности	2	1
38	а вовсе не	1	1
39	равно как и	2	1
40	имеем в виду	1	1
41	также и в	2	1
42	в соответствии с	2	1
43	дело не только	1	1
44	же время он	1	1
45	как раз и	2	1
46	не было и	2	1
47	по себе они	1	1
48	до сих пор	3	1
49	да и в	1	1
50	в зависимости от	1	1
51	может иметь место	1	1
52	как мы увидим	1	1
53	том числе и	2	1
54	нет ничего что	1	1
55	как если бы	2	1
56	вместе с тем	2	1
57	внешнее и внутреннее	2	1
58	одно и то	3	1
59	и в частности	2	1
60	ничего что не	1	1
61	и тогда когда	1	1
62	в данный момент	1	1
63	не только в	2	1
64	в особенности же	1	1
65	смысле этого слова	1	1
66	и то же	3	1
67	в свою очередь	1	1
68	все без исключения	1	1
69	и как бы	1	1
70	же время оно	1	1
71	отца к сыну	1	1
72	его то есть	1	1
73	прежде всего в	1	1
74	во всяком случае	1	1
75	включает в себя	1	1
76	было и не	1	1
77	в той же	1	1
78	от отца к	1	1
79	никогда не бывает	1	1
80	и в самом	1	1
81	мы увидим далее	1	1
82	или во всяком	1	1
83	мы имеем в	1	1
84	в какой-то степени	2	1
85	тогда когда оно	1	1
86	время жизни героев	1	1
87	в связи с	5	1
88	но отнюдь не	1	1
89	друг с другом	1	1
90	того чтобы быть	1	1
91	как и в	2	1
92	здесь как и	1	1
93	место в событии	1	1
94	в том же	1	1
95	с самим собой	2	1
