N	3gram	Berdyaev_M_1	FransuaR
1	до сих пор	2	4
2	как и все	1	3
3	в отличие от	1	3
4	для того чтобы	2	3
5	по отношению к	2	2
6	в своей книге	1	2
7	но и в	4	2
8	можно было бы	1	2
9	в значительной степени	1	2
10	и не было	1	2
11	по сравнению с	1	2
12	не может быть	17	2
13	о том что	1	2
14	на том что	1	1
15	что иное как	1	1
16	нет и не	1	1
17	что в основе	1	1
18	прежде всего в	2	1
19	с одним из	1	1
20	имеем в виду	1	1
21	потому что не	1	1
22	они не могут	1	1
23	как для художника	1	1
24	и не может	2	1
25	хотя бы и	2	1
26	в мире и	1	1
27	и еще в	1	1
28	есть и в	1	1
29	и потому в	1	1
30	что в то	1	1
31	и потому не	3	1
32	может быть и	1	1
33	не что иное	1	1
34	положительный и отрицательный	1	1
35	в высшей степени	2	1
36	как будто бы	2	1
37	и в этой	4	1
38	века у нас	1	1
39	не только для	1	1
40	во всяком случае	1	1
41	он не видит	1	1
42	может быть названа	1	1
43	что они не	1	1
44	из самых замечательных	1	1
45	во всех этих	1	1
46	между этими двумя	1	1
47	в вопросе о	1	1
48	между тем как	1	1
49	ни к какому	1	1
50	даже и в	1	1
51	и вместе с	4	1
52	это и есть	4	1
53	к нему и	1	1
54	и в самом	3	1
55	и его особая	1	1
56	он знал и	1	1
57	мы имеем в	1	1
58	него как для	1	1
59	для него как	1	1
60	писателей мировой литературы	1	1
61	но также и	1	1
62	в них не	1	1
63	в том что	1	1
64	что и в	1	1
65	все это лишь	1	1
66	не так как	1	1
