N	2gram	Voloshinov_1	ViktorSh
1	конце концов	3	2
2	и в	38	2
3	том что	3	2
4	в том	2	2
5	в конце	6	2
6	крайней мере	1	1
7	тем более	1	1
8	в устах	1	1
9	ни к	2	1
10	и том	1	1
11	в другом	1	1
12	хотя бы	18	1
13	и не	14	1
14	все время	5	1
15	и его	7	1
16	потому что	5	1
17	я не	1	1
18	даже не	1	1
19	более чем	1	1
20	и то	3	1
21	теснейшим образом	1	1
22	самом деле	4	1
23	другом месте	1	1
24	и т.д	21	1
25	все это	4	1
26	и положения	1	1
27	именно в	1	1
28	главным образом	3	1
29	чего не	1	1
30	в их	1	1
31	как же	1	1
32	их как	1	1
33	техники и	1	1
34	говорили в	1	1
35	в частности	3	1
36	речи и	6	1
37	одно и	4	1
38	все то	2	1
39	не одно	1	1
40	столь же	1	1
41	говоря о	1	1
42	в которых	2	1
43	в значительной	2	1
44	сводится в	1	1
45	в самом	4	1
46	для них	2	1
47	только в	6	1
48	то же	14	1
49	социальных отношений	1	1
50	ясно что	2	1
51	так как	7	1
52	что слово	1	1
53	к чему	2	1
54	не будем	1	1
55	другое дело	1	1
56	но это	2	1
57	что язык	5	1
58	в этом	10	1
59	одном и	1	1
60	да и	4	1
61	чем больше	1	1
62	по крайней	1	1
63	от общего	1	1
64	на одном	1	1
65	к этому	2	1
66	значительной степени	2	1
67	гораздо более	2	1
68	вопросы стилистики	1	1
69	том же	1	1
