N	3gram	Medvedev_V_1	Vvedenie
1	и т д	14	36
2	для того чтобы	3	20
3	в том что	5	12
4	о том что	3	12
5	в этом смысле	1	8
6	не может быть	8	8
7	до сих пор	1	6
8	в самом деле	1	6
9	в применении к	1	6
10	то же время	5	6
11	в то же	5	6
12	т д но	1	5
13	и т п	9	5
14	в том чтобы	2	5
15	с другой стороны	8	5
16	по отношению к	7	4
17	в этом отношении	13	4
18	можно было бы	2	4
19	на этот вопрос	1	4
20	по крайней мере	2	4
21	т е в	2	4
22	в данном случае	1	4
23	не только в	2	4
24	по сравнению с	1	4
25	так или иначе	1	4
26	во всяком случае	1	4
27	с одной стороны	2	4
28	в прямом смысле	1	3
29	также и в	2	3
30	одной стороны и	2	3
31	именно в этом	1	3
32	вместе с тем	3	3
33	в конечном итоге	2	3
34	вопрос о том	1	3
35	но в то	1	3
36	в том отношении	2	3
37	большей или меньшей	3	3
38	том отношении что	2	3
39	можно сказать что	4	3
40	сама по себе	1	3
41	в другом месте	2	2
42	в чем же	2	2
43	по меньшей мере	1	2
44	не говоря уже	1	2
45	подобно тому как	2	2
46	в соответствии с	1	2
47	то же самое	1	2
48	как будто бы	1	2
49	как об этом	2	2
50	в течение многих	1	2
51	что даже и	1	2
52	хотя бы и	5	2
53	может быть и	1	2
54	в значительной мере	3	2
55	нельзя не признать	1	2
56	того чтобы понять	1	2
57	в конце концов	2	2
58	не могут не	2	2
59	не могут быть	1	2
60	не в том	2	2
61	в связи с	3	2
62	ответ на этот	1	2
63	по этому поводу	7	2
64	может быть в	1	2
65	таким образом по	2	2
66	той или иной	1	2
67	а между тем	1	1
68	не может не	2	1
69	и есть то	1	1
70	в той или	1	1
71	точки зрения на	1	1
72	мы говорим о	1	1
73	ставится этот вопрос	1	1
74	в начале этой	1	1
75	одном и том	2	1
76	мы имеем дело	1	1
77	примером может служить	1	1
78	теми или иными	1	1
79	то о чем	1	1
80	о природе и	1	1
81	как один из	1	1
82	более или менее	6	1
83	хотя бы уже	1	1
84	имеем в виду	1	1
85	одной из этих	1	1
86	и как оно	1	1
87	т е не	1	1
88	том же направлении	1	1
89	в том же	1	1
90	об искусстве и	1	1
91	то или иное	1	1
92	как это было	1	1
93	говоря уже о	1	1
94	в таком случае	1	1
95	в одном и	1	1
96	но и в	1	1
97	каждой из этих	2	1
98	не было бы	4	1
99	дошедших до нас	1	1
100	только в том	2	1
101	только то что	2	1
102	из них и	1	1
103	заключает в себе	1	1
104	с этим и	1	1
105	том или ином	1	1
106	имеем дело с	1	1
107	и др в	3	1
108	теснейшим образом связана	1	1
109	с этой точки	1	1
110	как если бы	1	1
111	могут не быть	1	1
112	ту или иную	1	1
113	в зависимости от	5	1
114	одно и то	1	1
115	все то что	1	1
116	в том или	1	1
117	бы и не	3	1
118	уже о том	1	1
119	так же как	1	1
120	а не только	1	1
121	как видно из	1	1
122	ни к какому	1	1
123	и том же	2	1
124	и то же	1	1
125	таким образом для	1	1
126	быть и речи	1	1
127	об этом речь	1	1
128	особый вид познания	1	1
129	одним из наиболее	1	1
130	а одним из	1	1
131	не следует забывать	1	1
132	в большей или	2	1
133	или меньшей степени	2	1
134	во взглядах на	1	1
135	следует понимать в	1	1
136	а как на	1	1
137	лицом к лицу	1	1
138	на вопрос что	1	1
139	этой точки зрения	2	1
140	в целом но	1	1
141	от его содержания	1	1
142	а в том	1	1
143	в частности в	2	1
144	не как на	1	1
145	у него в	1	1
146	от того что	2	1
147	образом связана с	1	1
148	в свою очередь	1	1
149	та или иная	1	1
150	того или иного	1	1
151	и никогда не	1	1
152	в реальной действительности	1	1
153	в каждой из	1	1
154	в этой системе	1	1
155	только тогда когда	1	1
156	но с другой	1	1
157	на то или	1	1
158	у них не	1	1
159	с теми или	1	1
160	после того как	1	1
161	все зависит от	1	1
162	к тому что	3	1
163	не значит что	1	1
164	них не было	1	1
165	чем же заключается	1	1
166	во всех его	2	1
167	но ведь это	1	1
168	все это не	1	1
169	и в результате	1	1
170	не в этом	1	1
171	как мы знаем	1	1
172	целого ряда других	1	1
