N	4gram	Vygotskiy__3	Myslijsy
1	одним и тем же	1	3
2	но тем не менее	1	2
3	только в том что	2	2
4	одной и той же	2	2
5	и в том что	1	2
6	вместе с тем и	4	2
7	все это взятое вместе	1	1
8	а вместе с тем	1	1
9	собственном смысле этого слова	4	1
10	если бы мы могли	1	1
11	в том что слово	1	1
12	разница только в том	1	1
13	смысле этого слова и	1	1
14	в то время как	4	1
15	в силу того что	2	1
16	что мы не знаем	1	1
17	в том что она	1	1
18	заключается в том что	6	1
19	в собственном смысле этого	4	1
20	вместе с тем мы	1	1
