N	4gram	Vinokur_Ku_1	EvropaiE
1	в то же время	2	14
2	и в то же	1	8
3	с этой точки зрения	1	5
4	заключается в том что	2	2
5	и с точки зрения	1	1
6	рассматривать как одно из	1	1
7	одного и того же	2	1
8	что в тех случаях	1	1
9	чтобы ответить на этот	1	1
10	в том смысле что	1	1
11	только в том случае	1	1
12	в том случае если	1	1
13	во всех этих случаях	1	1
14	не говоря уже об	1	1
15	ответить на этот вопрос	1	1
16	состоит вовсе не в	1	1
17	в тех случаях когда	2	1
18	поскольку речь идет о	1	1
19	и во многих других	1	1
