N	2gram	Berdyaev_N_1	Psycholo
1	то что	4	32
2	и в	16	31
3	в том	8	30
4	что в	9	23
5	может быть	7	22
6	так как	1	18
7	не может	16	17
8	как и	7	16
9	и не	11	16
10	том что	2	16
11	только в	1	14
12	а не	17	13
13	не только	5	13
14	так же	2	12
15	в этом	7	12
16	мы не	2	12
17	не в	6	11
18	в области	1	11
19	в самом	1	11
20	могут быть	2	11
21	потому что	4	10
22	в сущности	1	10
23	по себе	1	9
24	как в	3	9
25	ни в	6	9
26	во всяком	1	8
27	все это	5	8
28	вместе с	2	8
29	никогда не	6	8
30	и что	2	8
31	что мы	1	8
32	том чтобы	2	7
33	и его	1	7
34	есть в	2	7
35	того чтобы	2	7
36	сказать что	3	7
37	тому как	3	7
38	о том	4	7
39	что он	1	7
40	а в	2	6
41	что она	2	6
42	и даже	2	6
43	в его	1	6
44	зависимости от	1	6
45	для того	1	6
46	из этих	1	6
47	всяком случае	1	6
48	одной стороны	2	6
49	было бы	1	6
50	и для	4	5
51	это есть	7	5
52	время как	2	5
53	и все	4	5
54	в ее	3	5
55	формы и	2	5
56	в то	2	5
57	говорит что	1	5
58	другой стороны	2	5
59	в зависимости	1	5
60	с одной	2	5
61	она не	3	5
62	с другой	3	5
63	подобно тому	3	5
64	то время	1	5
65	и есть	10	5
66	как будто	2	5
67	в которой	1	4
68	для всех	1	4
69	все время	2	4
70	прежде всего	4	4
71	в котором	1	4
72	в себе	2	4
73	же как	2	4
74	как это	2	4
75	в этих	1	4
76	по существу	2	4
77	у нас	1	4
78	к тому	3	4
79	отличие от	1	4
80	чтобы понять	1	4
81	у него	2	4
82	и у	1	4
83	в виду	1	4
84	одна из	2	4
85	когда мы	2	3
86	вопрос о	3	3
87	от всех	1	3
88	должны быть	1	3
89	в состоянии	1	3
90	не будет	7	3
91	как на	1	3
92	так и	2	3
93	не было	4	3
94	должна быть	3	3
95	в обществе	2	3
96	сих пор	1	3
97	в конце	1	3
98	до сих	1	3
99	в своей	3	3
100	с тем	3	3
101	совсем не	12	3
102	нуждается в	1	3
103	но не	2	3
104	и только	1	3
105	но в	2	3
106	человека не	1	3
107	хотя и	2	3
108	мысли в	2	3
109	и к	5	3
110	звук уснул	1	3
111	это и	2	3
112	смысле слова	3	3
113	жизни и	8	3
114	в силу	1	3
115	с этим	2	3
116	во всем	1	3
117	что все	2	3
118	слова в	1	3
119	в этой	1	3
120	не есть	3	3
121	эпохи в	1	3
122	от того	1	3
123	не могут	1	3
124	в отличие	1	3
125	он не	8	3
126	и когда	1	3
127	роль в	2	3
128	который в	2	3
129	и это	2	3
130	уже в	1	3
131	все что	1	3
132	но это	6	3
133	в своем	1	3
134	не означает	3	2
135	что образ	1	2
136	мысли и	2	2
137	и сейчас	1	2
138	или не	1	2
139	как например	1	2
140	в русском	2	2
141	на это	1	2
142	мыслей и	1	2
143	человека и	3	2
144	не менее	4	2
145	и вместе	1	2
146	том случае	1	2
147	отказаться от	1	2
148	в жизни	5	2
149	к нему	1	2
150	с ним	1	2
151	в нем	5	2
152	приводит к	1	2
153	и с	2	2
154	ли это	2	2
155	и во	1	2
156	том и	2	2
157	к чему	1	2
158	этом смысле	2	2
159	к жизни	3	2
160	применить к	1	2
161	и очень	1	2
162	на место	1	2
163	но и	3	2
164	вот что	1	2
165	она должна	1	2
166	мысли но	1	2
167	одного и	1	2
168	что такое	3	2
169	я думаю	1	2
170	в чем	1	2
171	и от	2	2
172	к этой	1	2
173	когда она	1	2
174	того же	1	2
175	и потому	4	2
176	искусство не	1	2
177	зависимость от	1	2
178	уже не	2	2
179	они сами	1	2
180	в основе	3	2
181	в них	4	2
182	к идее	1	2
183	не всегда	1	2
184	будто бы	1	2
185	не существует	3	2
186	к ним	3	2
187	оно есть	1	2
188	что само	1	2
189	такой же	2	2
190	себя и	1	2
191	как результат	1	2
192	в основу	1	2
193	из всех	1	2
194	в такой	1	2
195	их в	1	2
196	обратиться к	1	2
197	от других	1	2
198	в известном	1	2
199	в каком	1	2
200	и их	1	2
201	есть только	1	2
202	не быть	1	2
203	быть в	2	2
204	из них	1	2
205	к таким	1	1
206	и из	1	1
207	и развивается	1	1
208	одну из	1	1
209	случае если	1	1
210	и этот	1	1
211	идей и	1	1
212	этом он	1	1
213	этой системы	1	1
214	природу и	1	1
215	не стоят	1	1
216	в значительной	1	1
217	но она	2	1
218	еще до	2	1
219	и того	1	1
220	еще не	3	1
221	можно сказать	1	1
222	есть по	1	1
223	во внешней	1	1
224	мы говорим	2	1
225	людей и	1	1
226	значение и	1	1
227	жизни с	1	1
228	на человека	1	1
229	возможны только	1	1
230	своей основе	1	1
231	и переживает	1	1
232	а это	1	1
233	ее на	1	1
234	нельзя будет	1	1
235	для себя	1	1
236	что вся	1	1
237	и русской	1	1
238	совершенно так	1	1
239	не к	2	1
240	эпох и	1	1
241	думать что	2	1
242	выходит за	1	1
243	зависит от	2	1
244	во времена	1	1
245	известном смысле	1	1
246	для решения	1	1
247	эти черты	1	1
248	числе и	1	1
249	то он	1	1
250	всегда была	1	1
251	создает себе	1	1
252	есть признак	1	1
253	же мере	1	1
254	он также	1	1
255	быть признан	1	1
256	в другие	1	1
257	эту мысль	1	1
258	быть только	1	1
259	истину и	1	1
260	хотя бы	2	1
261	нашу эпоху	2	1
262	огромную роль	1	1
263	или иная	1	1
264	человек не	1	1
265	в центре	2	1
266	во всех	3	1
267	на нем	1	1
268	нем не	1	1
269	возможности в	1	1
270	есть всегда	1	1
271	социальной жизни	1	1
272	заключает в	1	1
273	он создает	1	1
274	все ее	1	1
275	явление в	1	1
276	метода и	1	1
277	но все	1	1
278	сильнее и	2	1
279	общественной жизни	6	1
280	жизни в	3	1
281	оно не	1	1
282	в нее	1	1
283	отдельные люди	1	1
284	и мы	4	1
285	духа и	3	1
286	знает что	1	1
287	от формы	1	1
288	как не	8	1
289	людей но	1	1
290	сами по	1	1
291	вопрос для	1	1
292	путей для	1	1
293	в той	1	1
294	нет и	2	1
295	процесс в	1	1
296	это не	4	1
297	в нашу	2	1
298	времени и	2	1
299	не хотим	2	1
300	и мир	1	1
