N	3gram	Vinokur_Ku_1	Problema
1	по отношению к	8	19
2	и т п	18	13
3	не может быть	3	11
4	с точки зрения	9	6
5	в отличие от	1	5
6	между тем как	1	5
7	в большинстве случаев	1	5
8	позицию по отношению	1	4
9	с другой стороны	6	4
10	в противном случае	1	3
11	на самом деле	2	3
12	в самом деле	7	3
13	в этом смысле	3	3
14	в иных случаях	2	3
15	можно было бы	3	3
16	в применении к	1	3
17	далеко не всегда	1	3
18	все то что	1	3
19	с одной стороны	1	3
20	то же время	2	3
21	в том что	15	3
22	в то же	2	3
23	тем не менее	4	3
24	в какой мере	1	2
25	в строгом смысле	1	2
26	и в то	1	2
27	не только в	1	2
28	приходится иметь дело	1	2
29	есть таким образом	1	2
30	языка в его	2	2
31	того или иного	3	2
32	так и в	2	2
33	и тем самым	1	2
34	той или иной	1	2
35	и должны быть	1	2
36	для того чтобы	15	2
37	и с его	1	2
38	в этом отношении	5	2
39	именно в том	2	1
40	и может быть	1	1
41	только в этих	1	1
42	в ее целом	1	1
43	что иное как	1	1
44	тех пределах в	1	1
45	мы сказали бы	1	1
46	или иного отдельного	1	1
47	совершенно еще не	1	1
48	иметь в виду	1	1
49	а вовсе не	1	1
50	в свою очередь	3	1
51	не говоря уже	1	1
52	форма должна быть	1	1
53	в настоящее время	1	1
54	в том и	2	1
55	идет речь в	1	1
56	к которому он	1	1
57	о том как	3	1
58	имеется в виду	1	1
59	можно и должно	1	1
60	до сих пор	4	1
61	хотя бы и	2	1
62	в таких случаях	1	1
63	сами по себе	1	1
64	при этом в	1	1
65	вследствие того что	1	1
66	следует что в	1	1
67	пределах в каких	1	1
68	по аналогии с	1	1
69	с тем что	1	1
70	в известной мере	1	1
71	ни в какой	1	1
72	на то что	2	1
73	не может но	1	1
74	и не в	1	1
75	т п и	1	1
76	отнюдь не является	1	1
77	таким образом есть	1	1
78	не что иное	1	1
79	и в его	1	1
80	смысле этого слова	1	1
81	на том основании	1	1
82	с помощью которого	1	1
83	отношению к которому	1	1
84	в тех пределах	1	1
85	которые могли бы	1	1
86	притом не только	1	1
87	и ничего не	1	1
88	не в том	4	1
89	в связи с	3	1
90	к своему предмету	1	1
91	в том смысле	1	1
92	не для того	1	1
93	только в его	1	1
94	и не столь	1	1
95	и является как	1	1
96	лицом к лицу	1	1
97	себя самого это	1	1
98	в свое время	2	1
99	не может возникнуть	1	1
100	только в той	1	1
101	а в том	2	1
102	таким образом в	1	1
103	прежде всего от	1	1
104	том основании что	1	1
105	том смысле что	1	1
106	та или иная	1	1
107	ясно что в	1	1
108	и т д	14	1
109	всего то что	1	1
110	хотя бы в	4	1
111	и в самом	2	1
112	язык в его	1	1
113	языка как такового	1	1
114	в самом широком	1	1
115	и с точки	1	1
116	к тому что	2	1
117	в первом случае	1	1
118	к вопросу о	1	1
119	самом широком смысле	1	1
120	возможно лишь после	1	1
121	целом и в	1	1
122	на этот вопрос	1	1
123	является как бы	1	1
124	первом и втором	1	1
125	все это можно	1	1
