N	2gram	Bakhtin_Pr_2	Otkroven
1	у него	6	22
2	и в	43	19
3	у достоевского	14	19
4	но и	14	13
5	и не	29	13
6	в этом	13	12
7	из подполья	2	11
8	человека в	4	11
9	не в	11	11
10	не только	11	11
11	может быть	23	11
12	а не	7	11
13	человека и	2	10
14	вопрос о	2	10
15	в нем	12	10
16	и все	6	10
17	в самой	4	9
18	прежде всего	10	9
19	не было	1	9
20	в человеке	3	9
21	никогда не	9	9
22	он был	3	8
23	и он	5	8
24	ивана карамазова	2	7
25	в его	10	7
26	человек не	1	7
27	он не	9	7
28	лишь в	8	7
29	достоевского он	2	7
30	до конца	4	7
31	ни с	1	7
32	но он	4	7
33	от него	1	7
34	как и	14	6
35	все это	5	6
36	отношение к	2	5
37	в том	6	5
38	в самом	7	5
39	в этой	1	5
40	человеке в	1	5
41	для него	8	5
42	достоевского и	2	5
43	все герои	1	5
44	в творчестве	2	5
45	него в	3	5
46	о его	1	5
47	для достоевского	3	5
48	а в	5	5
49	то что	7	5
50	он сам	3	4
51	с его	4	4
52	достоевского не	3	4
53	все эти	5	4
54	герои достоевского	1	4
55	него и	1	4
56	его мысли	2	4
57	в самую	1	4
58	что не	2	4
59	человеческих отношений	1	4
60	не может	18	4
61	в романах	3	4
62	т е	26	4
63	достоевский не	2	4
64	того чтобы	1	4
65	человек и	2	4
66	есть лишь	1	4
67	и мысли	2	4
68	и его	8	4
69	что в	4	4
70	только и	1	4
71	и есть	1	3
72	достоевского в	4	3
73	о том	5	3
74	еще не	9	3
75	самого достоевского	1	3
76	к нему	5	3
77	подполья и	1	3
78	было бы	5	3
79	того что	2	3
80	когда он	3	3
81	что он	13	3
82	и ее	3	3
83	в себе	5	3
84	не могут	4	3
85	это не	3	3
86	мысли и	2	3
87	могут быть	3	3
88	как бы	22	3
89	романах достоевского	2	3
90	с ним	3	3
91	и от	1	3
92	в этих	6	3
93	хотя бы	2	3
94	в своих	2	3
95	все что	1	3
96	он прежде	1	2
97	и с	5	2
98	и то	2	2
99	в ее	1	2
100	что у	2	2
101	так и	3	2
102	и душа	2	2
103	и о	2	2
104	по себе	11	2
105	сложнее и	1	2
106	вместо того	1	2
107	и на	10	2
108	художественном творчестве	3	2
109	что и	3	2
110	достоевский прежде	1	2
111	своем художественном	1	2
112	ивана и	1	2
113	как к	1	2
114	в своем	4	2
115	и нет	4	2
116	все же	3	2
117	героев достоевского	4	2
118	и к	3	2
119	и потому	1	2
120	должен был	1	2
121	и этим	3	2
122	человека все	1	2
123	что достоевский	1	2
124	в уста	1	2
125	учение о	1	2
126	произведений достоевского	2	2
127	так что	5	2
128	ничего и	1	2
129	уже в	2	2
130	к достоевскому	1	2
131	в единстве	3	2
132	что для	1	2
133	ведь это	2	2
134	которую он	2	2
135	так как	4	2
136	этом мире	1	2
137	тем что	3	2
138	в других	1	2
139	образ человека	2	2
140	этом он	1	2
141	в другом	7	2
142	и из	1	2
143	его в	3	2
144	человека а	1	2
145	одного только	1	2
146	достоевского с	1	2
147	сказать что	2	2
148	и очень	2	2
149	чем в	1	2
150	должно быть	4	2
151	него не	2	2
152	достоевского но	3	2
153	достоевского нет	2	2
154	том что	2	2
155	что есть	1	2
156	от человека	1	2
157	для всякого	1	2
158	к этому	1	2
159	что же	7	2
160	выше всего	1	2
161	то к	1	2
162	своей жизни	2	2
163	не имеет	1	2
164	и для	3	2
165	самое главное	1	2
166	ничего не	3	2
167	и ни	1	2
168	не есть	2	2
169	иван карамазов	1	2
170	в своей	4	2
171	что все	1	2
172	всего в	1	2
173	хотя и	5	2
174	ее в	2	2
175	все еще	1	2
176	но в	10	2
177	им для	1	1
178	смысле слова	1	1
179	и это	4	1
180	и самое	2	1
181	человеческой природой	1	1
182	отношения к	2	1
183	также и	3	1
184	например в	2	1
185	не делает	1	1
186	лишь после	1	1
187	чтобы не	2	1
188	и действительно	1	1
189	и через	1	1
190	в виду	3	1
191	сам по	5	1
192	не могу	2	1
193	на самом	1	1
194	но тем	1	1
195	тем же	2	1
196	между двумя	1	1
197	к другому	5	1
198	лучше сказать	1	1
199	и до	4	1
200	должна быть	3	1
201	и больше	1	1
202	видеть в	1	1
203	стремиться к	1	1
204	объективного изображения	1	1
205	человека он	1	1
206	можно было	3	1
207	к чему	1	1
208	всей ее	1	1
209	не с	1	1
210	есть не	1	1
211	по природе	1	1
212	собой в	1	1
213	и каждый	1	1
214	он знает	1	1
215	мы не	4	1
