N	2gram	Medvedev_B_1	Formalny
1	и в	1	38
2	таким образом	1	20
3	и не	2	20
4	прежде всего	1	15
5	в пределах	1	12
6	не только	1	9
7	все же	1	8
8	так и	1	8
9	отнюдь не	1	8
10	в своей	1	7
11	что в	1	7
12	художественного произведения	1	6
13	и ее	1	6
14	а не	1	6
15	в ней	2	6
16	было бы	1	6
17	не было	1	6
18	во всяком	1	5
19	должна быть	1	5
20	говорить о	1	5
21	всяком случае	1	5
22	другой стороны	1	4
23	совершенно не	1	4
24	на выражение	1	4
25	не следует	1	4
26	не о	1	4
27	в значительной	1	3
28	на самом	1	3
29	значительной степени	1	3
30	не то	2	3
31	по теории	1	3
32	а о	1	3
33	и на	1	3
34	с другой	1	3
35	все это	2	3
36	в области	1	3
37	формалистической поэтики	1	3
38	было и	1	2
39	кроме того	1	2
40	было говорить	1	2
41	значение слова	1	2
42	его не	1	2
43	литературных произведений	2	2
44	и о	1	2
45	формализма и	1	2
46	точке зрения	1	2
47	между ними	1	2
48	до конца	1	2
49	всего в	1	2
50	в эпоху	1	2
51	говорить не	1	2
52	установка на	1	2
53	и более	1	2
54	же не	1	1
55	вопрос о	1	1
56	без понимания	1	1
57	крайней мере	1	1
58	поэтика должна	1	1
59	теории литературы	1	1
60	по крайней	1	1
61	методологической позиции	1	1
62	и во	1	1
63	из ее	1	1
64	одной из	1	1
65	материала по	1	1
66	то как	1	1
67	представляется нам	1	1
68	как таковому	1	1
69	к ней	1	1
70	чтобы можно	1	1
71	у нас	3	1
72	за пределы	1	1
73	нельзя не	1	1
74	томашевского и	1	1
75	произведения все	1	1
76	в научном	1	1
77	в книге	1	1
78	литературы как	1	1
79	творчества и	1	1
80	нет но	1	1
81	со всем	1	1
82	не вполне	1	1
83	далеко не	1	1
84	о них	1	1
85	является только	1	1
86	и нет	1	1
87	и исторической	1	1
88	художественном произведении	1	1
89	к формальному	1	1
90	как будто	1	1
91	можно было	2	1
92	в речи	1	1
93	в данном	1	1
