N	2gram	Bakhtin_Pr_2	Komedia
1	и в	43	22
2	т е	26	13
3	том что	2	12
4	в г	1	11
5	но и	14	11
6	в том	6	11
7	не только	11	10
8	в то	7	10
9	из них	2	10
10	и т	13	9
11	как и	14	9
12	может быть	23	9
13	таким образом	5	8
14	о том	5	8
15	и его	8	8
16	в одном	12	8
17	и не	29	8
18	в этой	1	7
19	то же	8	6
20	тому же	3	6
21	и по	1	6
22	не в	11	6
23	в отношении	3	6
24	ни в	2	6
25	в конце	2	6
26	что он	13	6
27	к тому	4	6
28	а в	5	6
29	что в	4	6
30	как в	2	5
31	то время	2	5
32	при этом	6	5
33	во время	4	5
34	со своим	1	5
35	так и	3	5
36	еще в	1	5
37	и даже	3	5
38	между тем	3	5
39	один из	1	5
40	уже в	2	5
41	в его	10	5
42	прежде всего	10	5
43	т п	9	5
44	о которых	1	5
45	с другой	4	5
46	все это	5	5
47	другой стороны	3	5
48	из его	2	4
49	время как	2	4
50	но в	10	4
51	в нем	12	4
52	т д	4	4
53	в другом	7	4
54	известно что	2	4
55	несмотря на	1	4
56	точки зрения	13	4
57	в котором	6	4
58	в их	3	4
59	одном из	1	4
60	так как	4	4
61	как мы	10	4
62	на него	3	4
63	примерно в	1	4
64	же время	5	4
65	ли не	1	4
66	так в	1	4
67	что и	3	4
68	в качестве	1	4
69	мы можем	2	4
70	тем что	3	4
71	и особенно	2	4
72	в результате	4	4
73	конце концов	2	4
74	же в	1	4
75	по поводу	1	4
76	к этому	1	4
77	же как	1	3
78	идет о	1	3
79	мы не	4	3
80	и о	2	3
81	и на	10	3
82	с одной	1	3
83	в этом	13	3
84	все же	3	3
85	хотя и	5	3
86	и как	2	3
87	в целом	2	3
88	на то	5	3
89	да и	5	3
90	он не	9	3
91	и еще	2	3
92	здесь мы	2	3
93	и с	5	3
94	его в	3	3
95	в них	4	3
96	и ее	3	3
97	вопрос о	2	3
98	не менее	3	3
99	однако в	1	3
100	даже в	3	3
101	по отношению	5	3
102	того как	2	3
103	ничего не	3	3
104	за исключением	1	3
105	в сознании	1	3
106	у нас	2	3
107	могут быть	3	3
108	и сам	7	3
109	во второй	1	3
110	после того	1	3
111	в образе	2	3
112	тот же	3	3
113	одной из	1	3
114	только в	4	3
115	в виде	3	3
116	в начале	1	3
117	отношение к	2	3
118	у него	6	3
119	каждый из	2	3
120	как раз	4	3
121	к которому	1	3
122	все более	1	3
123	так же	2	3
124	как это	1	3
125	их к	1	3
126	по своему	2	3
127	одной стороны	1	3
128	не удалось	1	3
129	в любом	1	3
130	не мог	1	3
131	здесь в	3	3
132	всего в	1	3
133	его творчества	2	3
134	и все	6	3
135	отношению к	5	3
136	того же	3	2
137	ту же	2	2
