N	3gram	Savitsky_P_1	FransuaR
1	в то же	7	9
2	то же время	7	9
3	для того чтобы	1	6
4	в том что	4	6
5	но в то	1	5
6	так же как	1	4
7	в том числе	2	4
8	можно говорить о	1	2
9	в большинстве случаев	1	2
10	в отличие от	1	2
11	друг с другом	1	2
12	том числе и	1	2
13	с точки зрения	3	2
14	в отрыве от	1	2
15	но в общем	1	2
16	не может быть	1	2
17	и не менее	1	1
18	что дело идет	1	1
19	том что в	1	1
20	и в частности	1	1
21	одно из важнейших	1	1
22	и тех кто	1	1
23	в полной мере	2	1
24	и в то	2	1
25	же время в	1	1
26	и в формах	1	1
27	именно потому что	1	1
28	в значительной мере	2	1
29	вместе с тем	1	1
30	в последующие века	1	1
31	все это в	1	1
32	далеко не все	1	1
33	там где он	1	1
34	в ней и	1	1
35	не может исчезнуть	1	1
