N	2gram	Tiupa_Narr_1	Freidism
1	таким образом	1	24
2	и не	23	23
3	не может	8	20
4	точки зрения	5	19
5	прежде всего	4	18
6	в этом	12	15
7	в его	6	15
8	с помощью	1	14
9	в душе	1	13
10	мы можем	2	13
11	может быть	15	13
12	и его	10	12
13	как и	13	11
14	с точки	1	11
15	как бы	6	11
16	то что	9	11
17	самом деле	3	10
18	но в	7	10
19	его в	1	10
20	с ним	2	10
21	как мы	2	10
22	так и	5	10
23	и потому	1	10
24	с его	4	9
25	во всех	1	9
26	по отношению	3	9
27	и в	11	9
28	то же	8	8
29	не только	31	8
30	он не	3	8
31	в своей	5	8
32	еще не	4	8
33	оно и	1	8
34	что он	3	8
35	только в	12	8
36	так как	1	8
37	все это	1	8
38	и все	3	8
39	отношению к	3	8
40	все что	2	8
41	в самом	6	7
42	мы уже	1	7
43	отношение к	1	7
44	и наконец	1	7
45	мы видели	1	7
46	к нему	4	7
47	один из	6	7
48	тот же	1	7
49	всяком случае	2	7
50	сказать что	2	7
51	во всяком	2	7
52	в ней	4	6
53	так сказать	2	6
54	и с	3	6
55	на протяжении	7	6
56	и ее	3	6
57	точку зрения	1	6
58	того что	4	6
59	для него	4	6
60	никогда не	4	6
61	хотя бы	2	6
62	совершенно не	1	6
63	на самом	1	5
64	и на	5	5
65	он сам	3	5
66	в чем	2	5
67	и к	1	5
68	в этой	6	5
69	не в	6	5
70	в то	4	5
71	сознанием и	1	5
72	могут быть	1	5
73	для этого	1	5
74	можно сказать	5	5
75	для того	3	5
76	во внешнем	1	5
77	по мнению	1	5
78	а в	13	5
79	но и	27	5
80	связь с	1	5
81	с этим	1	5
82	его жизни	3	5
83	в период	1	5
84	в свою	2	5
85	что в	3	5
86	в зависимости	2	4
87	той же	1	4
88	мы не	3	4
89	в которой	1	4
90	зависимости от	2	4
91	но не	4	4
92	все же	4	4
93	не было	3	4
94	из этих	4	4
95	в пределах	2	4
96	в нем	4	4
97	то ни	1	4
98	при этом	19	4
99	об этом	6	4
100	с другими	1	4
101	в жизни	3	4
102	на основании	1	4
103	во время	1	4
104	не менее	3	4
105	же время	4	4
106	потому что	5	4
107	и для	2	4
108	к тому	6	4
109	того чтобы	4	4
110	данном случае	8	4
111	сводится к	3	4
112	с ними	2	4
113	уже не	8	4
114	в котором	1	4
115	как раз	6	4
116	в данном	11	4
117	и о	3	4
118	в более	1	4
119	в следующей	3	4
120	сознания и	1	4
121	в этих	2	4
122	между ними	2	4
123	в таком	2	4
124	жизнь человека	1	3
125	другому человеку	1	3
126	и есть	1	3
127	на себя	4	3
128	он был	1	3
129	а только	1	3
130	с отцом	1	3
131	конечном счете	1	3
132	один и	2	3
133	как в	4	3
134	и как	3	3
135	между двумя	5	3
136	следующей главе	1	3
137	и тот	1	3
138	в себе	6	3
139	но ведь	1	3
140	главным образом	1	3
141	и вот	2	3
142	и по	1	3
143	уже знаем	1	3
144	мы имеем	3	3
145	нисколько не	1	3
146	случае не	1	3
147	тому что	1	3
148	одна из	4	3
149	в сознании	4	3
150	ни о	2	3
151	к себе	4	3
152	она не	2	3
153	с ее	2	3
154	свою очередь	2	3
155	только то	1	3
156	приводит к	1	3
157	что может	2	3
158	если бы	7	3
159	и смерть	1	3
160	бы то	1	3
161	в конечном	3	3
162	во втором	6	3
163	со всеми	1	3
164	себя в	2	3
165	у него	7	3
166	со стороны	8	3
167	и т.п	8	3
168	на этот	1	3
169	о себе	1	3
170	вместе с	2	3
171	по своему	2	3
172	слова и	1	3
173	и от	2	3
174	но это	1	3
175	не является	3	3
176	в голову	1	3
177	когда он	1	3
178	не знает	1	3
179	жизни и	6	3
180	в искусстве	1	3
181	по поводу	1	3
182	чтобы не	1	2
183	не остается	1	2
184	и то	3	2
185	тех же	1	2
186	это и	1	2
187	тем же	2	2
188	в первом	4	2
189	и до	1	2
190	в постель	1	2
191	жизни по	1	2
192	что между	1	2
193	в первый	1	2
194	становится совершенно	1	2
195	не совсем	1	2
196	как не	1	2
197	того же	1	2
198	между собой	2	2
199	не отличается	1	2
200	сказать и	1	2
201	в ее	1	2
202	но как	3	2
203	с которыми	1	2
204	ответ на	1	2
205	отличие от	2	2
206	опирается на	1	2
207	в своем	3	2
208	сознания в	2	2
209	не приходится	1	2
210	что это	1	2
211	в нашем	3	2
212	всей его	1	2
213	человек не	1	2
214	что она	1	2
215	моя мысль	1	2
216	их в	3	2
217	но все	1	2
218	в одну	1	2
219	них не	1	2
220	это было	2	2
221	это не	3	2
222	и смерти	1	2
223	только о	1	2
224	жизни то	1	2
225	этого не	2	2
226	и уже	1	2
227	которой он	1	2
228	на две	2	2
229	жизни но	2	2
230	так называемый	1	2
231	том что	7	2
232	во второй	1	2
233	в их	1	2
234	в отличие	2	2
235	сих пор	2	2
236	но во	1	2
237	теми же	1	2
238	иным как	2	2
239	освободиться от	1	2
240	как это	3	2
241	но для	3	2
242	дело не	2	2
243	и притом	2	2
244	для всего	1	2
245	тем не	3	2
246	и мысли	1	2
247	взрослой жизни	1	2
248	человека так	1	2
249	из того	1	2
250	только с	1	2
251	этом отношении	3	2
252	за ними	3	2
253	в области	2	2
254	в момент	1	2
255	умер но	1	2
256	и символы	1	2
257	отличается от	1	2
258	для развития	1	2
259	предыдущей главе	1	2
260	они и	2	2
261	оно не	2	2
262	в виду	1	2
263	роль в	2	2
264	в глаза	1	2
265	это вовсе	1	2
266	не исчерпывается	1	2
267	и вообще	1	2
268	о нем	3	2
269	в другом	1	2
270	до сих	2	2
271	этих двух	2	2
272	нуждается в	1	2
273	что и	1	2
274	от этих	2	2
275	также в	1	2
276	не тот	1	2
