N	2gram	Losev_Prob_4	VelikijI
1	и не	28	20
2	и в	20	16
3	так как	5	9
4	то что	15	9
5	еще не	7	8
6	в истории	3	8
7	что они	2	7
8	на земле	2	7
9	а не	7	7
10	и потому	7	7
11	к людям	1	6
12	человека и	1	6
13	не есть	12	6
14	великом инквизиторе	1	5
15	на себя	1	5
16	но и	14	5
17	того что	1	5
18	хотя и	5	5
19	все это	9	5
20	что есть	1	5
21	как бы	4	5
22	и есть	4	4
23	в образе	1	4
24	говорить о	2	4
25	мира сего	1	4
26	добра и	1	4
27	в его	3	4
28	в этом	9	4
29	что он	8	4
30	потому что	15	4
31	о великом	2	4
32	в нем	5	4
33	так и	10	4
34	что все	1	4
35	что не	4	4
36	с богом	1	4
37	как и	6	4
38	что мы	3	4
39	в котором	2	4
40	в ней	7	4
41	и все	8	4
42	и что	2	3
43	за то	1	3
44	нас и	1	3
45	хотя бы	7	3
46	то это	3	3
47	в чем	2	3
48	с его	2	3
49	во всех	4	3
50	что и	3	3
51	в том	20	3
52	тот же	2	3
53	но в	8	3
54	бы и	3	3
55	по этому	2	3
56	все эти	16	3
57	за ним	2	3
58	они в	1	3
59	в конце	2	3
60	в своей	4	3
61	в жизни	3	3
62	ни в	17	3
63	в них	5	3
64	не было	3	3
65	не верит	1	3
66	должно быть	1	3
67	если не	3	3
68	в этих	5	3
69	нет ничего	3	3
70	что во	2	3
71	и против	1	3
72	не в	13	3
73	тому что	1	3
74	но это	6	3
75	человечества и	1	3
76	не имеет	4	3
77	никогда не	1	3
78	превращается в	1	3
79	и для	4	3
80	к тому	3	3
81	жизни и	5	3
82	что в	3	3
83	и это	2	2
84	того чтобы	2	2
85	и то	2	2
86	от своей	1	2
87	во главе	1	2
88	это мы	1	2
89	верит в	2	2
90	и сам	1	2
91	и т	4	2
92	можно было	4	2
93	мы не	7	2
94	когда в	1	2
95	с ним	4	2
96	под этим	1	2
97	и во	4	2
98	к нам	1	2
99	ивана карамазова	1	2
100	нет и	2	2
101	не любят	1	2
102	духа и	1	2
103	только в	23	2
104	существе своем	1	2
105	ничего и	1	2
106	конечно не	3	2
107	уже не	5	2
108	не только	24	2
109	раз навсегда	1	2
110	превращаются в	1	2
111	не так	3	2
112	для него	3	2
113	не хотел	2	2
114	не к	2	2
115	в существе	1	2
116	в прошлом	1	2
117	не могли	2	2
118	тем что	3	2
119	на том	1	2
120	не будет	2	2
121	раз о	1	2
122	это не	7	2
123	т д	3	2
124	прежде всего	11	2
125	для них	2	2
126	все равно	3	2
127	с тем	4	2
128	мы и	1	2
129	для человека	1	2
130	для их	1	2
131	познания добра	1	2
132	и тогда	2	2
133	зачем же	1	2
134	не могут	1	2
135	ли ты	1	2
136	самого себя	1	2
137	над ними	1	2
138	да и	5	2
139	это дело	1	2
140	уже на	1	2
141	том что	12	2
142	тот кто	1	2
143	а к	1	2
144	для нас	6	2
145	они и	2	2
146	есть уже	1	2
147	до того	2	2
148	это все	2	2
149	а в	4	2
150	но не	5	2
151	легенда о	1	2
152	могут быть	1	2
153	всего в	1	2
154	и зла	1	2
155	во всяком	8	2
156	как мы	3	1
157	в виду	6	1
158	ним или	1	1
159	для себя	2	1
160	в ее	5	1
161	и говорит	2	1
162	и до	1	1
163	он всегда	1	1
164	мы будем	1	1
165	если они	1	1
166	то же	7	1
167	лет назад	2	1
168	земле то	1	1
169	тысячи лет	1	1
170	от всякой	2	1
171	до времени	1	1
172	нам уже	1	1
173	в результате	8	1
174	и тут	1	1
175	это только	1	1
176	по сравнению	1	1
177	сливаться с	1	1
178	что уже	1	1
179	вопрос о	1	1
180	самой жизни	3	1
181	и вообще	6	1
182	не была	1	1
183	нас это	1	1
184	находится в	1	1
185	и ее	4	1
186	не был	1	1
187	зависимости от	3	1
188	меня в	2	1
189	целое и	1	1
190	в их	1	1
191	и на	3	1
192	он был	3	1
193	вся дальнейшая	1	1
194	бы то	1	1
195	истории в	1	1
196	вечной жизни	1	1
197	жизни с	1	1
198	природы и	1	1
199	все в	3	1
200	что оно	1	1
201	к нему	3	1
202	кроме себя	1	1
203	но как	3	1
204	если в	1	1
205	присутствует в	1	1
206	себе и	3	1
207	бы в	1	1
208	себя но	1	1
209	не просто	16	1
210	крайней мере	6	1
211	и можно	5	1
212	и уж	2	1
213	его на	1	1
214	как в	5	1
215	и самые	1	1
216	и полное	1	1
217	в своем	3	1
218	известном смысле	1	1
219	все же	2	1
220	д и	1	1
221	могли бы	1	1
222	идет по	1	1
223	мы видим	1	1
224	с ними	2	1
225	было что	1	1
226	и хотя	1	1
227	в разные	1	1
228	и так	1	1
229	со своей	2	1
230	в самом	2	1
231	в которой	2	1
232	картины которую	1	1
233	образа в	1	1
234	что это	2	1
235	но под	1	1
236	в целом	1	1
237	сущности и	1	1
238	тоже не	1	1
239	в этой	4	1
240	в известном	2	1
241	это тот	1	1
242	же и	3	1
243	и счастье	1	1
244	им в	1	1
245	уже в	4	1
246	в которую	1	1
247	то и	5	1
248	то уж	1	1
249	не нужны	1	1
250	в виде	22	1
251	и если	5	1
252	по законам	1	1
253	или даже	4	1
254	но от	1	1
255	говорит что	2	1
256	перестает быть	2	1
257	опять-таки не	1	1
258	зла и	1	1
259	и вот	1	1
260	вовсе не	21	1
261	значит быть	1	1
262	существует и	1	1
263	отношение к	1	1
264	но что	1	1
265	у него	1	1
266	не случайно	1	1
267	и по	2	1
268	бы все	1	1
269	и вместе	1	1
270	ее на	1	1
271	человека в	3	1
272	бы это	1	1
273	для того	3	1
274	то ни	1	1
275	эту истину	1	1
276	и с	7	1
277	ней и	1	1
278	а его	2	1
279	себя не	1	1
280	с другой	7	1
281	художественный образ	6	1
282	есть не	6	1
283	превратится в	1	1
284	и быть	1	1
285	еще и	3	1
286	весь мир	2	1
287	и тем	7	1
288	перестала быть	1	1
289	нового времени	1	1
290	говорит о	2	1
291	церкви и	1	1
292	был в	2	1
293	мы скажем	1	1
294	их для	1	1
295	человеческой жизни	5	1
