N	3gram	Medvedev_V_1	KulturaY
1	и т п	9	18
2	для того чтобы	3	15
3	в том что	5	15
4	и т д	14	14
5	в том чтобы	2	8
6	по отношению к	7	8
7	в самом деле	1	7
8	с другой стороны	8	6
9	о том что	3	5
10	в зависимости от	5	5
11	в этом отношении	13	5
12	по крайней мере	2	5
13	во всяком случае	1	5
14	до сих пор	1	4
15	не в том	2	4
16	хотя бы в	3	4
17	более или менее	6	3
18	в этом смысле	1	3
19	в соответствии с	1	3
20	о том как	3	3
21	того или иного	1	3
22	только в том	2	3
23	можно было бы	2	3
24	вместе с тем	3	3
25	в связи с	3	3
26	в свою очередь	1	3
27	не может быть	8	3
28	все это не	1	3
29	в силу того	1	2
30	чуть ли не	2	2
31	так или иначе	1	2
32	что в них	1	2
33	в целом и	1	2
34	т е в	2	2
35	и есть в	1	2
36	именно в том	1	2
37	а в том	1	2
38	то же время	5	2
39	хотя бы и	5	2
40	этой точки зрения	2	2
41	в то же	5	2
42	к тому что	3	2
43	том что оно	1	2
44	если бы он	1	1
45	и может быть	1	1
46	в силу этого	4	1
47	в какой мере	1	1
48	примером может служить	1	1
49	иметь в виду	2	1
50	не говоря уже	1	1
51	ни один из	2	1
52	с более или	2	1
53	как увидим ниже	1	1
54	того или другого	1	1
55	с одной стороны	2	1
56	том как возник	1	1
57	занимает по отношению	1	1
58	том случае если	1	1
59	и в то	3	1
60	сами по себе	1	1
61	между собою в	1	1
62	таким образом не	3	1
63	мы говорим о	1	1
64	а вместе с	1	1
65	оказываются таким образом	1	1
66	в письме к	8	1
67	на этот вопрос	1	1
68	ни в какой	1	1
69	т п для	1	1
70	е не в	1	1
71	в противном случае	2	1
72	одним из моментов	1	1
73	т п все	1	1
74	с этой точки	1	1
75	в том случае	1	1
76	одно и то	1	1
77	в конечном итоге	2	1
78	в применении к	1	1
79	от августа года	1	1
80	бы и не	3	1
81	ничего общего с	1	1
82	в виду не	1	1
83	что мы имеем	1	1
84	не только в	2	1
85	чтобы ответить на	1	1
86	из моментов в	1	1
87	и то же	1	1
88	и вместе с	1	1
89	главным образом на	1	1
90	во всех этих	1	1
91	имеем в виду	1	1
92	дело не в	1	1
93	не случайно и	1	1
94	в том смысле	1	1
95	та или иная	1	1
96	те или иные	1	1
97	так же как	1	1
98	лицом к лицу	1	1
99	очевидно что в	1	1
100	но было бы	1	1
101	но с другой	1	1
102	от того что	2	1
103	том смысле что	1	1
104	по аналогии с	1	1
105	что на известной	1	1
106	на известной ступени	1	1
107	а всего лишь	3	1
108	в каждой из	1	1
109	той или иной	1	1
110	целого ряда других	1	1
111	вот что рассказывает	2	1
112	после того как	1	1
113	в братьях карамазовых	1	1
114	таким образом в	2	1
115	т е не	1	1
116	все то что	1	1
117	только тогда когда	1	1
118	не в этом	1	1
119	это значит только	1	1
120	тот или иной	1	1
