N	3gram	Trubetskoy_1	Problema
1	по отношению к	1	19
2	не может быть	1	11
3	с точки зрения	6	6
4	в отличие от	1	5
5	в данном случае	1	4
6	с другой стороны	1	4
7	в самом деле	1	3
8	бы то ни	2	3
9	с одной стороны	7	3
10	то же время	2	3
11	в том что	3	3
12	в то же	2	3
13	тем не менее	3	3
14	можно сказать что	2	2
15	то же самое	2	2
16	то или иное	2	2
17	и в то	1	2
18	то ни было	2	2
19	не совпадает с	1	2
20	может и не	1	2
21	так и в	1	2
22	сказать и о	1	2
23	той или иной	2	2
24	для того чтобы	5	2
25	в этом отношении	2	2
26	его уже не	1	1
27	а между тем	1	1
28	и в общем	1	1
29	и к культуре	1	1
30	иметь в виду	1	1
31	в свою очередь	1	1
32	в этом последнем	1	1
33	в настоящее время	1	1
34	сдвиг в области	1	1
35	о том как	1	1
36	по своему значению	1	1
37	но не имеет	1	1
38	но далеко не	1	1
39	которой не было	1	1
40	а следовательно и	1	1
41	до сих пор	5	1
42	до известной степени	1	1
43	сами по себе	1	1
44	в одном и	1	1
45	к нему или	1	1
46	что все эти	1	1
47	вследствие того что	1	1
48	с тем что	1	1
49	особенно в области	1	1
50	от них в	1	1
51	на то что	2	1
52	может быть и	2	1
53	но в то	1	1
54	к чему не	1	1
55	смысле этого слова	1	1
56	и в этом	2	1
57	по сравнению с	2	1
58	которые могли бы	1	1
59	притом не только	1	1
60	не в том	1	1
61	в связи с	3	1
62	в этом направлении	1	1
63	тем или иным	1	1
64	лицом к лицу	1	1
65	а в том	1	1
66	с ними в	1	1
67	таким образом в	2	1
68	ни к чему	1	1
69	есть ли это	1	1
70	в то время	1	1
71	это и есть	1	1
72	не более как	1	1
73	в первом случае	1	1
74	в своем целом	1	1
75	их он может	1	1
