N	2gram	Losev_Vlad_2	Marksizm
1	может быть	7	28
2	и в	30	19
3	как бы	5	19
4	и не	18	19
5	не может	9	18
6	точки зрения	7	17
7	то же	4	16
8	и его	6	16
9	как мы	11	15
10	в этом	20	15
11	в сущности	2	14
12	так сказать	1	14
13	таким образом	3	14
14	лишь в	1	14
15	не только	12	13
16	с точки	3	13
17	связи с	8	13
18	в нем	4	11
19	если бы	1	11
20	вовсе не	4	11
21	не в	9	10
22	речи в	1	10
23	так и	5	10
24	но и	8	10
25	том что	12	10
26	самом деле	1	9
27	при этом	5	9
28	как и	5	9
29	для него	9	9
30	а не	7	9
31	с его	4	8
32	в то	9	8
33	же время	3	8
34	только в	6	8
35	его в	4	7
36	никогда не	7	7
37	в том	18	7
38	прежде всего	6	7
39	в связи	8	7
40	и для	3	7
41	но в	8	7
42	в таком	3	7
43	мы уже	2	6
44	во всех	3	6
45	и как	3	6
46	в самом	2	6
47	если мы	1	6
48	ни в	7	6
49	в смысле	1	6
50	того чтобы	2	6
51	к тому	2	6
52	для того	2	6
53	быть и	1	6
54	и все	7	6
55	хотя бы	3	6
56	в свою	3	6
57	смысле слова	1	5
58	того же	5	5
59	и на	4	5
60	все же	9	5
61	выражение в	1	5
62	то ни	1	5
63	в данном	3	5
64	в их	2	5
65	самого начала	1	5
66	свою очередь	2	5
67	с самого	1	5
68	и здесь	1	5
69	к нему	2	5
70	в его	11	5
71	отношении к	1	5
72	в той	2	5
73	и того	1	5
74	тем более	3	5
75	к этому	6	5
76	так же	4	5
77	а как	1	4
78	и ее	1	4
79	бы то	1	4
80	конечно не	4	4
81	только на	1	4
82	в себе	6	4
83	на то	2	4
84	в данной	1	4
85	это не	2	4
86	было бы	9	4
87	и тем	1	4
88	мы видели	2	4
89	в отношении	3	4
90	ничего не	2	4
91	следует что	1	4
92	для себя	5	4
93	в русском	2	4
94	того что	5	4
95	что он	13	4
96	в душе	1	4
97	и их	1	4
98	как раз	1	4
99	влияние на	1	4
100	в основном	5	4
101	то что	20	4
102	сказать что	11	4
103	если б	1	3
104	и то	5	3
105	в котором	5	3
106	и до	2	3
107	высшей степени	1	3
108	в ней	4	3
109	еще не	1	3
110	французском языке	3	3
111	менее всего	1	3
112	отличие от	3	3
113	чем же	1	3
114	с этим	5	3
115	перед нами	1	3
116	все эти	5	3
117	учение о	3	3
118	в этой	4	3
119	он не	4	3
120	не к	1	3
121	здесь мы	3	3
122	не будет	1	3
123	той же	4	3
124	по себе	5	3
125	в этих	4	3
126	в своей	5	3
127	в отличие	3	3
128	мысли и	2	3
129	не имеет	2	3
130	в каком	1	3
131	у нас	6	3
132	не есть	4	3
133	и это	3	3
134	оно может	1	3
135	о том	4	3
136	и лишь	1	3
137	что и	3	3
138	в двух	2	3
139	в какой	1	3
140	в качестве	1	3
141	его и	2	3
142	его из	1	3
143	характерно что	1	3
144	так как	5	3
145	в высшей	1	3
146	до сих	1	3
147	к которым	1	3
148	не было	10	3
149	да и	3	3
150	для понимания	1	3
151	должно быть	3	3
152	мы сказали	2	3
153	и от	2	3
154	сих пор	1	3
155	а в	11	3
156	в данную	1	3
157	во всяком	6	3
158	отношения к	3	2
159	одним из	1	2
160	собственном смысле	1	2
161	от своего	1	2
162	мы здесь	1	2
163	и он	4	2
164	и самого	1	2
165	он был	6	2
166	иное как	1	2
167	но как	1	2
168	что они	1	2
169	конечно совершенно	1	2
170	в собственном	1	2
171	независимо от	1	2
172	в своем	8	2
173	его к	1	2
174	более или	3	2
175	что это	4	2
176	в нашем	1	2
177	речи на	1	2
178	в тех	1	2
179	тому же	1	2
180	им как	1	2
181	и с	14	2
182	– то	1	2
183	является конечно	1	2
184	на все	2	2
185	то есть	7	2
186	это было	4	2
187	в жизни	1	2
188	рядом с	1	2
189	далеко не	1	2
190	и потому	2	2
191	он и	3	2
192	мы не	2	2
193	и всюду	1	2
194	или менее	3	2
195	как процесс	1	2
196	является для	1	2
197	место в	1	2
198	по крайней	4	2
199	но они	1	2
200	как о	1	2
201	или как	2	2
202	ведь нет	1	2
203	и является	1	2
204	только с	1	2
205	сравнительно с	3	2
206	должны быть	1	2
207	и о	4	2
208	но по	2	2
209	не с	1	2
210	здесь как	1	2
211	все то	1	2
212	поэтому в	1	2
213	и даже	10	2
214	чтобы понять	1	2
215	сводится к	1	2
216	к проблемам	1	2
217	другими словами	5	2
218	все его	1	2
219	крайней мере	4	2
220	всяком случае	6	2
221	эти последние	4	2
222	но не	3	2
223	мы увидим	1	2
224	которой мы	2	2
225	себя в	2	2
226	уже в	3	2
227	в виде	3	2
228	но для	1	2
229	мы знаем	4	2
230	не так	1	2
231	друг друга	2	2
232	но что	5	2
233	у него	19	2
234	тем что	1	2
235	даже и	3	2
236	это будет	1	2
237	именно в	4	2
238	здесь в	2	2
239	ведь все	1	2
240	и прежде	2	2
241	бытия в	2	2
242	что не	2	2
243	они не	1	2
244	стремится к	2	2
245	до конца	7	2
246	не на	2	2
247	о чем	6	2
248	все более	1	2
249	вместе с	8	2
250	и особенно	3	2
251	к его	2	2
252	xix века	1	2
253	как из	1	2
254	в начале	4	2
255	является как	2	2
256	на слово	1	2
257	в более	2	2
258	имеет дело	1	2
259	от него	1	2
260	следовательно и	1	2
261	еще более	3	2
262	между ними	1	2
263	а ведь	1	2
264	жизни и	6	2
265	что в	12	2
266	именно здесь	1	2
267	как известно	1	1
268	но более	1	1
269	можно говорить	3	1
270	категорий мы	1	1
271	также и	6	1
272	например в	1	1
273	этому нужно	1	1
274	сам по	2	1
275	бытия а	1	1
276	но тем	2	1
277	его со	1	1
278	нам кажется	3	1
279	то в	5	1
280	между двумя	1	1
281	конечно с	1	1
282	из другого	1	1
283	также что	2	1
284	а об	1	1
285	что эти	2	1
286	и за	1	1
287	сказать с	1	1
288	его не	2	1
289	бы что	1	1
290	именно к	3	1
291	говорить о	1	1
292	что иное	1	1
293	которое не	1	1
294	мы и	1	1
295	то это	4	1
296	которое в	2	1
297	как впрочем	1	1
298	языке в	2	1
299	дать ему	1	1
300	время в	4	1
301	что его	4	1
302	и основан	1	1
303	подходить к	1	1
304	из этих	3	1
305	совсем не	4	1
306	то он	1	1
307	а только	1	1
308	точка зрения	1	1
309	к которой	1	1
310	только при	1	1
311	только тогда	2	1
312	не все	1	1
313	а через	1	1
314	и я	5	1
315	основан на	1	1
316	его на	3	1
317	как в	3	1
318	что именно	1	1
319	так называемая	1	1
320	чем мы	1	1
321	дела в	1	1
322	как нам	1	1
323	кроме того	9	1
324	когда он	1	1
325	и наконец	4	1
326	мир и	1	1
327	себе не	1	1
328	нет никакой	1	1
329	ясно и	1	1
330	и хотя	2	1
331	в этот	1	1
332	к чему	1	1
333	в которой	4	1
334	как это	7	1
335	выступления в	1	1
336	бы с	2	1
337	так или	3	1
338	чуть ли	1	1
339	знаем в	1	1
340	но без	1	1
341	в последнее	2	1
342	быть живым	1	1
343	как он	2	1
344	не могла	2	1
345	его но	1	1
346	есть но	1	1
347	и если	4	1
348	к выводу	1	1
349	что она	1	1
350	главным образом	1	1
351	в статье	2	1
352	и теоретическая	1	1
353	они в	1	1
354	всех этих	3	1
355	в первую	1	1
356	нее и	1	1
357	к одному	1	1
358	далека от	1	1
359	и подготовка	1	1
360	и вот	3	1
361	можно назвать	2	1
362	по всем	1	1
363	библейская философия	1	1
364	всех своих	1	1
365	так например	1	1
366	и невозможно	1	1
367	середине и	1	1
368	последнее слово	1	1
369	но все	2	1
370	мы его	1	1
371	было конечно	1	1
372	же касается	5	1
373	со всеми	1	1
374	связанных с	1	1
375	где оно	1	1
376	ясно что	1	1
377	как тот	1	1
378	заключается в	2	1
379	первую очередь	1	1
380	он есть	1	1
381	целостности и	1	1
382	только одно	3	1
383	к области	1	1
384	из нее	1	1
385	но уже	2	1
386	однако при	1	1
387	мне пришлось	1	1
388	в них	3	1
389	в общей	1	1
390	с тем	2	1
391	которой он	2	1
392	несмотря на	4	1
393	в нижнем	1	1
394	все это	5	1
395	нужно чтобы	1	1
396	отрыве от	1	1
397	категории как	1	1
398	свою собственную	1	1
399	что такое	1	1
400	никаких оснований	1	1
401	ясности и	1	1
402	к истории	1	1
403	не столько	3	1
404	на первых	1	1
405	не менее	7	1
406	что имеет	1	1
407	и важным	1	1
408	смысле а	1	1
409	чем дальше	1	1
410	выше мы	1	1
411	не понимает	1	1
412	но он	3	1
413	но во	1	1
414	тем не	6	1
415	и относительно	1	1
416	не могли	3	1
417	уже сказали	1	1
418	такие категории	1	1
419	он как	1	1
420	при всех	1	1
421	бы на	1	1
422	разве только	1	1
423	до известной	1	1
424	что с	1	1
425	иной раз	2	1
426	в русской	1	1
427	тогда когда	2	1
428	и притом	2	1
429	во время	1	1
430	и сама	1	1
431	и часто	2	1
432	было не	1	1
433	с и	2	1
434	но она	1	1
435	ясность и	1	1
436	но только	1	1
437	не могло	1	1
438	и всегда	1	1
439	в самой	1	1
440	и весь	1	1
441	всего на	2	1
442	преимущественно на	1	1
443	ровно ничего	2	1
444	связанное с	1	1
445	не столь	1	1
446	этом отношении	1	1
447	в действительности	1	1
