N	3gram	Potebnia_M_1	slovoVRo
1	и т п	2	33
2	не может быть	9	15
3	с одной стороны	3	5
4	по отношению к	13	4
5	то же время	3	4
6	но все же	1	4
7	в то же	3	4
8	в том что	13	4
9	и там где	1	3
10	с точки зрения	3	3
11	сама по себе	3	3
12	в этом отношении	1	3
13	в собственном смысле	1	3
14	между словом и	1	3
15	так и в	3	3
16	одной стороны и	1	3
17	зрения на мир	1	2
18	в свою очередь	4	2
19	более или менее	1	2
20	языка то есть	2	2
21	до сих пор	1	2
22	и в истории	1	2
23	не только в	3	2
24	не могут быть	2	2
25	во всяком случае	1	2
26	языка не может	1	2
27	в связи с	1	2
28	для того чтобы	2	2
29	и т д	4	2
30	общие для всех	1	1
31	и может быть	2	1
32	а следовательно и	1	1
33	не менее в	1	1
34	имеет дело с	1	1
35	языка но язык	1	1
36	что не может	3	1
37	только в смысле	1	1
38	своего языка как	1	1
39	и не только	1	1
40	языка а следовательно	1	1
41	сами по себе	1	1
42	что язык не	1	1
43	но и в	4	1
44	между тем как	1	1
45	языка но всегда	1	1
46	именно так как	1	1
47	на то что	1	1
48	для нас в	1	1
49	она может быть	1	1
50	может быть только	1	1
51	по себе а	1	1
52	нисколько не уменьшается	1	1
53	вносит в нее	1	1
54	языка то все	1	1
55	в применении к	2	1
56	души и в	1	1
57	по себе еще	1	1
58	и не могут	1	1
59	всяком случае не	1	1
60	все более и	2	1
61	и даже по	1	1
62	могут быть сведены	1	1
63	если они не	1	1
64	а не в	1	1
65	с другой стороны	5	1
66	быть сведены к	1	1
67	в себе все	1	1
68	в нем есть	2	1
69	все то что	2	1
70	мы видели что	1	1
71	именно в том	1	1
72	тем не менее	6	1
73	о том что	1	1
74	а в том	3	1
75	между этими двумя	1	1
76	таким образом в	1	1
77	и язык и	1	1
78	и воля и	1	1
79	мы не можем	1	1
80	как и в	2	1
81	литературного языка и	1	1
82	связанная с ним	1	1
83	точки зрения так	1	1
84	с самого начала	3	1
85	не только не	2	1
86	тем и другим	1	1
87	более и более	2	1
88	нельзя себе представить	2	1
89	что язык и	1	1
90	в них не	2	1
91	она не может	1	1
92	мы увидим что	3	1
93	как мы видели	1	1
