N	3gram	Vinokur_St_3	Formalny
1	с точки зрения	4	14
2	не может быть	5	14
3	на самом деле	1	12
4	в то же	3	7
5	то же время	3	7
6	во всяком случае	4	6
7	и т д	2	6
8	и т п	6	5
9	с другой стороны	4	5
10	в самом деле	1	4
11	в связи с	3	4
12	для того чтобы	1	4
13	потому что он	2	3
14	а не в	1	3
15	то же самое	1	3
16	в этом отношении	4	3
17	вместе с тем	1	3
18	в том что	11	3
19	вовсе не является	1	3
20	но уже в	1	2
21	в этом смысле	4	2
22	и во всяком	1	2
23	не только не	1	2
24	место в жизни	1	2
25	т п в	1	2
26	в чисто литературном	1	2
27	к тому что	2	2
28	тем не менее	2	2
29	дело не в	1	2
30	в конце концов	3	2
31	как мы видели	1	2
32	это связано с	3	1
33	связано с тем	2	1
34	а потому что	2	1
35	одних и тех	1	1
36	иметь в виду	1	1
37	т е не	1	1
38	а иногда и	1	1
39	в том же	1	1
40	что ни в	1	1
41	что же касается	1	1
42	в одних и	1	1
43	можно и должно	1	1
44	формы в своей	1	1
45	в одной из	1	1
46	тот или иной	1	1
47	в лучшем случае	1	1
48	сам по себе	1	1
49	указывает что в	1	1
50	точки зрения своей	1	1
51	в собственном смысле	1	1
52	с тем что	3	1
53	точки зрения ее	1	1
54	в определенную эпоху	2	1
55	а то и	1	1
56	что это значит	1	1
57	одной из своих	1	1
58	с этой точки	1	1
59	говорит о том	1	1
60	до сих пор	2	1
61	и тем не	2	1
62	и тех же	1	1
63	и в других	1	1
64	жизни уже в	1	1
65	так или иначе	1	1
66	от того что	1	1
67	что он был	2	1
68	не потому что	1	1
69	и который в	1	1
70	не только в	3	1
71	с одной стороны	2	1
72	если бы в	1	1
73	тогда было бы	1	1
74	то было бы	1	1
75	это не так	2	1
76	в такой же	1	1
77	не в том	3	1
78	все более и	2	1
79	так что она	1	1
80	случае в каждом	1	1
81	и той же	1	1
82	социальные отношения между	1	1
83	но так как	1	1
84	между тем как	2	1
85	этой точки зрения	1	1
86	о том что	4	1
87	и пр в	2	1
88	в этом же	1	1
89	можно было бы	1	1
90	это объясняется тем	1	1
91	что в его	1	1
92	том что этот	1	1
93	объясняется тем что	1	1
94	с самого начала	2	1
95	и в самом	1	1
96	более и более	2	1
97	той или иной	1	1
98	но все же	2	1
99	можно сказать что	1	1
100	мы имеем в	2	1
101	на то что	3	1
102	совершенно очевидно что	1	1
103	в ином контексте	1	1
104	это вполне понятно	1	1
105	в целом это	1	1
106	одной и той	1	1
107	становится очевидным что	1	1
108	того чтобы стать	1	1
109	же самое и	1	1
110	кроме того в	1	1
111	этого слова в	1	1
