N	3gram	Voloshinov_1	KulturaY
1	с точки зрения	6	16
2	в самом деле	2	11
3	для того чтобы	1	11
4	можно было бы	1	10
5	до сих пор	3	8
6	в том что	1	8
7	той или иной	1	5
8	в данном случае	1	4
9	с одной стороны	1	4
10	и в этом	2	4
11	в связи с	1	4
12	на самом деле	4	3
13	сих пор еще	1	3
14	а с другой	1	3
15	не может быть	3	3
16	так и в	1	3
17	о том что	2	3
18	и того же	1	2
19	не могут быть	2	2
20	так как он	1	2
21	одного и того	1	2
22	в свое время	1	2
23	может повлечь за	1	1
24	есть прежде всего	1	1
25	в этом смысле	3	1
26	то же самое	1	1
27	может быть совершенно	1	1
28	одних и тех	1	1
29	ни в коем	1	1
30	бы то ни	1	1
31	а может быть	1	1
32	одна на другую	1	1
33	по крайней мере	3	1
34	а то и	1	1
35	если б не	1	1
36	все эти понятия	1	1
37	с этой точки	1	1
38	вместе с тем	1	1
39	и тех же	1	1
40	свой смысл и	1	1
41	в коем случае	1	1
42	было до сих	1	1
43	коем случае нельзя	1	1
44	на наших глазах	1	1
45	так же как	2	1
46	в классе и	1	1
47	во всяком случае	3	1
48	но вернемся к	1	1
49	самом деле в	1	1
50	и пр и	3	1
51	на вопрос о	1	1
52	форма и содержание	1	1
53	какое-либо отношение к	1	1
54	этой точки зрения	1	1
55	самом деле есть	1	1
56	мы не можем	1	1
57	на другую и	1	1
58	в конечном счете	2	1
59	и прежде всего	1	1
60	мы имеем в	1	1
61	а вместе с	1	1
62	в том смысле	1	1
63	пр и пр	2	1
64	быть не может	1	1
65	только для того	1	1
66	мы увидим что	1	1
67	крайней мере уже	1	1
