N	2gram	Bakhtin_Pr_1	EvropaiE
1	и в	23	37
2	в отношении	2	32
3	в пределах	9	25
4	точки зрения	21	23
5	что в	8	21
6	не только	13	18
7	с точки	15	17
8	в то	10	16
9	то же	10	15
10	хотя бы	2	15
11	отношении к	2	15
12	в своем	8	14
13	но в	4	14
14	же время	7	14
15	в качестве	1	14
16	но и	11	14
17	и не	34	14
18	в этом	25	12
19	в их	3	11
20	в области	3	11
21	в том	11	11
22	так и	10	10
23	в себе	5	9
24	только в	8	9
25	прежде всего	7	9
26	не может	11	9
27	так же	6	9
28	в смысле	2	9
29	в ее	1	8
30	было бы	6	8
31	в своей	11	8
32	к тому	1	8
33	между тем	5	8
34	нам кажется	4	7
35	того что	2	7
36	так как	7	7
37	с другой	2	7
38	как и	8	7
39	может быть	21	6
40	и на	10	6
41	во всех	5	6
42	то есть	24	6
43	том что	9	6
44	того чтобы	4	6
45	вслед за	1	6
46	вовсе не	8	6
47	для того	2	6
48	и даже	3	6
49	как бы	28	6
50	с этой	1	6
51	то что	18	6
52	же как	1	5
53	но не	8	5
54	не в	6	5
55	в россии	1	5
56	и по	2	5
57	тем самым	1	5
58	как мы	5	5
59	одной из	1	5
60	со стороны	2	5
61	от этого	1	5
62	в частности	1	5
63	и потому	3	5
64	в той	6	5
65	как нам	2	5
66	этой точки	1	5
67	то в	1	4
68	мы не	2	4
69	вопрос о	4	4
70	в полной	1	4
71	но даже	1	4
72	в ней	1	4
73	в самом	8	4
74	то ни	3	4
75	того или	1	4
76	не служит	2	4
77	несмотря на	6	4
78	чем в	2	4
79	лежат в	1	4
80	как совокупность	1	4
81	даже в	2	4
82	и притом	2	4
83	в процессе	4	4
84	к ней	1	4
85	бы то	3	4
86	по себе	7	4
87	можно сказать	2	4
88	тем более	1	4
89	именно в	6	4
90	ни было	4	4
91	само по	2	4
92	не на	3	4
93	мира в	6	4
94	для нас	3	4
95	сказать что	5	4
96	или иного	1	4
97	в каком	1	4
98	в применении	1	3
99	в сфере	2	3
100	идет о	3	3
101	из всех	1	3
102	бы и	4	3
103	на себя	3	3
104	и со	1	3
105	как в	6	3
106	и к	4	3
107	в известном	1	3
108	но на	1	3
109	вообще не	1	3
110	не будет	1	3
111	не дает	3	3
112	большинстве случаев	2	3
113	этом смысле	9	3
114	и тем	2	3
115	в них	3	3
116	во второй	1	3
117	в которых	2	3
118	можно ли	1	3
119	дело в	1	3
120	никогда не	5	3
121	потому что	12	3
122	в пределы	1	3
123	уже и	1	3
124	с другом	3	3
125	по нашему	5	3
126	во все	3	3
127	можно было	3	3
128	о том	2	3
129	от них	1	3
130	место в	1	3
131	что и	5	3
132	и только	1	3
133	известном смысле	1	3
134	всяком случае	3	3
135	не из	2	3
136	из них	2	3
137	себе в	1	3
138	тем что	3	3
139	этом отношении	5	3
140	по своим	2	3
141	говорит о	1	3
142	там где	6	3
143	ни на	2	3
144	в данном	2	3
145	друг с	3	3
146	известной степени	1	3
147	и для	3	3
148	и от	1	3
149	в результате	4	3
150	мира и	7	3
151	жизни в	1	3
152	на своем	1	3
153	ее в	1	3
154	как на	2	3
155	во всяком	4	3
156	и наиболее	1	2
157	для этих	1	2
158	и отчасти	1	2
159	и то	1	2
160	мира не	2	2
161	по преимуществу	3	2
162	должна быть	2	2
163	есть не	2	2
164	что если	1	2
165	именно к	1	2
166	культурной традиции	2	2
167	он сам	3	2
168	но как	3	2
169	точка зрения	7	2
170	в свои	1	2
171	и чем	1	2
172	как их	3	2
173	в истории	2	2
174	его на	2	2
175	с этим	1	2
176	хотя и	1	2
177	и как	8	2
178	что это	1	2
179	в этой	4	2
