N	3gram	Tiupa_Hudo_1	Vladivir
1	в том что	7	10
2	тем не менее	3	9
3	о том что	1	8
4	с точки зрения	3	6
5	не может быть	3	6
6	более или менее	5	5
7	к тому же	1	5
8	точно так же	1	4
9	содержит в себе	1	4
10	в то время	1	4
11	в настоящее время	1	3
12	в этом смысле	3	3
13	бы то ни	1	3
14	в том случае	1	3
15	с одной стороны	2	3
16	в то же	5	3
17	в отличие от	7	3
18	иметь в виду	1	2
19	в таком случае	1	2
20	и в то	1	2
21	собственно говоря только	1	2
22	а с другой	2	2
23	том случае если	1	2
24	так же как	1	2
25	себе отчет в	1	2
26	и потому что	1	2
27	так или иначе	3	2
28	в связи с	1	2
29	еще и потому	1	2
30	с другой стороны	5	2
31	и в том	1	2
32	то же время	5	2
33	к тому что	2	2
34	в сравнении с	1	2
35	однако и в	1	1
36	что иное как	1	1
37	ясно говорит в	1	1
38	в виду что	1	1
39	это было бы	1	1
40	в том и	2	1
41	том что он	1	1
42	в этом случае	1	1
43	так и его	1	1
44	он мог бы	1	1
45	того времени когда	1	1
46	в иных случаях	1	1
47	сама по себе	2	1
48	в которой я	1	1
49	при этом что	1	1
50	сказать что для	1	1
51	настоящего времени то	1	1
52	только то что	1	1
53	также еще и	1	1
54	перед нами не	1	1
55	в основе своей	1	1
56	отчет в том	1	1
57	возможна только в	1	1
58	значении этого слова	2	1
59	с этой точки	1	1
60	одно и то	3	1
61	и тем и	1	1
62	и в жизни	1	1
63	может быть и	2	1
64	еще не есть	1	1
65	не могло быть	2	1
66	при всей своей	1	1
67	то ни было	1	1
68	к своему собственному	1	1
69	и то же	3	1
70	в известном смысле	1	1
71	в противном случае	2	1
72	все то что	1	1
73	как впрочем и	1	1
74	этой точки зрения	1	1
75	тем и другим	1	1
76	только при условии	1	1
77	что даже в	1	1
78	не содержит в	1	1
79	это и есть	1	1
80	жизни а не	1	1
81	собственно говоря и	1	1
82	той или иной	4	1
83	он еще не	1	1
84	в данном отношении	1	1
85	заключается в том	1	1
86	отдает себе отчет	1	1
87	в том числе	2	1
88	не что иное	1	1
89	он не только	1	1
90	для того чтобы	2	1
91	они представляются в	1	1
92	и не могло	2	1
93	то же самое	1	1
