N	4gram	Vygotskiy__2	Psycholo
1	и в самом деле	1	9
2	заключается в том что	4	4
3	указывает на то что	1	3
4	в самом деле когда	1	3
5	все более и более	1	2
6	заключается вовсе не в	1	1
7	только в том что	1	1
8	только для того чтобы	1	1
9	в том смысле что	1	1
10	самом деле когда мы	1	1
11	один и тот же	1	1
12	на то что он	1	1
13	в самом деле если	1	1
14	или во всяком случае	2	1
15	состоит в том что	3	1
16	на то что с	1	1
17	в полном согласии с	1	1
18	в том что всякое	1	1
19	мы должны были бы	1	1
20	заключается в том чтобы	3	1
21	не только то что	1	1
22	в том случае если	1	1
23	в том и заключается	1	1
24	то что он не	1	1
25	для того чтобы с	1	1
26	мы старались показать что	1	1
27	том что всякое обобщение	1	1
