N	3gram	Propp_Isto_3	Otkroven
1	не может быть	1	2
2	но и в	1	2
3	с тем что	1	2
4	смысле этого слова	1	1
5	хотя и не	1	1
6	все еще не	1	1
7	говорят о том	1	1
8	том что в	2	1
9	одна из сторон	1	1
10	и в том	1	1
11	от разрушения и	1	1
12	во всяком случае	2	1
13	еще одну особенность	1	1
14	после того как	1	1
15	о том что	2	1
16	прежде всего он	1	1
17	и к нему	1	1
18	и прежде всего	1	1
19	в том что	5	1
20	на то что	1	1
21	и на нем	1	1
22	в русской и	1	1
23	и то что	2	1
24	что не все	1	1
25	друг с другом	1	1
26	и все что	1	1
27	как и в	2	1
28	этого она не	1	1
