N	3gram	Berdyaev_N_1	Formalny
1	не может быть	4	14
2	во всяком случае	1	6
3	в зависимости от	1	5
4	с другой стороны	2	5
5	подобно тому как	3	4
6	и не может	1	4
7	в большинстве случаев	1	4
8	а не в	1	3
9	вместе с тем	2	3
10	и не могут	1	3
11	в том что	1	3
12	равно как и	2	2
13	в этом смысле	2	2
14	сами по себе	1	2
15	в отличие от	1	2
16	может быть только	1	2
17	в высшей степени	6	2
18	место в жизни	1	2
19	это связано с	1	1
20	и того же	1	1
21	что в этом	1	1
22	жизни и творчества	1	1
23	не привела бы	1	1
24	это совсем не	2	1
25	тому как в	1	1
26	но для этого	1	1
27	со всех сторон	3	1
28	до сих пор	1	1
29	в россии и	1	1
30	и в жизни	1	1
31	привела бы к	1	1
32	человека и в	1	1
33	в значительной степени	1	1
34	так же как	2	1
35	не только в	1	1
36	с одной стороны	2	1
37	и вместе с	1	1
38	быть понята как	1	1
39	в такой же	1	1
40	не в том	1	1
41	это не значит	2	1
42	в основе их	1	1
43	о том что	1	1
44	и пр в	1	1
45	можно было бы	1	1
46	выходит за пределы	1	1
47	в нем нет	2	1
48	одного и того	1	1
49	которые могут быть	1	1
50	и быть не	1	1
51	в том числе	1	1
52	как и в	1	1
53	она не может	2	1
54	том числе и	1	1
55	никогда не привела	1	1
