N	3gram	Nazirov_Tv_1	Stilisti
1	в то же	13	9
2	то же время	12	7
3	мы никогда не	1	5
4	то же самое	1	4
5	ту или иную	1	4
6	в свою очередь	1	4
7	с самого начала	3	4
8	на самом деле	2	3
9	заключает в себе	1	3
10	не только в	2	3
11	в конце концов	1	3
12	та же самая	2	2
13	равно как и	1	2
14	и в то	2	2
15	вместе с тем	1	2
16	же самое время	1	2
17	но в то	4	2
18	на первый взгляд	1	2
19	но при этом	1	2
20	в действительной жизни	1	2
21	чуть ли не	1	2
22	и как бы	1	2
23	не что иное	1	2
24	это само собой	1	2
25	о том что	5	2
26	и вследствие этого	1	2
27	что иное как	1	2
28	можно сказать что	2	2
29	в связи с	1	2
30	к тому что	1	2
31	не так как	1	2
32	и того же	1	1
33	прежде всего на	1	1
34	особое место в	1	1
35	по отношению к	1	1
36	так как и	1	1
37	было бы говорить	1	1
38	до сих пор	1	1
39	и не мог	1	1
40	что в одном	1	1
41	и та же	2	1
42	человека таким образом	2	1
43	на протяжении почти	1	1
44	не задаваясь вопросом	1	1
45	по крайней мере	2	1
46	хотя бы и	1	1
47	является как бы	1	1
48	а в этом	1	1
49	это прежде всего	1	1
50	тем не менее	2	1
51	так и от	1	1
52	одна и та	1	1
53	и в романе	1	1
54	на ту или	1	1
55	приходит к мысли	1	1
56	тесно связанные с	1	1
57	все же и	1	1
58	и все же	3	1
59	бросается в глаза	1	1
60	в глаза и	1	1
61	не может не	1	1
62	черт знает что	1	1
63	в конечном счете	4	1
64	отнюдь не был	1	1
65	теперь перед нами	1	1
66	в русской литературе	2	1
67	мы имеем в	1	1
68	с другой стороны	1	1
69	одного и того	1	1
70	это как бы	3	1
71	бытие в котором	1	1
72	в том что	6	1
73	как и в	1	1
74	на наш взгляд	1	1
75	при этом она	1	1
