N	3gram	Medvedev_U_1	Hudozhes
1	то же время	3	8
2	в то же	3	8
3	в том что	2	6
4	в самом деле	2	4
5	в этом отношении	2	3
6	но в то	1	3
7	в первую очередь	1	2
8	до сих пор	2	2
9	не только в	1	2
10	так или иначе	1	2
11	не в том	1	2
12	не может быть	4	2
13	в конечном счете	4	2
14	на то что	1	2
15	и в конце	1	1
16	а между тем	2	1
17	они в своей	1	1
18	и не случайно	1	1
19	в этом смысле	2	1
20	не впадая в	1	1
21	то же самое	2	1
22	верно и то	1	1
23	и в то	1	1
24	более или менее	1	1
25	же время не	1	1
26	в данное время	1	1
27	нет и быть	1	1
28	еще ничего не	2	1
29	в конце концов	2	1
30	по нашему мнению	3	1
31	между тем в	1	1
32	в данном случае	1	1
33	у него уже	1	1
34	как нам представляется	1	1
35	с тем что	1	1
36	о нем но	1	1
37	в частности с	1	1
38	и быть не	1	1
39	все же не	1	1
40	с одной стороны	1	1
41	друг с другом	1	1
42	что для него	1	1
43	на первый взгляд	1	1
