N	2gram	Tiupa_Hudo_1	Komedia
1	в комедии	2	22
2	и в	19	22
3	v в	1	13
4	том что	8	12
5	но и	10	11
6	в том	18	11
7	не только	16	10
8	в то	6	10
9	из них	1	10
10	как и	2	9
11	может быть	14	9
12	таким образом	3	8
13	о том	2	8
14	и его	12	8
15	в одном	2	8
16	и не	15	8
17	едва ли	1	7
18	в этой	2	7
19	то же	10	6
20	тому же	1	6
21	и по	2	6
22	не в	7	6
23	в отношении	3	6
24	ни в	5	6
25	в конце	1	6
26	что он	3	6
27	такого рода	10	6
28	к тому	4	6
29	а в	12	6
30	в которой	2	6
31	что в	6	6
32	до нас	1	5
33	в истории	1	5
34	как в	2	5
35	то время	1	5
36	на его	1	5
37	при этом	13	5
38	войны и	1	5
39	потому что	3	5
40	мы встречаем	1	5
41	так и	11	5
42	и даже	1	5
43	между тем	4	5
44	один из	2	5
45	в его	9	5
46	прежде всего	4	5
47	с другой	7	5
48	нового времени	2	5
49	когда же	1	5
50	все это	2	5
51	другой стороны	5	5
52	из его	1	4
53	время от	1	4
54	что они	1	4
55	но в	7	4
56	в нем	5	4
57	в другом	3	4
58	комедиях аристофана	1	4
59	точки зрения	10	4
60	в котором	1	4
61	в их	5	4
62	так как	1	4
63	как мы	1	4
64	же время	5	4
65	ли не	1	4
66	так в	4	4
67	а также	5	4
68	что и	2	4
69	действующих лиц	1	4
70	в качестве	24	4
71	тем что	1	4
72	именно в	2	4
73	и особенно	2	4
74	в результате	1	4
75	же в	1	4
76	по поводу	1	4
77	же как	1	3
78	идет о	1	3
79	перед лицом	3	3
80	в году	2	3
81	и о	3	3
82	и на	2	3
83	в чем	2	3
84	как правило	2	3
85	с одной	2	3
86	в этом	11	3
87	хотя и	3	3
88	и как	3	3
89	в целом	3	3
90	на то	1	3
91	он не	4	3
92	здесь мы	1	3
93	его в	2	3
94	чаще всего	1	3
95	на сцене	1	3
96	в них	2	3
97	и ее	3	3
98	место в	4	3
99	не менее	3	3
100	однако в	4	3
101	даже в	3	3
102	по отношению	9	3
103	казалось бы	1	3
104	у нас	1	3
105	могут быть	4	3
106	и сам	1	3
107	после того	1	3
108	по содержанию	1	3
109	в частности	13	3
110	и одновременно	5	3
111	тот же	1	3
112	одной из	2	3
113	только в	5	3
114	отношение к	5	3
115	у него	1	3
116	как раз	3	3
117	к которому	4	3
118	так же	2	3
119	как это	5	3
120	по своему	2	3
121	одной стороны	2	3
122	в любом	1	3
123	всего в	1	3
124	в более	1	3
125	отношению к	9	3
126	того же	2	2
127	здесь и	1	2
128	ту же	1	2
129	иначе в	1	2
130	в сущности	1	2
131	принадлежит к	3	2
132	столь же	1	2
133	бы то	1	2
134	тем как	1	2
135	отличие от	7	2
136	за пределы	2	2
137	в рамках	8	2
138	к числу	1	2
139	в противоположность	3	2
140	со своей	3	2
141	в самом	5	2
142	художественного мышления	1	2
143	право на	2	2
144	в известном	1	2
145	раз в	1	2
146	в себе	9	2
147	не следует	4	2
148	время и	1	2
149	в принципе	5	2
150	в силу	1	2
151	на этом	1	2
152	то ни	1	2
153	художественный образ	1	2
154	было бы	1	2
155	и тем	2	2
156	как видно	1	2
157	этим и	1	2
158	или менее	5	2
159	и без	1	2
160	но он	3	2
161	тем не	3	2
162	одна из	2	2
163	и внутренней	1	2
164	это еще	1	2
165	нельзя не	1	2
166	по своей	7	2
167	ему и	1	2
168	и теперь	1	2
169	как будто	1	2
170	в области	6	2
171	же самое	1	2
172	для себя	2	2
173	с ее	5	2
174	только при	1	2
175	в себя	2	2
176	даже самых	1	2
177	времени и	2	2
178	из всего	1	2
179	мог бы	3	2
180	исторического лица	1	2
181	для этого	1	2
182	творческий путь	1	2
183	из других	1	2
184	именно потому	1	2
185	и здесь	1	2
186	под именем	1	2
187	путь к	1	2
188	в форме	4	2
189	также в	1	2
190	и мир	1	2
191	еще не	3	2
192	который в	2	2
193	из которых	1	2
194	этом что	1	2
195	вовсе не	2	2
196	в финале	2	2
197	со стороны	2	2
198	точек зрения	1	2
199	вслед за	1	2
200	еще и	1	2
201	на которые	1	2
202	и притом	3	2
203	из наиболее	1	2
204	одну из	1	2
205	не может	7	2
206	вместе с	1	2
207	но не	11	2
208	и формы	1	2
209	к нему	3	2
210	или в	2	2
211	видно из	1	2
212	и право	1	2
213	ни было	1	2
214	то что	4	2
215	в свою	3	2
216	в действительности	1	2
217	ее в	2	2
218	в своих	1	2
219	все что	1	2
220	и наиболее	1	1
221	ответственного за	1	1
222	можно говорить	1	1
223	также и	1	1
224	чтобы не	1	1
225	не что	1	1
226	или к	1	1
227	такое же	1	1
228	между двумя	2	1
229	исходит из	1	1
230	и больше	2	1
231	по его	1	1
232	одним из	1	1
233	той же	1	1
234	придают им	1	1
235	как против	1	1
236	из своих	1	1
237	совпадает с	2	1
238	что иное	1	1
239	это отношение	3	1
240	из того	1	1
241	как впрочем	1	1
242	в мире	21	1
243	проявляется в	1	1
244	думаю что	1	1
245	собой в	1	1
246	иное как	1	1
247	а только	4	1
248	служит для	1	1
249	во всех	3	1
250	как у	1	1
251	коем случае	2	1
252	не входит	2	1
253	не все	2	1
254	а всего	1	1
255	реального исторического	1	1
256	том чем	1	1
257	нередко в	1	1
258	однако герой	1	1
259	отнюдь не	2	1
260	каждая из	2	1
261	мира в	2	1
262	в своем	2	1
263	говорит что	2	1
264	и к	3	1
265	самом начале	1	1
266	над собой	1	1
267	более или	5	1
268	то в	2	1
269	который впрочем	1	1
270	всего лишь	4	1
271	из жизни	1	1
272	что это	1	1
273	так или	3	1
274	представляет собой	10	1
275	бы не	1	1
276	из этих	3	1
277	одном случае	1	1
278	приводит к	5	1
279	роль в	1	1
280	и те	1	1
281	ее как	1	1
282	не могла	1	1
283	что одна	1	1
284	к миру	1	1
285	состоит в	16	1
286	порядок в	3	1
287	у читателя	1	1
288	не могли	1	1
289	чтобы в	1	1
290	его достижения	1	1
291	автор обращается	1	1
292	подобно тому	1	1
293	что она	2	1
294	значительной степени	1	1
295	что все	1	1
296	об этом	2	1
297	то есть	18	1
298	это было	1	1
299	две другие	1	1
300	дома и	2	1
301	перед нами	1	1
302	должен был	1	1
303	в жизни	2	1
304	нет в	1	1
305	а с	2	1
306	соответствии с	1	1
307	как об	1	1
308	всю жизнь	1	1
309	жизни но	2	1
310	слова и	2	1
311	являются наиболее	1	1
312	в этих	3	1
313	можно только	1	1
314	но если	1	1
315	в ходе	5	1
316	а как	1	1
317	никто не	2	1
318	однако этот	1	1
319	превратилась в	1	1
320	в отличие	7	1
321	введенное в	1	1
322	войне и	2	1
323	которые в	1	1
324	друг другу	1	1
325	теми же	1	1
326	и более	2	1
327	с такими	1	1
328	том же	1	1
329	по себе	2	1
330	между несколькими	1	1
331	не была	1	1
332	части и	1	1
333	это особенно	1	1
334	при чтении	2	1
335	тому что	2	1
336	высказывания в	4	1
337	от своих	1	1
338	между людьми	1	1
339	своих изделий	1	1
340	и против	1	1
341	она могла	1	1
342	в русской	3	1
343	если в	1	1
344	не по	1	1
345	которого он	1	1
346	он еще	1	1
347	того чтобы	2	1
348	в коем	2	1
349	предстает перед	1	1
350	в тексте	9	1
351	до того	1	1
352	ему не	1	1
353	и для	2	1
354	по своим	1	1
355	к сфере	1	1
356	не могут	1	1
357	себе никакого	1	1
358	что основной	1	1
359	те и	1	1
360	еще одна	1	1
361	и другим	1	1
362	в поле	1	1
363	в каждом	1	1
364	времени или	1	1
365	и это	2	1
366	от друга	1	1
367	как один	1	1
368	действия и	1	1
369	или для	1	1
370	говорить о	3	1
371	те же	1	1
372	мира и	2	1
373	в последней	1	1
374	мира а	1	1
