N	3gram	Medvedev_U_1	Problemy
1	до сих пор	2	8
2	не может быть	4	8
3	то же время	3	5
4	в то же	3	5
5	друг с другом	1	5
6	в самом деле	2	4
7	более или менее	1	3
8	сам по себе	1	3
9	имеем в виду	1	3
10	с другой стороны	3	3
11	мы имеем в	1	3
12	по себе еще	1	2
13	большей или меньшей	1	2
14	в этом смысле	2	2
15	но конечно не	1	2
16	в том что	2	2
17	в большей или	1	2
18	или меньшей степени	1	2
19	но в то	1	2
20	можно сказать что	1	2
21	конечно не в	1	2
22	и в конце	1	1
23	но прежде всего	1	1
24	у пушкина но	1	1
25	в художественном творчестве	2	1
26	но он уже	1	1
27	а между тем	2	1
28	в этом случае	1	1
29	есть язык в	1	1
30	и в то	1	1
31	хотя бы и	2	1
32	в той же	1	1
33	является одним из	1	1
34	до крайности до	1	1
35	в которых слово	1	1
36	в данном случае	1	1
37	только одним из	1	1
38	с одной стороны	1	1
39	в конце концов	2	1
40	проблем связанных с	1	1
41	не входит в	1	1
42	никогда не может	1	1
43	для изучения художественного	1	1
44	так или иначе	1	1
45	и в их	1	1
46	все же не	1	1
47	не только к	1	1
48	в точном смысле	1	1
49	в широком смысле	1	1
50	очень часто встречается	1	1
51	но это же	1	1
52	не только в	1	1
53	часто встречается у	1	1
54	язык в его	1	1
55	не может обойтись	1	1
56	относятся к области	1	1
57	дело конечно не	1	1
