N	3gram	Vygotskiy__4	Poddanst
1	не только в	1	4
2	в том что	31	4
3	с точки зрения	11	3
4	с одной стороны	9	3
5	в том числе	2	2
6	одной стороны и	2	2
7	и не только	2	2
8	но и в	2	2
9	заключает в себе	1	2
10	в своем значении	1	2
11	заключается в том	14	2
12	том что в	1	1
13	в том виде	2	1
14	мы видим в	2	1
15	что в этом	1	1
16	во всей полноте	1	1
17	чуть ли не	1	1
18	далеко не все	1	1
19	условия в которых	1	1
20	в настоящее время	2	1
21	в этом смысле	8	1
22	есть прежде всего	1	1
23	в наших глазах	1	1
24	что с точки	1	1
25	в отличие от	2	1
26	в собственном смысле	7	1
27	в момент когда	1	1
28	совершенно ясно что	1	1
29	вместе с тем	3	1
30	и то что	4	1
31	и в частности	1	1
32	что в момент	1	1
33	все это в	1	1
34	так же как	5	1
35	если бы мы	1	1
36	в противоречии с	1	1
37	по сравнению с	3	1
38	во всяком случае	3	1
39	с другой стороны	8	1
40	не может быть	1	1
41	в себе зерно	1	1
42	само по себе	1	1
43	тем и другим	1	1
44	и тем самым	4	1
45	тот же исторический	1	1
46	мы знаем что	1	1
47	наших глазах не	1	1
48	друг с другом	7	1
49	что уже в	1	1
50	для того чтобы	5	1
51	том числе и	2	1
