N	3gram	Medvedev_V_1	slovoVRo
1	и т п	9	23
2	то же время	5	12
3	в то же	5	12
4	в той или	1	9
5	той или иной	1	9
6	во всех его	2	7
7	не может не	2	5
8	и в то	3	5
9	во всяком случае	1	5
10	и т д	14	5
11	прямо и непосредственно	1	4
12	с одной стороны	2	4
13	с другой стороны	8	4
14	большей или меньшей	3	4
15	но в то	1	4
16	точки зрения на	1	3
17	в зависимости от	5	3
18	хотя бы и	5	3
19	в данном случае	1	3
20	в большей или	2	3
21	или меньшей степени	2	3
22	более или менее	6	3
23	таким образом в	2	3
24	те или иные	1	3
25	а между тем	1	2
26	до сих пор	1	2
27	и во всех	1	2
28	и не может	2	2
29	и др и	1	2
30	но по существу	1	2
31	одно и то	1	2
32	то время как	1	2
33	о том же	3	2
34	не только в	2	2
35	в то время	1	2
36	и то же	1	2
37	не могут быть	1	2
38	того или иного	1	2
39	в свою очередь	1	2
40	т п эти	1	2
41	к тому что	3	2
42	можно было бы	2	2
43	и в другом	2	2
44	и связанное с	1	1
45	может быть включен	1	1
46	всего произведения в	2	1
47	в виду не	1	1
48	имеем в виду	1	1
49	у тургенева и	1	1
50	то или иное	1	1
51	оказывается перед необходимостью	1	1
52	в процессе творчества	1	1
53	и непосредственно как	1	1
54	но и в	1	1
55	в этом отношении	13	1
56	точном смысле слова	2	1
57	по аналогии с	1	1
58	хотя может быть	1	1
59	в противном случае	2	1
60	со всех сторон	1	1
61	с этой точки	1	1
62	по крайней мере	2	1
63	сводится именно к	1	1
64	ни в какой	1	1
65	отцы и дети	1	1
66	может быть и	1	1
67	но у него	1	1
68	а как бы	1	1
69	вот что говорит	3	1
70	в поэзии и	1	1
71	в каком направлении	1	1
72	имеют громадное значение	1	1
73	которая не может	2	1
74	во всех этих	1	1
75	форм и жанров	1	1
76	так или иначе	1	1
77	предмета в его	1	1
78	в различных его	1	1
79	в точном смысле	2	1
80	между всеми этими	1	1
81	не может быть	8	1
82	что они не	1	1
83	между тем это	1	1
84	о том что	3	1
85	они не только	1	1
86	но с другой	1	1
87	равно как и	4	1
88	никогда не может	1	1
89	в одном из	3	1
90	этой точки зрения	2	1
91	не только не	2	1
92	как бы сами	1	1
93	быть включен в	1	1
94	варьируются в зависимости	1	1
95	можно сказать что	4	1
96	неизбежно приводит к	1	1
97	лежит в основе	1	1
98	на то или	1	1
99	том же о	1	1
100	мы видим что	1	1
101	для того чтобы	3	1
102	в том что	5	1
103	в последнем счете	1	1
