1	с одной стороны	4	7
2	с точки зрения	2	6
3	во всяком случае	1	6
4	в том числе	1	5
5	а с другой	1	5
6	по крайней мере	1	5
7	том числе и	1	4
8	о том что	3	4
9	тем не менее	1	3
10	в том что	6	3
11	с самого начала	1	2
12	то ни было	1	2
13	друг на друга	1	2
14	в этом отношении	4	2
15	заключает в себе	2	2
16	в то же	4	2
17	той или иной	3	2
18	можно сказать что	1	2
19	то же время	5	2
20	бы то ни	1	2
21	данном случае мы	1	1
22	о мире как	1	1
23	в себе не	1	1
24	или по крайней	1	1
25	он как бы	1	1
26	не совпадает с	1	1
27	так и в	3	1
28	одного и того	2	1
29	но при этом	2	1
30	в отличие от	12	1
31	лицом к лицу	1	1
32	случае мы имеем	1	1
33	и в то	1	1
34	отличается не только	1	1
35	на каждом шагу	1	1
36	в данном случае	6	1
37	к лицу с	1	1
38	но и от	1	1
39	а не как	1	1
40	жизни то есть	1	1
41	между человеком и	1	1
42	которые представляли собой	1	1
43	одном и том	1	1
44	в первую очередь	2	1
45	в одном из	1	1
46	потому что в	1	1
47	не может быть	3	1
48	речь идет о	1	1
49	не в том	1	1
50	не только от	1	1
51	но для этого	1	1
52	из двух или	1	1
53	и того же	2	1
54	одно из двух	1	1
55	в общих чертах	1	1
56	в самом деле	1	1
57	состоит в том	2	1
58	как и ее	1	1
59	с другой стороны	1	1
60	и том же	1	1
61	только то что	1	1
62	с ней и	1	1
63	к богу и	1	1
64	в этот период	1	1
65	и все же	3	1
66	в соответствии с	2	1
67	по отношению к	4	1
68	добра и зла	1	1
69	при этом не	1	1
70	до известной степени	1	1
