N	3gram	Voloshinov_1	Poddanst
1	в то же	3	7
2	то же время	3	7
3	в отношении к	4	5
4	не только в	1	4
5	в том что	3	4
6	с точки зрения	20	3
7	сами по себе	1	3
8	с одной стороны	1	3
9	в том числе	2	2
10	но и в	1	2
11	и потому в	1	2
12	в тот же	1	2
13	как она есть	1	1
14	– все это	2	1
15	в хозяйстве и	1	1
16	идет именно о	1	1
17	половины xix века	1	1
18	чуть ли не	1	1
19	более или менее	1	1
20	в настоящее время	6	1
21	в этом смысле	2	1
22	есть прежде всего	1	1
23	или хотя бы	2	1
24	и не может	9	1
25	тот или иной	1	1
26	мы не будем	3	1
27	хотя бы и	1	1
28	в отличие от	5	1
29	не было бы	1	1
30	тех пор пока	2	1
31	том что во	1	1
32	и пр в	3	1
33	что во всех	2	1
34	в применении к	1	1
35	с ними как	1	1
36	так же как	2	1
37	дело идет именно	1	1
38	для них в	1	1
39	может быть разрешена	1	1
40	во всяком случае	2	1
41	с другой стороны	5	1
42	не может быть	13	1
43	и пр есть	1	1
44	до тех пор	2	1
45	сменяют друг друга	1	1
46	само по себе	1	1
47	в которую мы	1	1
48	но в то	2	1
49	в большинстве случаев	3	1
50	и не менее	1	1
51	не будем касаться	1	1
52	друг с другом	1	1
53	для того чтобы	3	1
54	исторического материализма и	1	1
55	том числе и	2	1
