N	3gram	Losev_Prob_1	VerxiiNi
1	вместе с тем	1	8
2	с точки зрения	3	6
3	во всяком случае	3	6
4	более или менее	3	5
5	до сих пор	3	5
6	по крайней мере	2	5
7	для того чтобы	8	5
8	о том что	5	4
9	к тому же	1	4
10	так или иначе	2	3
11	точно так же	4	3
12	в конце концов	4	3
13	так же как	2	3
14	в связи с	4	3
15	тем не менее	18	3
16	в том что	5	3
17	то ясно что	1	2
18	и потому что	1	2
19	то же самое	9	2
20	друг на друга	1	2
21	в этом отношении	1	2
22	может быть даже	2	2
23	то или иное	1	2
24	может быть и	3	2
25	то что он	3	2
26	бы то ни	1	2
27	таким образом в	1	2
28	ничего общего с	7	2
29	той или иной	4	2
30	можно сказать что	3	2
31	на то что	8	2
32	в то же	4	2
33	и в этом	2	2
34	здесь идет речь	1	1
35	и того же	2	1
36	а между тем	1	1
37	вступив на путь	1	1
38	сам он не	1	1
39	иметь в виду	3	1
40	с первого взгляда	1	1
41	в самом деле	2	1
42	в настоящее время	3	1
43	одного и того	2	1
44	ни один из	1	1
45	свидетельствует о том	2	1
46	о том как	2	1
47	а потому что	1	1
48	сказать и о	3	1
49	с представлением о	1	1
50	вместе с другими	1	1
51	а следовательно и	1	1
52	в таком случае	6	1
53	и в то	1	1
54	до известной степени	1	1
55	сами по себе	3	1
56	что все эти	1	1
57	в первую очередь	1	1
58	но для этого	1	1
59	с тем что	2	1
60	и даже чем	1	1
61	но когда мы	2	1
62	не имеющего ничего	1	1
63	во всей своей	1	1
64	и следовательно для	1	1
65	в этой области	2	1
66	в данном случае	8	1
67	из себя как	1	1
68	не потому что	2	1
69	но в то	1	1
70	на этот раз	2	1
71	рождение и смерть	1	1
72	мы видели выше	1	1
73	или по крайней	1	1
74	указывает на то	3	1
75	с тем или	1	1
76	и на то	1	1
77	из них не	1	1
78	не только от	1	1
79	еще и потому	1	1
80	ближайшем рассмотрении оказывается	1	1
81	до настоящего времени	1	1
82	с другой стороны	3	1
83	сливаются в одно	2	1
84	полное тождество с	1	1
85	только то что	4	1
86	но в конце	1	1
87	не может быть	2	1
88	может и не	1	1
89	при ближайшем рассмотрении	1	1
90	что в этой	1	1
91	в то время	1	1
92	все эти элементы	1	1
93	так и в	1	1
94	рассмотрении оказывается что	1	1
95	в этом последнем	1	1
96	тем и другим	2	1
97	имеющего ничего общего	1	1
98	не только не	3	1
99	ничего подобного нет	1	1
100	в чем именно	1	1
101	любви ко всему	1	1
102	не можем но	1	1
103	и в результате	1	1
104	том что все	1	1
105	и что он	1	1
106	тем что в	2	1
107	в себе не	3	1
108	только тогда когда	1	1
109	и только в	1	1
