N	3gram	Propp_Russ_2	Tragedij
1	в отличие от	3	2
2	в данном случае	6	2
3	бросается в глаза	2	2
4	о том что	4	2
5	в том что	18	2
6	в этом случае	6	1
7	а между тем	1	1
8	а на другой	1	1
9	ко всему что	1	1
10	в таком виде	2	1
11	к жизни столь	1	1
12	в своей книге	2	1
13	играют никакой роли	1	1
14	вызвать к жизни	1	1
15	может быть не	1	1
16	в этой связи	1	1
17	в применении к	1	1
18	этим объясняется и	1	1
19	во всяком случае	1	1
20	этом случае как	1	1
21	смысле этого слова	1	1
22	и в этом	1	1
23	тем не менее	2	1
24	не играют никакой	1	1
25	не может быть	3	1
26	и жизнь и	1	1
27	в точности соответствует	1	1
28	это и есть	1	1
29	с того что	1	1
30	она как бы	1	1
31	с тем и	1	1
32	ее к себе	1	1
33	после того как	2	1
34	как и в	1	1
35	то и дело	2	1
