N	3gram	Losev_Prob_2	Otkroven
1	для того чтобы	2	3
2	что же это	1	2
3	и в этом	3	2
4	с разных сторон	1	2
5	это было бы	1	2
6	не может быть	3	2
7	ли сказать что	2	2
8	можно ли сказать	2	2
9	но и в	3	2
10	же это за	1	2
11	сказать что они	1	2
12	так что для	1	1
13	в обычном смысле	1	1
14	как будто бы	5	1
15	потому что ведь	1	1
16	о его бесконечной	1	1
17	все еще не	1	1
18	он сам и	1	1
19	в этих словах	1	1
20	а вовсе не	1	1
21	том что в	2	1
22	друг к другу	2	1
23	в самом деле	2	1
24	обычном смысле слова	1	1
25	и не очень	1	1
26	о том как	1	1
27	да и то	2	1
28	это должно быть	1	1
29	вот оказывается что	1	1
30	и не может	1	1
31	во всяком случае	10	1
32	том случае если	1	1
33	даже и в	3	1
34	само по себе	2	1
35	о том что	14	1
36	в этом отношении	1	1
37	то что в	1	1
38	иначе чем в	1	1
39	ни с чем	1	1
40	хотя бы самый	1	1
41	вовсе не так	1	1
42	и прежде всего	2	1
43	в том что	4	1
44	вещей и предметов	1	1
45	на то что	4	1
46	в том случае	2	1
47	и для человеческого	1	1
48	и то что	7	1
49	в каждом из	1	1
50	все что было	1	1
51	что это за	1	1
52	что во всяком	1	1
53	хотя бы даже	1	1
54	от того что	1	1
55	о человеке ни	1	1
56	в одно время	1	1
57	и в его	1	1
58	не есть просто	2	1
