N	3gram	Berdyaev_V_1	FransuaR
1	в том что	2	6
2	но и в	2	2
3	его связь с	1	2
4	так и в	1	2
5	но все же	1	2
6	но прежде всего	1	1
7	для него не	1	1
8	а между тем	2	1
9	том что он	2	1
10	находится в состоянии	1	1
11	самой жизни в	1	1
12	но от этого	1	1
13	человека в его	1	1
14	в xx веке	1	1
15	в известном смысле	1	1
16	не могут быть	1	1
17	в ней и	1	1
18	с другой стороны	1	1
19	как бы в	1	1
20	в нем нет	2	1
21	то что мы	3	1
22	есть еще и	1	1
23	жизни в этом	1	1
24	в вопросе о	2	1
25	мы видим что	1	1
26	и в духе	1	1
27	в духе его	1	1
28	во всех формах	1	1
