N	3gram	Nazirov_Tr_1	Komedia
1	в том что	2	9
2	и т п	1	5
3	том что он	1	4
4	в конце концов	1	4
5	в одном из	1	4
6	то же время	5	4
7	в то же	5	4
8	после того как	1	3
9	о том что	2	3
10	несмотря на всю	1	3
11	как и в	1	2
12	во всяком случае	1	2
13	всяком случае что	1	1
14	предстает перед нами	1	1
15	а между тем	1	1
16	и что же?	1	1
17	в обоих случаях	1	1
18	сам по себе	1	1
19	что все это	1	1
20	в применении к	1	1
21	могут быть отнесены	1	1
22	в данном случае	2	1
23	этим объясняется и	1	1
24	в высшей степени	1	1
25	смысле этого слова	1	1
26	ответа на вопрос	1	1
27	в той же	1	1
28	в чем же	1	1
29	но при этом	1	1
30	обстоит дело с	1	1
31	в отличие от	2	1
32	сравнивает его с	1	1
33	и в дальнейшем	2	1
34	бросается в глаза	2	1
35	что он не	1	1
36	с самого начала	1	1
37	к тому что	1	1
38	тем не менее	1	1
39	на всю ее	1	1
40	одном из своих	1	1
41	может быть в	1	1
42	в разговоре с	1	1
