N	2gram	Losev_Dial_2	KFilosof
1	может быть	20	43
2	в его	1	39
3	в нем	10	31
4	не может	9	27
5	в бытии	2	26
6	и не	30	26
7	и в	19	22
8	в себе	15	21
9	в котором	1	21
10	для меня	1	20
11	не есть	47	19
12	и его	5	17
13	в ее	4	17
14	а не	16	17
15	только в	5	16
16	в этом	8	13
17	точки зрения	12	13
18	и это	5	12
19	но не	6	12
20	ни в	10	12
21	все эти	2	11
22	в своей	8	11
23	не в	8	11
24	к нему	4	11
25	во всех	2	10
26	в своем	4	10
27	это не	10	10
28	с точки	8	10
29	все это	4	10
30	из себя	1	10
31	и есть	4	9
32	в их	2	9
33	в целом	1	9
34	бытия и	1	9
35	но и	12	9
36	как бы	14	9
37	и все	12	9
38	было бы	3	8
39	не было	3	8
40	жизни и	6	8
41	то что	14	7
42	во всем	1	7
43	должен быть	1	7
44	и здесь	1	7
45	что и	5	7
46	себя в	2	7
47	конечно не	6	7
48	вовсе не	13	7
49	быть только	2	7
50	я не	6	6
51	момент в	2	6
52	отнюдь не	6	6
53	и я	2	6
54	он не	4	6
55	не значит	3	6
56	мир как	1	6
57	но лишь	1	6
58	смысл и	2	6
59	в мире	2	6
60	и только	4	6
61	и действительно	1	6
62	совершенно не	7	6
63	уже не	3	6
64	и их	3	6
65	ко мне	2	6
66	но это	7	6
67	в смысле	5	6
68	в том	14	6
69	мы имеем	3	5
70	но как	5	5
71	все же	4	5
72	но в	2	5
73	жизнь как	1	5
74	не только	19	5
75	но ведь	2	5
76	то же	12	5
77	но все	2	5
78	его в	3	5
79	как и	10	5
80	должно быть	7	5
81	что я	2	5
82	от его	1	5
83	но эта	1	5
84	не имеет	1	5
85	никогда не	9	5
86	с ним	4	5
87	со всем	2	5
88	именно в	2	5
89	его как	1	5
90	там где	1	5
91	ее и	1	5
92	в основе	1	5
93	хотя бы	4	5
94	не знает	1	5
95	ко всему	1	5
96	как его	1	4
97	быть в	4	4
98	в чем	3	4
99	при этом	4	4
100	время и	2	4
101	не как	2	4
102	к ним	1	4
103	не по	2	4
104	чем не	1	4
105	в каком	4	4
106	с ними	2	4
107	и пространство	1	4
108	времени и	9	4
109	мира и	1	4
110	познания и	1	4
111	между тем	2	4
112	во всей	1	4
113	нисколько не	4	4
114	в одном	4	4
115	только момент	1	4
116	том что	10	4
117	а в	4	4
118	только как	3	4
119	что в	7	4
120	в своих	2	4
121	бытия а	1	3
122	самом деле	4	3
123	на самом	2	3
124	должна быть	5	3
125	мы не	1	3
126	что это	10	3
127	общее и	1	3
128	в ней	2	3
129	во мне	4	3
130	еще не	4	3
131	и на	1	3
132	не могу	6	3
133	себе и	3	3
134	нет и	1	3
135	в акте	2	3
136	независимо от	4	3
137	для которой	1	3
138	к чему	1	3
139	бы и	2	3
140	всех этих	3	3
141	и совершенно	2	3
142	из него	1	3
143	всех своих	1	3
