N	4gram	Bakhtin_Pr_2	Formalny
1	в то же время	5	7
2	бы то ни было	1	4
3	с точки зрения его	1	3
4	и не может быть	1	3
5	и т п в	1	2
6	в одной плоскости с	1	1
7	мы можем сказать что	1	1
8	в том числе и	1	1
9	в собственном смысле слова	1	1
10	в значительной степени определяется	1	1
11	по мере того как	1	1
12	в том или ином	1	1
13	с точки зрения своей	1	1
14	моментом которого оно является	1	1
15	иметь в виду что	1	1
16	нужно иметь в виду	1	1
17	каких бы то ни	1	1
18	с другой стороны и	2	1
19	дело в том что	1	1
20	не забывает своего пути	1	1
21	но в таком случае	1	1
22	то же время не	1	1
