N	2gram	Vinokur_Ku_3	Hudozhes
1	том что	11	16
2	и в	23	14
3	так и	6	13
4	не только	17	12
5	при этом	6	12
6	о том	6	12
7	в том	22	12
8	а не	11	12
9	и т	54	11
10	в себе	1	11
11	в этом	16	11
12	прежде всего	9	11
13	в своей	4	10
14	для него	1	10
15	то же	6	9
16	как и	5	9
17	что он	6	9
18	в качестве	2	9
19	по отношению	3	8
20	как в	4	8
21	то что	4	8
22	т п	41	8
23	же время	1	8
24	ничего не	6	8
25	в его	11	8
26	между тем	4	8
27	отношению к	2	8
28	в то	3	8
29	еще не	9	7
30	тогда как	1	7
31	это не	3	7
32	своего рода	2	7
33	не в	5	7
34	казалось бы	1	7
35	к тому	3	7
36	уже не	8	7
37	не случайно	4	7
38	именно в	3	7
39	не может	6	7
40	как бы	5	7
41	а в	5	7
42	в первой	1	6
43	было бы	16	6
44	читателя в	1	6
45	никогда не	1	6
46	что в	13	6
47	самом деле	14	5
48	перед нами	1	5
49	но в	2	5
50	ни в	3	5
51	точки зрения	23	5
52	не менее	12	5
53	и его	1	5
54	потому что	12	5
55	можно было	11	5
56	только в	6	5
57	может быть	14	5
58	но и	3	5
59	в частности	2	5
60	к жизни	1	5
61	интерес к	1	5
62	в этих	2	5
63	одновременно и	1	5
64	к другому	2	4
65	и о	4	4
66	в ней	3	4
67	столь же	4	4
68	а только	1	4
69	в своем	4	4
70	и к	3	4
71	то в	3	4
72	в самом	13	4
73	всего лишь	1	4
74	что она	5	4
75	он не	3	4
76	и с	3	4
77	несмотря на	1	4
78	тем не	9	4
79	тому что	4	4
80	она не	3	4
81	в русской	1	4
82	по своей	1	4
83	связи с	6	4
84	как будто	1	4
85	можно сказать	2	4
86	и н	1	4
87	того что	11	4
88	один из	4	4
89	как раз	4	4
90	не было	4	4
91	только что	2	4
92	т е	32	4
93	и от	1	4
94	речь идет	3	3
95	по преимуществу	3	3
96	с точки	16	3
97	не имеют	1	3
98	на тех	1	3
99	говорить о	6	3
100	и на	1	3
101	в ее	4	3
102	отнюдь не	3	3
103	идет о	1	3
104	как к	2	3
105	все же	5	3
106	но он	1	3
107	т д	8	3
108	на этом	2	3
109	лишь в	8	3
110	его в	2	3
111	с этим	1	3
112	даже в	1	3
113	такой же	2	3
114	рассказа о	1	3
115	она в	1	3
116	все эти	7	3
117	о природе	1	3
118	тем что	5	3
119	как мы	5	3
120	того чтобы	11	3
121	в пределах	2	3
122	приводит к	1	3
123	если бы	8	3
124	о нем	1	3
125	из рассказа	1	3
126	а также	4	3
127	это в	2	3
128	же в	1	3
129	но не	3	3
130	будто бы	1	3
131	со стороны	1	3
132	превращается в	1	3
133	то и	2	3
134	в связи	5	3
135	по своему	2	3
136	и для	1	3
137	от него	1	3
138	в равной	1	3
139	в таком	4	3
140	к этой	1	3
141	я и	3	2
142	говоря о	1	2
143	например в	1	2
144	же как	1	2
145	по адресу	2	2
146	на самом	3	2
147	как вторая	1	2
148	в их	6	2
149	той же	3	2
150	мы не	3	2
151	вопрос о	11	2
152	равной мере	1	2
153	не нужно	1	2
154	самое непосредственное	1	2
155	но как	3	2
156	конечном счете	1	2
157	в одной	1	2
158	в рамках	5	2
159	хотя и	5	2
160	или иную	1	2
161	в целом	4	2
162	так в	2	2
163	раз в	1	2
164	как он	2	2
165	так сказать	2	2
166	в первую	3	2
167	однако в	2	2
168	речь в	2	2
169	же касается	1	2
170	в другом	1	2
171	ясно что	4	2
172	того или	3	2
173	не умеет	1	2
174	первую очередь	3	2
175	приходит в	2	2
176	по себе	6	2
177	одной из	1	2
178	все равно	1	2
179	должно быть	7	2
180	иначе говоря	2	2
181	в следующем	1	2
182	в такой	1	2
183	наше внимание	1	2
184	состоит в	2	2
185	если можно	1	2
186	не столько	4	2
187	что я	1	2
188	сих пор	8	2
189	все это	2	2
190	для нее	1	2
191	они не	3	2
192	не о	2	2
193	не имеет	3	2
194	на себе	1	2
195	для всего	1	2
196	слова как	2	2
197	заметить что	1	2
198	тех кто	1	2
199	на него	3	2
200	что на	3	2
201	об одном	1	2
202	у себя	1	2
203	здесь не	2	2
204	на основе	1	2
205	при котором	2	2
206	характер и	1	2
207	и каждый	1	2
208	остановимся на	1	2
209	в речи	1	2
210	на вопрос	3	2
211	внимание на	2	2
212	никак не	2	2
213	и что	7	2
214	до сих	8	2
215	с того	1	2
216	в конечном	1	2
217	говорить об	1	2
218	деле в	1	2
219	и об	2	2
220	в него	1	2
221	но с	1	2
222	с ними	1	2
223	и потому	1	2
224	и так	1	2
225	поэтому и	1	2
226	слова в	4	2
227	в начале	1	2
228	не стал	1	2
229	за ним	1	2
230	ту или	1	2
231	мы знаем	1	2
232	а то	2	2
233	на том	2	2
234	а с	3	2
235	что не	4	2
236	в данной	3	2
237	также в	1	2
238	не означает	2	2
239	или с	1	2
240	и ты	1	2
241	на фоне	7	2
242	эти слова	2	2
243	отсюда и	1	2
244	этих словах	1	2
245	что же	5	2
246	дело здесь	1	2
247	и не	10	2
248	с этой	3	2
249	еще раз	2	2
250	каждого из	1	2
251	только для	2	2
252	отказ от	1	2
253	в результате	3	2
254	о котором	1	2
255	совершенно иной	2	2
256	и дело	1	2
257	не знает	2	2
258	или иного	3	2
259	проникнуть в	1	2
260	это так	2	2
261	говорили о	1	1
262	смысле слова	2	1
263	можно говорить	10	1
264	речь здесь	1	1
265	в сфере	1	1
266	таком случае	2	1
267	только теперь	1	1
268	связана с	1	1
269	и то	1	1
270	и др	1	1
271	тех же	4	1
272	это и	3	1
273	было как	2	1
274	за собой	1	1
