N	3gram	Bakhtin_fo_1	Dialekti
1	с точки зрения	2	12
2	сама по себе	1	8
3	в том что	2	7
4	то же время	9	4
5	одно и то	3	4
6	и то же	3	4
7	в то же	6	4
8	ровно ничего не	1	3
9	что в нем	1	3
10	в нем нет	2	3
11	может быть и	2	3
12	и в этом	1	3
13	не может быть	3	3
14	та или иная	1	3
15	той или иной	2	3
16	одной стороны и	2	2
17	мы находим в	1	2
18	до сих пор	3	2
19	и в то	5	2
20	но все это	1	2
21	в этом отношении	3	2
22	и т п	8	2
23	или хотя бы	1	2
24	так как он	1	2
25	и в частности	2	2
26	с одной стороны	2	2
27	вещей и явлений	1	2
28	по сравнению с	2	2
29	прежде всего необходимо	3	2
30	друг к другу	2	2
31	во всяком случае	1	2
32	ни в чем	2	2
33	о том что	1	2
34	точка зрения на	1	1
35	в чем не	2	1
36	в той или	1	1
37	в данный момент	1	1
38	его жизни в	1	1
39	дело в том	2	1
40	то время как	2	1
41	в виду что	1	1
42	что в этих	1	1
43	в самом деле	1	1
44	и в особенности	2	1
45	а не о	1	1
46	мы уже знаем	1	1
47	как раз и	2	1
48	до известной степени	1	1
49	сами по себе	1	1
50	как мы увидим	1	1
51	только и существуют	1	1
52	и ничего не	1	1
53	это не имеет	1	1
54	жизни и в	2	1
55	как такая она	1	1
56	теперь мы должны	1	1
57	к ним не	1	1
58	но в то	1	1
59	в то время	3	1
60	во всех этих	1	1
61	в связи с	5	1
62	поэтому все эти	1	1
63	если они не	1	1
64	в этом и	1	1
65	отсюда становится ясным	1	1
66	постоянно имеет место	1	1
67	но она не	1	1
68	в новое время	1	1
69	таким образом и	1	1
70	когда мы говорим	1	1
71	связи с этим	2	1
72	на одну минуту	1	1
73	сих пор не	1	1
74	в него как	1	1
75	то что не	1	1
76	с самого начала	2	1
77	к выводу что	1	1
78	он не имеет	1	1
79	ничего нового не	1	1
80	но все же	2	1
81	смерти и воскресения	1	1
82	себе не имеет	1	1
83	и может быть	1	1
84	никогда не бывает	1	1
85	друг с другом	1	1
86	для того чтобы	5	1
87	в них не	1	1
88	вовсе не было	2	1
89	конечно прежде всего	1	1
90	к тому же	2	1
