N	2gram	Voloshinov_1	BTomashe
1	у нас	3	3
2	и не	16	2
3	в ней	5	2
4	все это	5	2
5	не то	1	2
6	во всяком	4	1
7	с другой	1	1
8	не все	1	1
9	вопрос о	1	1
10	является только	1	1
11	совершенно не	2	1
12	по теории	1	1
13	в своей	9	1
14	остановиться на	1	1
15	по крайней	1	1
16	между ними	2	1
17	всяком случае	3	1
18	и о	3	1
19	в области	3	1
20	до конца	5	1
21	и ее	3	1
22	точно и	1	1
23	теоретической и	1	1
24	не укладывается	1	1
25	на которой	1	1
26	в эпоху	3	1
27	и в	15	1
28	будто бы	2	1
29	так и	10	1
30	как часть	1	1
31	за пределы	2	1
32	крайней мере	1	1
33	работа по	1	1
34	об этом	4	1
35	что все	5	1
36	и нет	1	1
37	не было	4	1
38	и во	1	1
39	должна быть	1	1
40	было бы	6	1
41	отнюдь не	2	1
42	одной из	1	1
43	далеко не	4	1
44	не склонен	1	1
45	и потому	8	1
46	все же	5	1
47	о них	2	1
48	выходит за	1	1
49	в книге	1	1
50	прежде всего	11	1
51	свести к	2	1
52	что в	6	1
53	таким образом	21	1
54	к ней	2	1
55	еще не	7	1
56	как будто	1	1
57	не только	5	1
58	в данном	3	1
59	не следует	2	1
60	и на	3	1
61	на самом	2	1
62	тем более	1	1
63	а не	2	1
