N	3gram	Losev_Prob_1	Tragedij
1	в то же	4	5
2	так и в	1	3
3	в записках из	1	2
4	точно так же	4	2
5	в данном случае	8	2
6	но в то	1	2
7	и как бы	2	2
8	о том что	5	2
9	и в самом	2	2
10	в том что	5	2
11	в этом случае	2	1
12	а между тем	1	1
13	и не знал	2	1
14	сам по себе	7	1
15	герое этого романа	1	1
16	и то что	2	1
17	и т п	1	1
18	не сводится только	1	1
19	ничего не значит	1	1
20	в известной мере	1	1
21	записках из подполья	1	1
22	еще ничего не	1	1
23	во всяком случае	3	1
24	в конце концов	4	1
25	и не быть	1	1
26	в чем же	1	1
27	и должно быть	1	1
28	и в этом	2	1
29	тем не менее	18	1
30	любви ко всему	1	1
31	и ко всей	1	1
32	не могут быть	1	1
33	в связи с	4	1
34	то что он	3	1
35	не может быть	2	1
36	только на путях	1	1
37	но в конце	1	1
38	не только не	3	1
39	ничего подобного нет	1	1
40	в самом деле	2	1
41	относится то что	1	1
42	в братьях карамазовых	1	1
43	к тому что	1	1
44	это не просто	1	1
45	в какой-то мере	1	1
46	как и в	1	1
47	в разговоре с	1	1
