N	3gram	Losev_Vlad_3	Morfolog
1	в этом случае	1	9
2	мы видим что	1	9
3	в связи с	2	8
4	не может быть	6	8
5	с точки зрения	6	4
6	а также и	6	4
7	с другой стороны	2	4
8	тем не менее	9	4
9	в последнем случае	1	3
10	независимо от того	2	3
11	более или менее	5	2
12	начинается с того	1	2
13	в настоящее время	3	2
14	точно так же	4	2
15	может быть и	1	2
16	то время как	2	2
17	в иных случаях	1	2
18	с одной стороны	3	2
19	при помощи которой	1	2
20	в то время	4	2
21	тем и другим	1	2
22	для того чтобы	1	2
23	в том что	10	2
24	одна из них	1	1
25	бросается в глаза	2	1
26	то ни стало	2	1
27	то это значит	4	1
28	здесь перед нами	1	1
29	между прочим и	1	1
30	это было бы	1	1
31	он не дает	1	1
32	том что он	1	1
33	о том как	1	1
34	что иное как	1	1
35	что же касается	5	1
36	то прежде всего	1	1
37	с другой не	1	1
38	во что бы	2	1
39	не существует ix	1	1
40	до сих пор	1	1
41	сих пор не	1	1
42	в таком случае	2	1
43	том случае если	2	1
44	является то что	1	1
45	бы то ни	3	1
46	нечто иное чем	1	1
47	можно было бы	1	1
48	в противном случае	1	1
49	лишь постольку поскольку	1	1
50	в том случае	3	1
51	одно и то	1	1
52	в нашей работе	1	1
53	и не с	1	1
54	в данном случае	2	1
55	что бы то	2	1
56	и то же	1	1
57	имеет ничего общего	2	1
58	и предметом его	1	1
59	иметь в виду	2	1
60	то что он	1	1
61	во всяком случае	3	1
62	так же и	1	1
63	ни в каких	2	1
64	потому что они	1	1
65	не имеет ничего	2	1
66	мы уже видели	1	1
67	что несмотря на	2	1
68	то же время	2	1
69	здесь не может	1	1
70	далеко не всегда	1	1
71	те или иные	2	1
72	о том что	8	1
73	если бы мы	1	1
74	с самого начала	1	1
75	это значит что	6	1
76	той или иной	1	1
77	на то что	2	1
78	но и его	1	1
79	и многое другое	1	1
80	что вопрос о	1	1
81	в то же	3	1
82	другой стороны оно	1	1
83	к тому что	2	1
84	не что иное	1	1
85	с этим мы	1	1
86	что и в	3	1
