N	2gram	Voloshinov_2	Problemy
1	и в	19	34
2	и не	19	29
3	как бы	19	27
4	что он	4	23
5	в его	5	22
6	к другому	5	20
7	в нем	11	19
8	может быть	28	19
9	не может	18	19
10	и все	6	19
11	как и	9	18
12	к себе	1	17
13	в этом	15	16
14	но в	7	16
15	и его	16	16
16	все это	1	16
17	он не	3	15
18	и с	2	15
19	прежде всего	7	15
20	то же	16	14
21	к нему	5	14
22	самом деле	9	13
23	для него	9	13
24	у достоевского	1	13
25	в то	8	12
26	же время	8	12
27	потому что	1	12
28	но и	10	12
29	на самом	7	11
30	в сущности	14	11
31	вовсе не	11	11
32	себя самого	2	11
33	то что	4	11
34	не только	13	10
35	слова и	6	10
36	не в	10	9
37	в отношении	4	9
38	героя и	1	9
39	а не	9	9
40	с самого	5	8
41	самого начала	5	8
42	никогда не	7	8
43	с ним	1	8
44	в другом	3	8
45	в самом	6	8
46	себя и	1	8
47	так же	5	8
48	что же	1	8
49	и для	7	8
50	точки зрения	17	8
51	как мы	15	7
52	слова в	8	7
53	и даже	2	7
54	что не	2	7
55	там где	2	7
56	этого слова	5	7
57	все же	5	7
58	отношении к	5	7
59	что в	2	7
60	мы уже	6	6
61	и на	5	6
62	с его	8	6
63	что они	2	6
64	в пределах	10	6
65	для себя	4	6
66	так и	10	6
67	в себе	4	6
68	только в	8	6
69	стремится к	2	6
70	от него	2	6
71	с ними	4	6
72	не знает	2	6
73	отношению к	8	6
74	по отношению	8	5
75	чужого слова	13	5
76	и наконец	1	5
77	и у	2	5
78	что это	2	5
79	в целом	1	5
80	в диалоге	2	5
81	и вот	1	5
82	но все	1	5
83	лишь в	14	5
84	на протяжении	2	5
85	с тем	1	5
86	в слове	4	5
87	он и	2	5
88	нему и	1	5
89	это слово	1	5
90	таким образом	14	5
91	к тому	6	5
92	и сам	1	5
93	и что	1	5
94	что и	3	5
95	это не	4	5
96	все время	2	5
97	того что	4	5
98	и так	1	5
99	так что	1	5
100	из них	1	5
101	всяком случае	2	5
102	в одном	1	5
103	другого человека	1	5
104	и от	3	5
105	ни одного	1	5
106	мы должны	1	5
107	хотя бы	6	5
108	а в	3	5
109	во всяком	3	5
110	он как	1	4
111	еще не	3	4
112	бы то	4	4
113	но не	2	4
114	но как	2	4
115	как в	1	4
116	все эти	3	4
117	при этом	9	4
118	внутренней речи	7	4
119	последнее слово	1	4
120	то ни	5	4
121	что все	1	4
122	его в	7	4
123	с другими	3	4
124	ни в	6	4
125	рядом с	2	4
126	с точки	13	4
127	но это	1	4
128	друг другу	1	4
129	ничего не	4	4
130	как раз	4	4
131	его внутренней	1	4
132	его с	1	4
133	и это	3	4
134	свое слово	1	4
135	внутреннюю речь	1	4
136	если бы	11	4
137	он говорил	1	4
138	и прежде	2	4
139	и кажется	1	4
140	только на	4	4
141	в виде	2	4
142	в начале	2	4
143	так как	3	4
144	не о	1	4
145	у него	2	4
146	на меня	1	4
147	даже и	2	4
148	с другой	3	4
149	тем что	2	4
150	вместе с	2	4
151	слова о	4	4
152	да и	3	4
153	бы он	3	4
154	из своего	1	4
155	ни было	6	4
156	и то	3	3
157	высшей степени	3	3
158	сливается с	1	3
159	говорить о	1	3
160	в ней	3	3
161	что его	1	3
162	совсем не	1	3
163	для других	3	3
164	в одной	2	3
165	хотя и	1	3
166	и как	6	3
167	уже в	2	3
168	ее как	1	3
169	как он	1	3
170	к одному	1	3
171	не как	3	3
172	без исключения	2	3
173	в каждом	1	3
174	это было	2	3
175	его и	3	3
176	в высшей	3	3
177	далеко не	2	3
178	этого не	1	3
179	мы видели	4	3
180	должно быть	3	3
181	в своей	3	3
182	другим и	1	3
183	в котором	3	3
184	не менее	1	3
185	но он	1	3
186	по крайней	2	3
187	по себе	3	3
188	что с	1	3
189	том что	10	3
190	его внутренний	1	3
191	уже говорили	1	3
192	есть только	1	3
193	строится как	1	3
194	слова с	1	3
195	в ее	3	3
196	говорили что	1	3
197	еще в	1	3
198	сводится к	2	3
199	между тем	6	3
200	крайней мере	2	3
201	в него	1	3
202	в том	7	3
203	большинстве случаев	5	3
204	нуждается в	1	3
205	к самому	1	3
206	а с	2	3
207	в стиле	1	3
208	до конца	2	3
209	слова которое	1	3
210	со словом	1	3
211	установкой на	2	3
212	в чужих	1	3
213	но для	2	3
214	если не	1	3
215	сознания и	3	3
216	бы в	4	3
217	только что	3	3
218	его к	2	3
219	только с	2	3
220	другой стороны	1	3
221	жизни и	2	3
222	в обычном	1	2
223	например в	1	2
224	это и	1	2
225	если б	3	2
226	все те	4	2
227	той же	3	2
228	а как	4	2
229	для его	3	2
230	ни единого	1	2
231	совпадает с	1	2
232	мы и	1	2
233	того же	5	2
234	и он	2	2
235	слово не	1	2
236	него он	1	2
237	столь же	3	2
238	во всех	6	2
239	бы не	2	2
240	эта особенность	1	2
241	отличие от	3	2
242	за пределы	3	2
243	определяется не	2	2
244	диалога и	1	2
245	в кругозор	1	2
246	с этим	3	2
247	в своем	2	2
248	когда он	1	2
249	в реальный	1	2
250	увидим что	1	2
251	в этот	1	2
252	уже с	1	2
253	к чему	1	2
254	в которой	1	2
255	бы с	1	2
256	в большинстве	5	2
257	чужое слово	8	2
258	диалог в	1	2
259	тому же	2	2
260	так сказать	14	2
261	вообще не	1	2
262	а просто	1	2
263	всех этих	1	2
264	а вовсе	1	2
265	внутреннего и	1	2
266	и если	1	2
267	друг с	1	2
268	бы они	1	2
269	же не	1	2
270	входит в	1	2
271	было в	1	2
272	диалога в	2	2
273	было бы	4	2
274	он есть	1	2
275	лишь на	5	2
276	в жизни	2	2
277	кажется что	1	2
278	в них	1	2
279	и того	5	2
280	был бы	1	2
281	что такое	1	2
282	в отличие	3	2
283	оно должно	1	2
284	с такою	1	2
285	тем не	1	2
286	речи в	10	2
287	войти в	1	2
288	и почти	2	2
289	между двумя	1	2
290	в той	5	2
291	тому что	4	2
292	почти все	1	2
293	слова мы	1	2
294	его целом	1	2
295	во время	1	2
296	но только	1	2
297	слова как	2	2
298	и лишь	3	2
299	и внешнего	1	2
300	этом случае	1	2
301	с самым	1	2
302	такая же	1	2
303	как на	2	2
304	и мысли	1	2
305	же слова	3	2
306	ли это	2	2
307	с другом	1	2
308	и со	1	2
309	не является	8	2
310	отнюдь не	8	2
311	лежит в	2	2
312	одно только	2	2
313	как для	1	2
314	той или	4	2
315	особый тип	1	2
316	всем этим	2	2
317	всего этого	1	2
318	прямо и	1	2
319	так в	1	2
320	обращаясь к	1	2
321	конечно в	3	2
322	и определяется	1	2
323	понятно что	1	2
324	и вообще	1	2
325	громадное значение	3	2
326	находится в	1	2
327	о том	3	2
328	все его	2	2
329	на нее	1	2
330	или как	2	2
331	переходит в	1	2
332	в форме	5	2
333	и только	1	2
334	другого в	1	2
335	еще более	2	2
336	и мир	1	2
337	эти последние	2	2
338	быть и	6	2
339	но с	1	2
340	тот же	1	2
341	мы увидим	2	2
342	то в	1	2
343	и ее	4	2
344	со всеми	1	2
345	с которыми	1	2
346	же и	1	2
347	конечно не	4	2
348	уже не	1	2
349	только слово	1	2
350	к слову	1	2
351	в душе	4	2
352	мы знаем	2	2
353	него нет	1	2
354	друг друга	2	2
355	и делает	1	2
356	и речь	2	2
357	нет в	1	2
358	были бы	1	2
359	со всем	1	2
360	или иной	5	2
361	обычном смысле	1	2
362	слово в	3	2
363	к которому	1	2
364	говорит о	1	2
365	не было	3	2
366	которых мы	1	2
367	о чем	2	2
368	чужих устах	1	2
369	вступает в	2	2
370	слово слово	1	2
371	и потому	2	2
372	смысле этого	4	2
373	остается в	1	2
374	вне этой	2	2
375	со всею	3	2
376	этот стиль	1	2
377	которой он	1	2
378	более того	6	2
379	в заключение	1	2
380	что оно	3	2
381	вопрос о	2	2
382	в другой	1	2
383	не с	2	2
384	но именно	1	2
385	ибо в	1	2
386	как слово	5	2
387	сказать что	4	2
388	на который	1	2
389	в последнем	1	2
390	а может	1	2
391	вполне понятно	4	2
392	того или	2	2
393	того времени	1	2
394	каждое слово	1	2
395	и оценкой	2	1
396	прямо сказать	2	1
397	нем нет	2	1
398	можно говорить	1	1
399	в абстрактной	1	1
400	одним из	2	1
401	также и	1	1
402	мы замечаем	1	1
403	человека и	1	1
404	неизбежно должно	1	1
405	мы здесь	2	1
406	но тем	1	1
407	нам кажется	1	1
408	ясно что	1	1
409	с выражением	1	1
410	его же	1	1
411	проникает в	1	1
412	уже указывали	1	1
413	что эти	1	1
414	я вдруг	1	1
415	отношения к	2	1
416	входящих в	1	1
417	в их	5	1
418	обойтись без	1	1
419	этом направлении	1	1
420	те синтаксические	1	1
421	до крайности	1	1
422	что уже	1	1
423	приводят к	1	1
424	но она	1	1
425	и принципы	1	1
426	план в	1	1
427	и понять	1	1
428	которое не	1	1
429	то это	1	1
430	не совсем	1	1
431	выражение этого	1	1
432	самого а	1	1
433	как впрочем	1	1
434	зависимости от	2	1
435	линии его	1	1
436	одного слова	3	1
437	произведение должно	1	1
438	свою очередь	5	1
439	и самого	2	1
440	дать ему	1	1
441	он был	2	1
442	видели что	1	1
443	то он	1	1
444	в голове	1	1
445	всегда с	1	1
446	к которой	1	1
447	не все	1	1
448	себя чем	1	1
449	менее всего	3	1
450	вступают в	1	1
451	него с	1	1
452	оно является	2	1
453	можно прямо	1	1
454	произведение в	1	1
455	форме и	1	1
456	руку и	1	1
457	лицом к	1	1
458	чем же	3	1
459	они ни	1	1
460	сих пор	3	1
461	в центре	1	1
462	независимо от	2	1
463	может обойтись	1	1
464	в различные	1	1
465	диалоге реплики	1	1
466	словом в	1	1
467	как нам	1	1
468	и пр	25	1
469	перед нами	3	1
470	в единый	1	1
471	не замечая	1	1
472	могли бы	1	1
473	и каждое	1	1
474	не являются	1	1
475	ясно и	1	1
476	и хотя	1	1
477	основная тенденция	3	1
478	и между	1	1
479	что слово	1	1
480	но чужое	1	1
481	поражает своей	1	1
482	в ответ	1	1
483	развивается и	1	1
484	является лишь	4	1
485	имеет громадное	1	1
486	в этой	3	1
487	произведениях это	1	1
488	с их	1	1
489	о слове	4	1
490	и до	3	1
491	роль в	1	1
492	но ведь	3	1
493	перемены в	1	1
494	в такую	1	1
495	внутренним и	1	1
496	не могла	1	1
497	его но	1	1
