N	3gram	Bakhtin_Fr_5	Problema
1	по отношению к	1	19
2	не может быть	2	11
3	с точки зрения	2	6
4	в отличие от	2	5
5	в его целом	1	5
6	между тем как	1	5
7	и прежде всего	3	5
8	в большинстве случаев	2	5
9	в данном случае	2	4
10	в конечном счете	1	4
11	на самом деле	4	3
12	в самом деле	1	3
13	можно было бы	2	3
14	в основе своей	1	3
15	все то что	1	3
16	то же время	9	3
17	в том что	6	3
18	в то же	9	3
19	тем не менее	1	3
20	можно сказать что	2	2
21	то же самое	2	2
22	ни в коем	1	2
23	в строгом смысле	1	2
24	и во всех	3	2
25	и др в	2	2
26	в коем случае	1	2
27	и в то	1	2
28	и в частности	1	2
29	мы здесь не	1	2
30	то есть чисто	1	2
31	так и в	1	2
32	той или иной	1	2
33	для того чтобы	6	2
34	в этом отношении	5	2
35	тем как в	1	2
36	что иное как	1	1
37	образом в основе	1	1
38	и в общем	1	1
39	зрения на мир	4	1
40	хотя и не	1	1
41	и мы можем	1	1
42	что с ним	1	1
43	конечно никакому сомнению	1	1
44	не обходится и	1	1
45	в свою очередь	1	1
46	так например в	1	1
47	далеко не все	1	1
48	имеет второстепенное значение	1	1
49	также и в	2	1
50	момент как мы	1	1
51	подлежит конечно никакому	1	1
52	все остальные моменты	1	1
53	о том как	2	1
54	до сих пор	3	1
55	до известной степени	4	1
56	в одном и	1	1
57	как это ни	1	1
58	со всеми другими	1	1
59	на самом же	1	1
60	же время она	1	1
61	в известной мере	2	1
62	и не менее	1	1
63	не подлежит конечно	1	1
64	может быть и	1	1
65	что дело идет	1	1
66	как в его	1	1
67	и не в	2	1
68	конечно не в	1	1
69	в значительной степени	1	1
70	со всеми его	2	1
71	его связь с	1	1
72	не что иное	1	1
73	но в то	5	1
74	какое же значение	1	1
75	включающее в себя	1	1
76	а также и	4	1
77	отношению к которому	1	1
78	его а не	1	1
79	следующей главе посвященной	1	1
80	в связи с	5	1
81	например в романе	1	1
82	в нем не	3	1
83	в следующей главе	1	1
84	нем не только	1	1
85	самом же деле	1	1
86	независимо от их	1	1
87	мир в его	1	1
88	и как таковой	1	1
89	есть не что	1	1
90	то что в	1	1
91	всего сказанного нами	2	1
92	в то время	2	1
93	свою связь с	1	1
94	на этом основании	1	1
95	то есть в	2	1
96	хотя бы в	2	1
97	и в самом	1	1
98	о мире и	1	1
99	с трудом она	1	1
100	и с точки	2	1
101	в другом случае	1	1
102	как мы уже	1	1
103	которой можно было	2	1
104	его целом в	1	1
105	как и в	1	1
106	не нуждается в	2	1
107	художественном творчестве не	1	1
108	дело в том	2	1
109	чрезвычайно характерно для	1	1
