1	потому что	25	49
2	для нас	4	31
3	и в	23	24
4	может быть	15	23
5	то что	9	20
6	и не	16	19
7	а не	10	18
8	в том	19	18
9	что в	10	16
10	по себе	10	15
11	не только	20	15
12	того же	3	14
13	было бы	15	13
14	при этом	2	13
15	в слове	1	13
16	не в	8	13
17	мы можем	1	12
18	то же	6	12
19	но не	6	12
20	не может	9	12
21	вместе с	5	11
22	что мы	6	11
23	если бы	12	11
24	только в	5	11
25	таким образом	5	11
26	что и	3	11
27	мы не	1	11
28	для него	1	10
29	так что	1	10
30	как в	3	10
31	тогда когда	1	10
32	в себе	1	10
33	так как	15	10
34	но и	7	9
35	как бы	4	9
36	в нем	4	9
37	вовсе не	9	9
38	точно так	3	9
39	то и	3	9
40	независимо от	1	9
41	а только	3	8
42	том что	11	8
43	могут быть	4	8
44	в этом	18	8
45	а в	3	8
46	и на	6	8
47	в одно	1	8
48	не могут	5	7
49	между собою	1	7
50	того как	2	7
51	во всяком	5	7
52	сами по	1	7
53	с этим	3	7
54	или же	2	7
55	тем что	3	7
56	как и	2	7
57	всяком случае	5	7
58	прежде всего	8	7
59	быть может	1	7
60	того что	3	7
61	в чем	1	7
62	свою очередь	2	6
63	не есть	1	6
64	только как	2	6
65	что если	2	6
66	не имеет	4	6
67	по поводу	2	6
68	с другой	8	6
69	и как	1	6
70	связи с	3	6
71	в ряду	1	6
72	тем не	6	6
73	и т	39	6
74	между тем	6	6
75	не было	4	6
76	в свою	2	6
77	в то	4	6
78	заметить что	1	6
79	этого слова	5	6
80	в одном	1	6
81	и только	1	6
82	же в	3	5
83	или не	1	5
84	и их	1	5
85	в которой	1	5
86	от того	4	5
87	есть не	1	5
88	по крайней	6	5
89	только для	2	5
90	в них	4	5
91	и уже	1	5
92	тот же	5	5
93	столь же	1	5
94	на то	4	5
95	слова есть	1	5
96	что не	6	5
97	не менее	7	5
98	уже в	3	5
99	так и	4	5
100	для того	9	5
101	а потому	1	5
102	слова в	6	5
103	крайней мере	6	5
104	о том	1	5
105	все же	7	5
106	что они	2	5
107	одно время	2	4
108	из этих	1	4
109	уже не	8	4
110	между прочим	2	4
111	они не	1	4
112	так в	3	4
113	и если	2	4
114	место в	1	4
115	одна из	1	4
116	должны быть	2	4
117	никогда не	2	4
118	мысли о	1	4
119	если не	1	4
120	что он	5	4
121	такой же	1	4
122	для меня	1	4
123	тем самым	2	4
124	в котором	1	4
125	в других	1	4
126	образом в	2	4
127	время как	1	4
128	с а	1	4
129	что оно	3	4
130	еще не	5	4
131	до сих	1	4
132	для самого	2	4
133	сам по	1	4
134	в самом	12	4
135	с одной	2	4
136	главным образом	3	4
137	там где	5	4
138	то время	1	4
139	и что	8	4
140	сих пор	1	4
141	к языку	1	4
142	том смысле	1	4
143	себе не	2	4
144	с тем	2	4
145	но в	11	4
146	указания на	2	4
147	как не	3	3
148	только тогда	1	3
149	есть нечто	1	3
150	в языке	10	3
151	быть не	2	3
152	хотя и	4	3
153	в ней	3	3
154	слова а	1	3
155	языка и	8	3
156	одной стороны	1	3
157	же что	1	3
158	что на	4	3
159	на все	2	3
160	что это	7	3
161	вслед за	1	3
162	очевидно что	2	3
163	о которых	3	3
164	и для	2	3
165	бы быть	1	3
166	в самой	2	3
167	оно не	2	3
168	и все	2	3
169	могла бы	2	3
170	мы говорим	2	3
171	что она	3	3
172	которых мы	2	3
173	только что	1	3
174	и у	2	3
175	с ними	2	3
176	те же	3	3
177	как на	1	3
178	смысле этого	2	3
179	тем же	2	3
180	от слова	3	3
181	на вопрос	1	3
182	со стороны	4	3
183	вряд ли	4	3
184	относится к	1	3
185	что без	1	3
186	того кто	1	3
187	рядом с	2	3
188	не как	2	3
189	и тем	5	3
190	на деле	1	3
191	становится для	1	3
192	той же	2	3
193	и от	2	3
194	от другого	1	3
195	одно из	1	3
196	помнить что	1	3
197	во многих	1	3
198	далеко не	1	3
199	есть явление	2	3
200	так например	1	3
201	нужно будет	1	3
202	то не	2	3
203	от них	1	3
204	не так	1	3
205	т д	14	3
206	не с	1	3
207	слова и	5	3
208	в каком	4	3
209	и то	5	3
210	если мы	4	3
211	которое мы	1	3
212	в целом	1	3
213	но это	3	3
214	и при	1	3
215	и вообще	2	3
216	что для	2	3
217	мог бы	1	3
218	как например	1	3
219	кажется что	1	3
220	т п	24	3
221	ни было	1	3
222	мы в	2	3
223	только от	1	3
224	в этих	1	3
225	находится в	1	3
226	это не	6	3
227	но даже	2	3
228	что само	2	3
229	само по	5	2
230	то мы	1	2
231	нельзя в	1	2
232	связанные с	2	2
233	могли бы	2	2
234	вообще и	2	2
235	не знали	1	2
236	что язык	1	2
237	указание на	3	2
238	она есть	1	2
239	мы находим	1	2
240	в действительности	1	2
241	все эти	12	2
242	не знаем	1	2
243	невозможно но	1	2
244	слова но	1	2
245	смысле как	1	2
246	и его	3	2
247	указывают на	1	2
248	различие в	1	2
249	и действия	1	2
250	в нашей	4	2
251	и здесь	5	2
252	того чтобы	11	2
253	а это	2	2
254	перестает быть	1	2
255	все это	5	2
256	которые нам	1	2
257	даже при	1	2
258	как это	5	2
259	а скорее	1	2
260	состоит не	1	2
261	и есть	2	2
262	когда мы	1	2
263	в пример	1	2
264	как оно	1	2
265	внимание на	1	2
266	для обозначения	2	2
267	к этому	4	2
268	что только	1	2
269	же время	3	2
270	в разговоре	4	2
271	не дают	1	2
272	сказать что	4	2
273	один из	5	2
274	показать в	1	2
275	что нет	1	2
276	не то	2	2
277	во всем	1	2
278	и по	3	2
279	с каким	1	2
280	звуков в	1	2
281	что все	5	2
282	для нее	1	2
283	нас в	1	2
284	их в	1	2
285	вопрос о	9	2
286	но только	4	2
287	сама по	1	2
288	бы в	1	2
289	с первого	2	2
290	с самого	1	2
291	что за	2	2
292	самого начала	1	2
293	но он	1	2
294	себе представить	1	2
295	что слово	3	2
296	на такие	2	2
297	например что	2	2
298	должно быть	4	2
299	не все	3	2
300	случаи когда	3	2
301	или в	4	2
302	не должно	2	2
303	с его	1	2
304	и потому	2	2
305	между ними	1	2
306	были и	1	2
307	это что	1	2
308	и это	3	2
309	превращается в	2	2
310	нам не	2	2
311	для образования	1	2
312	указывает на	1	2
313	состоит в	2	2
314	что такое	3	2
315	слово как	1	2
316	само собою	1	2
317	слова так	1	2
318	они имеют	2	2
319	а а	1	2
320	о котором	2	2
321	что у	2	2
322	имеет место	1	2
323	в связи	4	2
324	что вообще	1	2
325	даже и	2	2
326	только потому	8	2
327	есть в	3	2
328	на самом	2	2
329	в нашем	7	2
330	от себя	1	2
331	на этом	3	2
332	но все	4	2
333	общего с	1	2
334	у него	3	2
335	форма слова	1	2
336	так же	4	2
337	и той	1	2
338	но эти	1	2
339	если и	3	2
340	и следовательно	2	2
341	знать что	1	2
342	например с	1	2
343	но что	2	2
344	самом деле	9	2
345	после того	2	2
346	мы знаем	4	2
347	быть только	2	2
348	также что	2	2
349	этом смысле	5	2
350	в себя	1	2
351	в слово	1	2
352	всех этих	3	2
353	не на	2	2
354	этого не	3	2
355	это определение	2	2
356	нас менее	1	2
357	сказать в	1	2
358	в каждом	1	2
359	в какой	1	2
360	языка мы	1	2
361	в другом	2	2
362	в его	5	2
363	у нас	12	2
364	мы должны	2	2
365	одной и	1	2
366	хотя бы	9	2
367	только после	1	2
368	предполагает что	1	2
369	другой стороны	7	2
370	указывающий на	1	2
371	по отношению	1	2
372	и впечатления	1	2
373	на более	1	2
374	в общем	1	2
375	то к	1	2
376	тому что	1	2
377	что есть	1	2
378	отношения к	2	2
379	общим признаком	1	1
380	от этого	2	1
381	связанных с	1	1
382	и др	1	1
383	и до	2	1
384	стороны если	1	1
385	могло бы	1	1
386	не исчерпывается	1	1
387	условиях это	1	1
388	различие между	3	1
389	в ее	1	1
390	можно сказать	4	1
391	ход мысли	1	1
392	в своих	2	1
393	тех пор	2	1
394	слово теперь	1	1
395	не исчезнет	1	1
396	должно в	1	1
397	догадываться о	1	1
398	само слово	1	1
399	его от	1	1
400	на те	1	1
401	дело в	1	1
402	это для	1	1
403	оно есть	1	1
404	оно имеет	1	1
405	ничего кроме	1	1
406	этой цели	2	1
407	не следует	5	1
408	переводе на	1	1
409	ту же	6	1
410	с точки	8	1
411	и вся	1	1
412	при отсутствии	2	1
413	прежде чем	1	1
414	к нему	2	1
415	язык и	2	1
416	без всякого	1	1
417	такой степени	1	1
418	но так	2	1
419	к одному	1	1
420	здесь как	1	1
421	давно уже	1	1
422	в данных	1	1
423	имеет дело	1	1
424	и непосредственно	1	1
425	не замечать	1	1
426	сознаться что	1	1
427	и том	1	1
428	которые были	1	1
429	в прямом	1	1
430	ли этот	1	1
431	тому же	1	1
432	а как	1	1
433	до тех	1	1
434	предполагает уже	1	1
435	к результатам	1	1
436	д и	1	1
437	вопрос этот	2	1
438	одном и	1	1
439	одного из	2	1
440	все они	2	1
441	оно их	1	1
442	я сказал	1	1
443	могло быть	1	1
444	поэзии как	1	1
445	он что	1	1
446	вопрос как	1	1
447	что так	1	1
448	так скоро	1	1
449	из языка	1	1
450	мере в	1	1
451	день и	1	1
452	это как	1	1
453	от которого	1	1
454	перед нами	4	1
455	поэтому если	1	1
456	бы те	1	1
457	смысле в	1	1
458	той мере	1	1
459	слона не	1	1
460	и богатство	1	1
461	которой и	1	1
462	явлениями и	1	1
463	начнем с	1	1
464	никак не	3	1
465	нам его	1	1
466	но с	1	1
467	они связаны	1	1
468	том случае	2	1
469	что касается	2	1
470	и просто	1	1
471	которые должны	1	1
472	лишь по	1	1
473	в строении	1	1
474	что дело	1	1
475	тем более	1	1
476	если оно	1	1
477	наше внимание	1	1
478	наблюдений над	1	1
479	для всякого	1	1
480	из всех	1	1
481	может и	1	1
482	ее от	1	1
483	все его	1	1
484	и о	4	1
485	известно что	1	1
486	этот способ	1	1
487	и прочих	1	1
488	большей или	3	1
489	подобные же	1	1
490	именно с	3	1
491	роли в	1	1
492	на это	3	1
493	мы будем	2	1
494	отличие от	2	1
495	на источник	1	1
496	замечаем что	1	1
497	в большей	3	1
498	здесь не	3	1
499	и слово	1	1
500	на который	2	1
501	во многом	1	1
502	этого слова?	1	1
