N	2gram	Berdyaev_M_1	Marksizm
1	может быть	30	28
2	и в	28	19
3	и не	11	19
4	как бы	2	19
5	не может	28	18
6	точки зрения	4	17
7	и его	9	16
8	в этом	20	15
9	лишь в	6	14
10	не только	29	13
11	вовсе не	1	11
12	в нем	13	11
13	если бы	2	11
14	не в	16	10
15	так и	1	10
16	но и	25	10
17	в пределах	1	10
18	том что	3	10
19	как и	5	9
20	самом деле	1	9
21	для него	11	9
22	это –	16	9
23	в основе	2	9
24	а не	25	9
25	отношению к	2	8
26	по отношению	2	8
27	в то	2	8
28	только в	6	8
29	с его	3	8
30	прежде всего	10	7
31	и для	2	7
32	его в	3	7
33	на самом	1	7
34	в том	6	7
35	никогда не	14	7
36	но в	7	7
37	и более	1	7
38	и все	10	6
39	хотя бы	3	6
40	того чтобы	2	6
41	во всех	1	6
42	между тем	1	6
43	к тому	3	6
44	в смысле	1	6
45	для того	2	6
46	мы уже	1	6
47	в самом	11	6
48	– не	5	6
49	быть и	1	6
50	и как	2	6
51	в свою	2	6
52	– как	1	5
53	все же	2	5
54	отношении к	2	5
55	так же	1	5
56	к нему	7	5
57	в их	4	5
58	в той	2	5
59	в его	9	5
60	смысле слова	4	5
61	и на	6	5
62	тем более	1	5
63	к другому	1	5
64	к этому	2	5
65	– лишь	1	4
66	в себе	7	4
67	бы в	2	4
68	и ее	1	4
69	и их	3	4
70	должна быть	6	4
71	значение в	1	4
72	в отношении	1	4
73	того что	7	4
74	это не	5	4
75	то что	5	4
76	а как	2	4
77	в душе	1	4
78	сказать что	2	4
79	этой связи	1	4
80	ничего не	3	4
81	из одного	1	4
82	к пониманию	1	4
83	является лишь	1	4
84	– это	1	4
85	что он	10	4
86	было бы	10	4
87	конечно не	3	4
88	влияние на	1	4
89	все эти	2	3
90	еще не	1	3
91	во всяком	1	3
92	иногда и	1	3
93	не к	4	3
94	учение о	3	3
95	не было	18	3
96	бы он	1	3
97	сих пор	2	3
98	его и	1	3
99	сознания и	1	3
100	до сих	2	3
101	социальной среды	3	3
102	в своей	15	3
103	от одного	1	3
104	менее всего	7	3
105	одной из	1	3
106	в котором	8	3
107	в ее	3	3
108	для понимания	1	3
109	с этим	3	3
110	что и	4	3
111	высшей степени	2	3
112	в этих	4	3
113	мысли и	2	3
114	за пределы	4	3
115	не имеет	3	3
116	отличие от	1	3
117	у нас	5	3
118	подхода к	1	3
119	каждый раз	1	3
120	и от	2	3
121	да и	1	3
122	в высшей	2	3
123	связано с	2	3
124	относится к	2	3
125	он не	24	3
126	в истории	2	3
127	должно быть	3	3
128	но ведь	1	3
129	в этой	6	3
130	могут быть	2	3
131	не существует	2	3
132	в отличие	1	3
133	а в	4	3
134	не как	4	3
135	– с	1	3
136	для других	1	3
137	о том	2	3
138	в каком	2	3
139	а иногда	1	3
140	и до	1	3
141	в ней	15	3
142	и то	1	3
143	и это	12	3
144	так как	3	3
145	не есть	9	3
146	как от	1	2
147	всех исторических	1	2
148	то мы	1	2
149	одним из	2	2
150	– одна	1	2
151	приводит к	2	2
152	в значительной	1	2
153	не знает	4	2
154	и с	3	2
155	вопрос о	2	2
156	а ведь	1	2
157	ведь все	1	2
158	место в	2	2
159	жизни и	2	2
160	бы это	1	2
161	от этого	2	2
162	что они	1	2
163	самостоятельного существования	1	2
164	в более	2	2
165	лишь те	1	2
166	все то	1	2
167	и он	12	2
168	рядом с	1	2
169	культуры как	1	2
170	вместе с	6	2
171	в жизни	3	2
172	лишь с	1	2
173	будет ли	1	2
174	вступает в	1	2
175	иное как	1	2
176	то есть	3	2
177	бы не	2	2
178	от него	4	2
179	к системе	1	2
180	ответ на	1	2
181	его к	1	2
182	на протяжении	2	2
183	выходят за	1	2
184	из всего	1	2
185	все его	3	2
186	что в	10	2
187	из него	1	2
188	отношения к	4	2
189	в начале	2	2
190	выражения в	1	2
191	мы не	1	2
192	не так	3	2
193	еще более	1	2
194	и даже	1	2
195	различие между	2	2
196	на все	1	2
197	более и	1	2
198	подход к	1	2
199	всегда и	1	2
200	они не	1	2
201	ко всем	3	2
202	все время	1	2
203	что не	1	2
204	к его	1	2
205	и потому	10	2
206	связана с	2	2
207	не на	1	2
208	ведь это	2	2
209	находятся в	1	2
210	только с	1	2
211	и о	1	2
212	но к	1	2
213	зависимости от	1	2
214	до конца	14	2
215	мы увидим	3	2
216	в одной	1	2
217	– говорит	3	2
218	от своего	1	2
219	всяком случае	1	2
220	значительной степени	1	2
221	все –	2	2
222	тем что	4	2
223	о чем	2	2
224	это было	1	2
225	лежит в	1	2
226	xix века	4	2
227	в зависимости	1	2
228	точку зрения	1	2
229	он был	14	2
230	у него	17	2
231	и именно	1	2
232	силой и	1	2
233	является для	1	2
234	даже и	2	2
235	поэтому в	1	2
236	и всякое	1	2
237	в атмосфере	1	2
238	речи о	1	2
239	должен быть	2	2
240	и почти	1	2
241	делает его	1	2
242	и у	2	2
243	себя в	3	2
244	все более	1	2
245	одно только	2	2
246	– к	3	2
247	привела к	2	2
248	все основные	1	2
249	и речи	1	2
250	уже в	4	2
251	нем нет	1	2
252	и эта	1	2
253	во внутренней	1	2
254	является в	1	2
255	он и	2	2
256	но не	8	2
257	в своем	10	2
258	жизни –	1	1
259	войти в	1	1
260	в динамике	3	1
261	и из	1	1
262	достоевский в	5	1
263	в которой	6	1
264	почти все	1	1
265	не все	2	1
266	прежде чем	2	1
267	связи со	1	1
268	тема является	1	1
269	не отражает	1	1
270	необходимость но	1	1
271	– только	1	1
272	когда мы	2	1
273	не значит	2	1
274	по сравнению	2	1
275	но она	1	1
276	сравнению с	1	1
277	нельзя понять	1	1
278	зло и	2	1
279	и зло	1	1
280	нему не	1	1
281	среды в	1	1
282	и вот	3	1
283	и наконец	1	1
284	и небо	1	1
285	и везде	1	1
286	в него	3	1
287	небо и	4	1
288	идет в	1	1
289	но он	9	1
290	только их	1	1
291	как ни	1	1
292	ее не	1	1
293	душевной жизни	2	1
294	и самый	2	1
295	мир и	1	1
296	ним не	1	1
297	город и	1	1
298	в дневнике	2	1
299	этой исторической	1	1
300	его с	2	1
301	на том	3	1
302	не умеет	1	1
303	моменты в	1	1
304	это сознание	1	1
305	стремиться к	1	1
306	в состоянии	1	1
307	лишь для	1	1
308	в разных	1	1
309	– разгадать	1	1
310	не была	3	1
311	нет в	4	1
312	даже до	1	1
313	мышления и	1	1
314	себя от	1	1
315	с той	1	1
316	в этот	2	1
317	на своем	3	1
318	как такие	1	1
319	характерно для	1	1
320	и действительно	1	1
321	был бы	10	1
322	не менее	1	1
323	искусство и	1	1
324	нему и	1	1
325	их жизни	1	1
326	в глубинах	1	1
327	не принадлежит	2	1
328	все это	6	1
329	в содержание	1	1
330	то он	1	1
