N	2gram	Tiupa_Lite_1	KulturaY
1	потому что	3	25
2	и в	8	23
3	не только	24	20
4	в том	16	19
5	в этом	12	18
6	и не	12	16
7	было бы	2	15
8	так как	1	15
9	может быть	13	15
10	точки зрения	6	14
11	все эти	2	12
12	если бы	1	12
13	в самом	3	12
14	но в	3	11
15	том что	14	11
16	в области	3	11
17	а не	16	10
18	что в	3	10
19	самом деле	2	9
20	вопрос о	1	9
21	в сущности	2	9
22	хотя бы	2	9
23	то что	10	9
24	можно было	2	9
25	вовсе не	1	9
26	не может	5	9
27	только потому	1	8
28	с точки	2	8
29	не в	8	8
30	и что	1	8
31	в качестве	17	8
32	уже не	7	8
33	прежде всего	11	8
34	с другой	3	8
35	все же	4	7
36	в нашем	1	7
37	в силу	4	7
38	и с	1	7
39	не менее	7	7
40	но и	17	7
41	другой стороны	1	7
42	то же	5	6
43	и на	1	6
44	но не	4	6
45	в этой	4	6
46	да и	3	6
47	это не	4	6
48	тем не	2	6
49	по крайней	1	6
50	ту же	2	6
51	между тем	2	6
52	крайней мере	1	6
53	слова в	1	6
54	что не	2	6
55	и то	2	5
56	также и	3	5
57	мы имеем	1	5
58	я не	7	5
59	зависимости от	1	5
60	еще не	4	5
61	целый ряд	1	5
62	должна быть	2	5
63	по существу	1	5
64	и вот	1	5
65	лишь в	4	5
66	и тем	4	5
67	несмотря на	3	5
68	и здесь	1	5
69	приводит к	3	5
70	в его	7	5
71	один из	3	5
72	тот же	1	5
73	что он	5	5
74	только в	8	5
75	должен быть	2	5
76	всяком случае	2	5
77	вместе с	1	5
78	как это	8	5
79	что же	1	5
80	таким образом	3	5
81	во всяком	3	5
82	в зависимости	1	4
83	говорить о	1	4
84	что я	2	4
85	в данном	5	4
86	со стороны	4	4
87	отнюдь не	2	4
88	однако не	1	4
89	перед нами	1	4
90	если мы	1	4
91	на то	1	4
92	в нем	2	4
93	так и	4	4
94	но все	1	4
95	должно быть	1	4
96	своего рода	11	4
97	в то	5	4
98	но только	1	4
99	не имеет	1	4
100	к тому	2	4
101	и о	1	4
102	в пределах	3	4
103	или в	1	4
104	могут быть	2	4
105	можно сказать	1	4
106	для нас	1	4
107	в нашей	2	4
108	мы знаем	1	4
109	в конце	4	4
110	в них	1	4
111	в особенности	1	4
112	в каком	1	4
113	не было	3	4
114	в связи	4	4
115	как бы	7	4
116	сказать что	1	4
117	была бы	1	4
118	к этому	1	4
119	в сфере	3	3
120	того же	2	3
121	а только	2	3
122	как в	5	3
123	всего лишь	4	3
124	так в	1	3
125	то и	2	3
126	в статье	1	3
127	он не	1	3
128	этой книге	2	3
129	ни были	1	3
130	и по	1	3
131	на этом	2	3
132	этого не	2	3
133	если и	1	3
134	что такое	2	3
135	казалось бы	5	3
136	же время	5	3
137	и его	4	3
138	связи с	6	3
139	уже о	1	3
140	отличается от	1	3
141	всего в	3	3
142	как мы	1	3
143	в виду	3	3
144	последнее время	1	3
145	а в	3	3
146	на это	2	3
147	для этого	4	3
148	сводится к	3	3
149	никак не	1	3
150	а также	5	3
151	аналогии с	3	3
152	знает что	1	3
153	что и	1	3
154	в лучшем	1	3
155	того что	6	3
156	уже в	5	3
157	же в	5	3
158	до конца	1	3
159	у него	3	3
160	как раз	4	3
161	тем что	2	3
162	указание на	1	3
163	или иначе	9	3
164	именно в	1	3
165	в соответствии	1	3
166	различие между	2	3
167	из которых	1	3
168	лучшем случае	1	3
169	но для	1	3
170	своей собственной	2	3
171	этом отношении	2	3
172	не знает	1	3
173	совершенно не	1	3
174	к этой	1	3
175	гораздо более	1	3
176	же как	1	2
177	чтобы не	2	2
178	как заявил	1	2
179	на самом	1	2
180	тех же	3	2
181	и есть	3	2
182	тем же	3	2
183	по преимуществу	4	2
184	свое место	1	2
185	в году	13	2
186	той же	3	2
187	но даже	1	2
188	так или	8	2
189	конечном счете	4	2
190	ответ на	1	2
191	очевидно что	1	2
192	отличие от	5	2
193	не просто	1	2
194	что они	1	2
195	наше время	1	2
196	в своем	11	2
197	могли бы	1	2
198	этой цели	2	2
199	за собой	1	2
200	и у	1	2
201	и если	1	2
202	по словам	1	2
203	при этом	19	2
204	в основании	1	2
205	не как	4	2
206	состоит в	11	2
207	за счет	1	2
208	в одну	1	2
209	в другом	2	2
210	данном случае	4	2
211	соответствии с	1	2
212	с тем	1	2
213	как и	6	2
214	не всегда	1	2
215	как некоторое	1	2
216	бы на	2	2
217	в своей	4	2
218	в их	3	2
219	в отличие	5	2
220	в которых	1	2
221	установка на	1	2
222	это всего	2	2
223	и более	1	2
224	тем самым	5	2
225	в современном	1	2
226	не должно	1	2
227	только для	1	2
228	в отношении	1	2
229	она не	1	2
230	может служить	1	2
231	дело не	2	2
232	например что	1	2
233	в день	1	2
234	в наше	1	2
235	иметь в	1	2
236	свою очередь	1	2
237	говоря уже	2	2
238	роль в	2	2
239	на том	2	2
240	что для	2	2
241	мы в	2	2
242	одного из	3	2
243	в конечном	5	2
244	к нему	1	2
245	нуждается в	3	2
246	в глазах	1	2
247	тех пор	1	2
248	с той	1	2
249	сколь бы	1	2
250	отказ от	7	2
251	он уже	1	2
252	их не	2	2
253	с одной	2	2
254	же и	3	2
255	есть наиболее	2	2
256	языка как	1	2
257	большинстве случаев	1	2
258	ставит себе	1	2
259	никогда не	4	2
260	и даже	3	2
261	выходит за	1	2
262	сюда же	1	2
263	еще и	3	2
264	превращается в	2	2
265	а на	1	2
266	не на	2	2
267	однако и	1	2
268	он и	3	2
269	для этой	1	2
270	так называемых	2	2
271	правда ли	1	2
272	в частности	15	2
273	ни на	1	2
274	представить себе	1	2
275	с общей	1	2
276	в той	1	2
277	за рамки	1	2
278	как будто	2	2
279	быть не	1	2
280	ли не	3	2
281	с этой	5	2
282	между прочим	1	2
283	и от	1	2
284	сознания и	1	2
285	и все	1	2
286	литература и	1	2
287	но зато	1	2
288	все они	2	2
289	в свою	1	2
290	не говоря	2	2
291	только как	1	2
292	в кругу	1	2
293	в своих	4	2
294	по поводу	2	2
295	этой точки	3	2
296	стороны к	1	1
297	всем и	2	1
298	только язык	1	1
299	как такового	1	1
300	показать что	1	1
301	все ту	1	1
302	в котором	1	1
303	по которым	1	1
304	сам автор	1	1
305	исходит из	3	1
306	первая же	1	1
307	едва ли	1	1
308	каком отношении	1	1
309	жизни для	1	1
310	а как	2	1
311	есть не	1	1
312	особенность этого	1	1
313	годы не	1	1
314	мы не	1	1
315	уверен что	1	1
316	превратилась в	1	1
317	есть нечто	1	1
318	почти исключительно	1	1
319	жизни это	1	1
320	и он	1	1
321	разумеется не	1	1
322	мог бы	1	1
323	он был	1	1
324	столь же	4	1
325	бы то	1	1
326	принципиальное значение	1	1
327	с его	5	1
328	только после	1	1
329	как правило	2	1
330	но как	1	1
331	и никто	1	1
332	по отношению	3	1
333	в общем	1	1
334	себя вне	1	1
335	относится к	2	1
336	идет о	1	1
337	в рамках	6	1
338	общего с	2	1
339	например для	1	1
340	как к	1	1
341	такова же	1	1
342	бы я	2	1
343	и как	1	1
344	до тех	1	1
345	не мне	1	1
346	ход мысли	1	1
347	то в	1	1
348	не исчерпывается	1	1
349	в себя	2	1
350	себе как	1	1
351	в которой	1	1
352	языка есть	1	1
353	в целом	8	1
354	чуть ли	2	1
355	не оставляет	2	1
356	из этих	2	1
357	во многих	2	1
358	но без	2	1
359	в последнее	1	1
360	что к	1	1
361	традиция в	1	1
362	общеизвестно что	1	1
363	в себе	7	1
364	в употреблении	1	1
365	тому же	2	1
366	в случае	4	1
367	роли в	1	1
368	а скорее	1	1
369	от которого	1	1
370	мы можем	1	1
371	в ссср	1	1
372	в принципе	3	1
373	к одному	1	1
374	однако он	1	1
375	силу своей	3	1
376	какой бы	1	1
377	но дело	1	1
378	так например	1	1
379	или иных	1	1
380	тому чтобы	1	1
381	этом последнем	1	1
382	в каждом	1	1
383	то ни	1	1
384	глубоко в	1	1
385	и вкус	1	1
386	того кто	1	1
387	а по	1	1
388	который уже	1	1
389	на почве	2	1
390	элементы не	1	1
391	кажется что	1	1
392	конечном итоге	1	1
393	само собою	1	1
394	точнее и	1	1
395	далеко не	3	1
396	русской культуры	3	1
397	а прежде	1	1
398	в слове	2	1
399	и уже	1	1
400	перестает быть	4	1
401	как сказано	2	1
402	этом в	3	1
403	потому и	1	1
404	и некоторые	1	1
405	такой же	1	1
406	автор статьи	1	1
407	что подобное	1	1
408	но до	1	1
409	часто оказываются	1	1
410	в следующем	1	1
411	же это	2	1
412	которого является	1	1
413	классической литературы	3	1
414	от себя	2	1
415	и новые	1	1
416	в поэме	1	1
417	в одном	1	1
418	творчества и	1	1
419	нам в	1	1
420	быть может	1	1
421	как от	1	1
422	однако в	2	1
423	том же	3	1
424	бы быть	1	1
425	для нее	2	1
426	даже в	2	1
427	а вот	1	1
428	так называемого	2	1
429	что есть	1	1
430	случае в	1	1
431	xviii века	2	1
432	культурной жизни	1	1
433	самого начала	1	1
434	на котором	1	1
435	тогда когда	1	1
