1	в то же время	4	7
2	в том что он	1	4
3	и в то же	1	3
4	именно в том что	1	2
5	не значит конечно что	1	2
6	но в то же	3	2
7	у ивана карамазова и	1	2
8	точка зрения на мир	1	2
9	это не значит конечно	1	2
10	по отношению к себе	1	1
11	она не может быть	1	1
12	не могут до конца	1	1
13	с ним и с	1	1
14	дело здесь конечно не	1	1
15	точки зрения на мир	1	1
16	здесь конечно не в	1	1
17	во всяком случае не	1	1
18	только с точки зрения	1	1
19	роман не только не	1	1
20	в истории европейского романа	1	1
21	в зависимости от характера	2	1
22	особая точка зрения на	1	1
23	то перед нами не	1	1
24	а в том что	1	1
25	мы не можем здесь	1	1
26	как мы уже говорили	1	1
27	можно прямо сказать что	2	1
