N	3gram	Propp_Russ_2	Psycholo
1	в том что	18	17
2	для того чтобы	6	13
3	не может быть	3	8
4	на то что	1	6
5	в этом отношении	1	5
6	можно было бы	1	4
7	так же как	4	4
8	в данном случае	6	4
9	тем не менее	2	4
10	о том что	4	4
11	в том чтобы	2	3
12	в то время	2	3
13	том что в	1	2
14	состоит в том	13	2
15	но так как	1	2
16	так как в	1	2
17	подобно тому как	3	2
18	как и в	1	2
19	то время как	1	2
20	во всяком случае	1	2
21	что при этом	1	2
22	и таким образом	1	2
23	и в том	1	2
24	таким образом в	1	2
25	в свою очередь	1	2
26	с другой стороны	1	2
27	и т д	5	2
28	а между тем	1	1
29	что иное как	2	1
30	не могла быть	1	1
31	потому что в	1	1
32	того или другого	1	1
33	о том как	1	1
34	в этом случае	6	1
35	же как и	2	1
36	как и другие	1	1
37	как раз наоборот	1	1
38	в отличие от	3	1
39	указывает что в	1	1
40	но и в	1	1
41	что в некоторых	1	1
42	и в других	4	1
43	но и как	1	1
44	вместе с тем	4	1
45	по аналогии с	1	1
46	потому что он	1	1
47	здесь мы имеем	1	1
48	может быть не	1	1
49	с одной стороны	2	1
50	это делается для	1	1
51	принадлежат к числу	1	1
52	т д с	1	1
53	во всем этом	1	1
54	бросается в глаза	2	1
55	и в таком	1	1
56	дело так будто	1	1
57	то увидим что	1	1
58	более или менее	1	1
59	того чтобы вызвать	1	1
60	если эта теория	1	1
61	в этом и	2	1
62	на этом основании	1	1
63	с того что	1	1
64	к выводу что	1	1
65	не только на	1	1
66	можно сказать что	1	1
67	с тем и	1	1
68	совершенно очевидно что	1	1
69	за тридевять земель	1	1
70	после того как	2	1
71	а как раз	1	1
72	делается для того	1	1
73	по этому поводу	2	1
74	не что иное	2	1
75	мы указывали на	1	1
