N	3gram	Bakhtin_sl_1	Dialekti
1	и т д	5	19
2	с точки зрения	8	12
3	в том что	1	7
4	в то же	12	4
5	то же время	12	4
6	с другой стороны	4	4
7	и то же	2	4
8	можно было бы	2	4
9	одно и то	2	4
10	по крайней мере	1	4
11	и в этом	2	3
12	можно сказать что	1	3
13	может быть и	1	3
14	более или менее	3	3
15	той или иной	9	3
16	не может быть	1	3
17	о том что	1	2
18	с одной стороны	4	2
19	и в частности	1	2
20	и в то	5	2
21	и с другой	1	2
22	и т п	23	2
23	до сих пор	2	2
24	несет на себе	1	2
25	к тому что	2	2
26	во всяком случае	5	2
27	в этом отношении	1	2
28	точки зрения самого	2	2
29	то или иное	1	2
30	никогда не может	1	2
31	так или иначе	1	1
32	те или иные	3	1
33	мы все время	1	1
34	ничего нового не	2	1
35	и этим в	1	1
36	друг с другом	2	1
37	можно встретить такие	1	1
38	себя так что	1	1
39	привело к тому	1	1
40	точек зрения и	1	1
41	с чем именно	1	1
42	и не в	1	1
43	только один и	1	1
44	но в то	4	1
45	до известной степени	2	1
46	с самого начала	1	1
47	точки зрения не	1	1
48	один и единственный	1	1
49	в предмете и	1	1
50	в разной степени	1	1
51	нужно отнести также	1	1
52	тех или иных	1	1
53	но это не	1	1
54	а между тем	2	1
55	и в особенности	4	1
56	точка зрения на	2	1
57	в то время	2	1
58	и ничего не	1	1
59	никогда не бывает	1	1
60	одной и той	1	1
61	и в них	1	1
62	и той же	1	1
63	на самом же	1	1
64	как одно и	1	1
65	если бы мы	1	1
66	и в отношении	1	1
67	в той или	9	1
68	отнести также и	1	1
69	ни в какой	1	1
70	самом же деле	1	1
71	дело в том	1	1
72	то время как	2	1
73	для того чтобы	1	1
74	не в самом	1	1
75	во всех этих	1	1
76	как раз на	1	1
77	тем не менее	1	1
78	это не значит	1	1
79	в отношении к	6	1
80	не был бы	1	1
81	это было бы	1	1
