N	3gram	Vinokur_Ku_2	RusskieA
1	в том что	10	18
2	состоит в том	1	13
3	в этом случае	2	6
4	в данном случае	1	6
5	для того чтобы	8	6
6	т е в	1	5
7	и т д	14	5
8	вместе с тем	2	4
9	и в других	1	4
10	так же как	2	4
11	о том что	1	4
12	в отличие от	2	3
13	не может быть	4	3
14	только тогда когда	1	3
15	тем не менее	5	2
16	что иное как	1	2
17	в своей книге	1	2
18	для этой цели	1	2
19	может быть только	2	2
20	не что иное	1	2
21	в том чтобы	1	2
22	в то время	1	2
23	после того как	1	2
24	с одной стороны	1	2
25	то и дело	1	2
26	том что в	1	1
27	потому что он	2	1
28	было бы говорить	1	1
29	могут рассматриваться как	1	1
30	к этому же	1	1
31	нужно иметь в	1	1
32	иметь в виду	1	1
33	в виду что	1	1
34	в настоящее время	1	1
35	т е не	1	1
36	сомнений в их	1	1
37	одна из основных	1	1
38	как это имеет	1	1
39	не оставляет сомнений	1	1
40	но все это	1	1
41	и должен был	1	1
42	собою как бы	1	1
43	на этом же	1	1
44	в первую очередь	1	1
45	а так как	1	1
46	в этом отношении	3	1
47	таким образом в	1	1
48	состоит не в	1	1
49	но это не	1	1
50	можно было бы	9	1
51	у нас нет	1	1
52	что за этим	1	1
53	сюда же относится	1	1
54	оставляет сомнений в	1	1
55	и несмотря на	1	1
56	может быть и	1	1
57	может быть не	1	1
58	во всяком случае	5	1
59	смысле этого слова	1	1
60	своей книге о	1	1
61	так как оно	1	1
62	это имеет место	1	1
63	то время как	1	1
64	т е на	2	1
65	но может быть	1	1
66	дело в том	1	1
67	с другой стороны	7	1
68	и в том	2	1
69	т е как	1	1
70	нужно было бы	1	1
71	т д а	1	1
72	он был бы	1	1
73	в свою очередь	2	1
74	и все это	1	1
75	в связь с	1	1
76	это выражение в	1	1
77	можно сказать что	2	1
78	на то что	2	1
79	и другие попытки	1	1
80	до некоторой степени	2	1
81	дело не в	2	1
82	но не только	1	1
83	что без таких	1	1
84	это не было	1	1
85	по его мнению	1	1
86	как и в	1	1
87	это имело место	1	1
88	как мы видели	1	1
