N	3gram	Tiupa_Vved_1	FransuaR
1	о том что	4	5
2	то же время	3	5
3	в то же	4	5
4	с одной стороны	5	4
5	все то что	1	4
6	большей или меньшей	1	3
7	в этом отношении	4	3
8	в первом случае	1	3
9	во втором случае	1	3
10	и т.п но	1	3
11	вместо того чтобы	1	3
12	во всех его	1	3
13	не только с	1	2
14	одной стороны и	1	2
15	как мы увидим	1	2
16	в третьем случае	1	2
17	в данном случае	6	2
18	и тот же	1	2
19	но и в	2	2
20	с другой стороны	1	2
21	но и с	1	2
22	и т.п и	1	2
23	то есть в	1	2
24	начало и конец	2	2
25	в том что	3	2
26	и прежде всего	1	2
27	и того же	1	1
28	и т.п как	1	1
29	по отношению к	7	1
30	в той или	1	1
31	в следующем году	1	1
32	в основе своей	1	1
33	другой стороны в	1	1
34	более или менее	2	1
35	в своем собственном	1	1
36	в настоящее время	1	1
37	свидетельствует о том	1	1
38	границы между ними	1	1
39	о том как	1	1
40	один и тот	1	1
41	существенное значение в	1	1
42	что он может	1	1
43	именно то что	1	1
44	в первой главе	1	1
45	из того что	1	1
46	к себе в	1	1
47	на первом плане	1	1
48	никогда не было	1	1
49	не мог найти	1	1
50	до известной степени	1	1
51	ведущая роль в	1	1
52	в нем не	1	1
53	все же не	1	1
54	в связи с	1	1
55	то что он	1	1
56	а не как	1	1
57	как он сам	1	1
58	с большей или	1	1
59	как бы в	1	1
60	не может быть	3	1
61	в зависимости от	1	1
62	в значительной степени	1	1
63	не только в	2	1
64	той или иной	2	1
65	можно сказать что	1	1
66	между жизнью и	1	1
67	одного и того	1	1
68	а с другой	2	1
69	и т.п это	1	1
70	жизнью и смертью	1	1
71	рассуждение о том	1	1
72	стороны в то	1	1
73	пространственных и временных	1	1
74	то есть с	1	1
