N	4gram	Losev_Vesc_1	Problema
1	в коем случае не	1	2
2	бы то ни было	4	2
3	ни в коем случае	1	2
4	и тем не менее	1	1
5	дело в том что	2	1
6	что мы о ней	1	1
7	с одной стороны и	1	1
8	в первом случае мы	1	1
9	не может обойтись без	1	1
10	хуже всего то что	1	1
11	на самом же деле	1	1
12	она не могла бы	1	1
13	в то время как	1	1
14	в данном случае со	1	1
15	не что иное как	7	1
16	как бы вбирает в	1	1
17	в том смысле что	1	1
18	какие бы то ни	1	1
19	о которых идет речь	1	1
20	есть не что иное	5	1
21	вопрос о том как	1	1
22	бы вбирает в себя	1	1
