N	2gram	Berdyaev_M_1	Psycholo
1	то что	5	37
2	и в	28	30
3	в том	6	27
4	что в	10	24
5	и что	2	23
6	потому что	16	23
7	том что	3	21
8	того чтобы	2	20
9	все время	1	20
10	для того	2	20
11	как бы	2	19
12	что он	10	17
13	не только	29	16
14	и мы	2	16
15	в этом	20	14
16	в самом	11	14
17	то есть	3	13
18	так же	1	13
19	вместе с	6	12
20	может быть	30	11
21	если бы	2	11
22	что мы	1	11
23	о том	2	10
24	и то	1	9
25	никогда не	14	9
26	увидим что	4	9
27	и когда	2	9
28	так как	3	9
29	не может	28	9
30	сказать что	2	9
31	мы увидим	3	9
32	самом деле	1	8
33	мы имеем	1	8
34	он должен	3	8
35	заключается в	1	8
36	с тем	9	8
37	не в	16	8
38	к тому	3	8
39	и это	12	8
40	того что	7	8
41	мы видим	2	8
42	а не	25	8
43	могут быть	2	8
44	и т	1	7
45	зависимости от	1	7
46	но не	8	7
47	все же	2	7
48	и как	2	7
49	в нем	13	7
50	точки зрения	4	7
51	в основе	2	7
52	действующих лиц	1	7
53	в зависимости	1	6
54	мы уже	1	6
55	в своем	10	6
56	говорит что	1	6
57	что она	1	6
58	на этом	3	6
59	как и	5	6
60	у шекспира	1	6
61	и его	9	6
62	как будто	2	6
63	когда мы	2	6
64	уже в	4	6
65	тем что	4	6
66	но и	25	6
67	мы все	1	6
68	и не	11	6
69	и для	2	6
70	жизни и	2	6
71	в искусстве	1	6
72	и есть	14	5
73	еще не	1	5
74	ответ на	1	5
75	что они	1	5
76	когда он	3	5
77	в себе	7	5
78	в этой	6	5
79	было бы	10	5
80	рядом с	1	5
81	был бы	10	5
82	сих пор	2	5
83	но в	7	5
84	один из	4	5
85	только в	6	5
86	до сих	2	5
87	и потому	10	5
88	бы в	2	5
89	обратиться к	1	5
90	в своих	1	5
91	то это	1	4
92	в виду	2	4
93	в ней	15	4
94	друг к	1	4
95	как говорит	1	4
96	вызывает в	1	4
97	и к	2	4
98	и заключается	1	4
99	к другу	1	4
100	есть не	4	4
101	в них	4	4
102	с такой	1	4
103	в своей	15	4
104	и именно	1	4
105	казалось бы	1	4
106	заключает в	3	4
107	у нас	5	4
108	по сравнению	2	4
109	в его	9	4
110	на одном	1	4
111	в него	3	4
112	этот вопрос	1	4
113	чувств и	1	4
114	в конце	7	4
115	должен был	4	4
116	от того	1	4
117	говорит о	1	4
118	прежде всего	10	4
119	как ни	1	4
120	в частности	1	4
121	о чем	2	4
122	сравнению с	1	4
123	этой трагедии	1	4
124	от него	4	4
125	и все	10	4
126	а в	4	4
127	не есть	9	4
128	в их	4	3
129	мы не	1	3
130	и о	1	3
131	и на	6	3
132	в ее	3	3
133	энергии и	1	3
134	как в	2	3
135	и наконец	1	3
136	в которой	6	3
137	он не	24	3
138	не как	4	3
139	в силу	1	3
140	можно было	1	3
141	человека в	13	3
142	об этом	1	3
143	это не	5	3
144	в этих	4	3
145	вопрос о	2	3
146	но он	9	3
147	и вся	1	3
148	вовсе не	1	3
149	находятся в	1	3
150	в каком	2	3
151	не могут	5	3
152	так в	1	3
153	так и	1	3
154	именно потому	1	3
155	и поэтому	1	3
156	что и	4	3
157	и только	1	3
158	так что	1	3
159	для него	11	3
160	т п	1	3
161	в состоянии	1	3
162	у него	17	3
163	уже совершенно	1	3
164	чем у	4	3
165	на этот	2	3
166	когда она	1	3
167	под влиянием	1	3
168	в той	2	3
169	это есть	3	3
170	не существует	2	3
171	для нас	3	3
172	целый ряд	1	3
173	хотя бы	3	3
174	в свою	2	3
175	к этому	2	3
176	ту же	1	2
177	это и	4	2
178	из самых	8	2
179	к другому	1	2
180	и до	1	2
181	она все	1	2
182	должна быть	6	2
183	с таким	1	2
184	отношения к	4	2
185	а как	2	2
186	время как	2	2
187	но она	1	2
188	что иное	1	2
189	и он	12	2
190	собой в	1	2
191	он был	14	2
192	иное как	1	2
193	в последних	1	2
194	с его	3	2
195	во всех	1	2
196	на самом	1	2
197	по отношению	2	2
198	себе и	2	2
199	отличие от	1	2
200	заложено в	3	2
201	в центре	2	2
202	в одной	1	2
203	его на	1	2
204	с этим	3	2
205	яснее и	1	2
206	в противоположность	1	2
207	он в	2	2
208	все эти	2	2
209	как он	2	2
210	в нашей	1	2
211	и вот	3	2
212	в каждом	1	2
213	как они	1	2
214	же не	1	2
215	и с	3	2
216	говорил что	1	2
217	искусства в	1	2
218	чем в	2	2
219	должно быть	3	2
220	в котором	8	2
221	он дает	1	2
222	в отличие	1	2
223	в которых	4	2
224	всякий раз	1	2
225	что есть	5	2
226	в отношении	1	2
227	с которой	2	2
228	от нас	1	2
229	в то	2	2
230	что ему	1	2
231	что их	1	2
232	к этим	2	2
233	достигает своего	1	2
234	чем не	1	2
235	во всем	1	2
236	и почему	1	2
237	все то	1	2
238	нет ни	1	2
239	есть только	2	2
240	отличается от	2	2
241	любит не	1	2
242	должен быть	2	2
243	приводит к	2	2
244	на том	3	2
245	мог бы	4	2
