N	3gram	Vinokur_St_3	KFilosof
1	не может быть	5	11
2	с точки зрения	4	10
3	на самом деле	1	3
4	в этом смысле	4	3
5	между тем как	2	3
6	и в этом	2	3
7	то что я	2	2
8	со стороны ее	1	2
9	он может быть	1	2
10	во всех этих	2	2
11	и ни в	1	2
12	то же время	3	2
13	вопрос о том	1	2
14	той или иной	1	2
15	в то же	3	2
16	тем не менее	2	2
17	в том что	11	2
18	а не в	1	2
19	даже там где	1	1
20	на то что	3	1
21	не может не	1	1
22	от себя и	1	1
23	стороны ее содержания	1	1
24	того что в	1	1
25	потому что в	1	1
26	между прочим и	1	1
27	можно и должно	1	1
28	и может быть	1	1
29	в том же	1	1
30	он не может	1	1
31	не было и	1	1
32	в лучшем случае	1	1
33	тем или иным	1	1
34	независимо от того	2	1
35	не может жить	1	1
36	одновременно и в	1	1
37	но это не	3	1
38	и не в	2	1
39	вместе с тем	1	1
40	и тем не	2	1
41	том смысле в	1	1
42	не потому что	1	1
43	не теряя своей	1	1
44	в известном смысле	1	1
45	с ним и	1	1
46	не в том	3	1
47	но может быть	1	1
48	и здесь же	1	1
49	во всяком случае	4	1
50	на этом пути	1	1
51	для того чтобы	1	1
52	к отказу от	1	1
53	было бы совершенно	2	1
54	в свою очередь	1	1
55	он не имеет	1	1
56	но можно и	1	1
57	не менее в	1	1
58	в виду его	1	1
59	в другом случае	1	1
60	и не потому	1	1
61	к тому что	2	1
62	в том смысле	2	1
63	дело не в	1	1
64	мы имеем здесь	1	1
65	только тогда когда	2	1
66	то же самое	1	1
67	наше время является	1	1
