N	3gram	Tiupa_Teor_1	Problemy
1	с точки зрения	3	13
2	в этом смысле	2	10
3	то же время	5	9
4	в то же	5	9
5	по отношению к	4	8
6	в том что	8	6
7	в романе достоевского	1	5
8	но в то	1	5
9	не может быть	4	4
10	подобно тому как	1	3
11	все то что	1	3
12	с другой стороны	5	3
13	и в сущности	1	2
14	и в то	1	2
15	бы то ни	1	2
16	только то что	1	2
17	во всей его	1	2
18	он ни был	1	2
19	в данном случае	5	2
20	по себе еще	1	2
21	в целом ряде	1	2
22	как бы в	1	2
23	по ту сторону	1	2
24	в большинстве случаев	1	2
25	а в то	1	2
26	в плоскости их	1	2
27	именно потому что	1	2
28	себе еще не	1	2
29	дело в том	1	1
30	чего нет в	1	1
31	в свою очередь	2	1
32	могут нести в	1	1
33	то же самое	1	1
34	может быть назван	1	1
35	но он не	1	1
36	с самим собою	1	1
37	точно так же	1	1
38	в противном случае	1	1
39	по крайней мере	1	1
40	может быть и	2	1
41	так же как	1	1
42	в первом случае	1	1
43	в ее составе	1	1
44	то ни было	1	1
45	таким образом и	1	1
46	на первый взгляд	1	1
47	тех или иных	3	1
48	как один из	1	1
49	и в пределах	1	1
50	в известном смысле	1	1
51	отношения к миру	1	1
52	но не в	1	1
53	не могут быть	2	1
54	тем или иным	1	1
55	как впрочем и	1	1
56	то что может	1	1
57	авторской позиции и	1	1
58	и здесь остается	1	1
59	его можно лишь	1	1
60	не совпадает с	1	1
61	о том что	1	1
62	того или иного	3	1
63	а в том	1	1
64	сознания при этом	1	1
65	более или менее	2	1
66	не была бы	1	1
67	имеем в виду	3	1
68	заключается в том	1	1
69	в то время	1	1
70	и для автора	1	1
71	может быть это	1	1
72	как более или	1	1
73	та или иная	1	1
74	жизни а не	1	1
75	не только не	2	1
76	точки зрения автора	1	1
77	в художественном произведении	1	1
78	можно сказать что	2	1
79	мы имеем в	3	1
80	они ни были	1	1
81	в полной мере	1	1
82	к тому что	2	1
83	до известной степени	2	1
84	сама по себе	1	1
85	в отношении к	1	1
86	для того чтобы	1	1
87	не во внешних	1	1
88	не только к	1	1
